metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Pancreas_FACS,counts,zifa,48,0.34878389054110376
cosine,TabulaMuris_Pancreas_FACS,counts,zifa,32,0.3475633297482688
cosine,TabulaMuris_Pancreas_FACS,counts,zifa,2,0.28011049111997766
cosine,TabulaMuris_Pancreas_FACS,counts,zifa,4,0.2899591584908494
cosine,TabulaMuris_Pancreas_FACS,counts,zifa,8,0.3698947842889217
cosine,TabulaMuris_Pancreas_FACS,counts,zifa,16,0.34379022457250336
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,96,0.31890616867688615
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,48,0.3408731800923158
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,32,0.3736269795079481
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,2,0.33301074912268347
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,4,0.3275563235827411
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,8,0.3885662943085093
cosine,TabulaMuris_Pancreas_FACS,counts,vasc,16,0.3657020817366891
cosine,TabulaMuris_Pancreas_FACS,counts,lle,96,-0.07394634517263031
cosine,TabulaMuris_Pancreas_FACS,counts,lle,48,-0.13210754069842537
cosine,TabulaMuris_Pancreas_FACS,counts,lle,32,0.16358045714889421
cosine,TabulaMuris_Pancreas_FACS,counts,lle,2,0.3200660663069761
cosine,TabulaMuris_Pancreas_FACS,counts,lle,4,0.5710843829319706
cosine,TabulaMuris_Pancreas_FACS,counts,lle,8,0.4457355032706251
cosine,TabulaMuris_Pancreas_FACS,counts,lle,16,0.08591379585451354
cosine,TabulaMuris_Pancreas_FACS,counts,kpca-cos,96,0.7378555966061494
cosine,TabulaMuris_Pancreas_FACS,counts,kpca-cos,48,0.7378646679595643
cosine,TabulaMuris_Pancreas_FACS,counts,kpca-cos,32,0.7377470264804594
cosine,TabulaMuris_Pancreas_FACS,counts,kpca-cos,2,0.6692646005522963
cosine,TabulaMuris_Pancreas_FACS,counts,kpca-cos,4,0.7310375549677207
