metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Skin_FACS,counts,zifa,2,0.2015191363477029
cosine,TabulaMuris_Skin_FACS,counts,zifa,4,0.21180321531019766
cosine,TabulaMuris_Skin_FACS,counts,zifa,8,0.2230791744166635
cosine,TabulaMuris_Skin_FACS,counts,zifa,16,0.23657561658013573
cosine,TabulaMuris_Skin_FACS,counts,vasc,96,nan
cosine,TabulaMuris_Skin_FACS,counts,vasc,48,nan
cosine,TabulaMuris_Skin_FACS,counts,vasc,32,nan
cosine,TabulaMuris_Skin_FACS,counts,vasc,2,0.08138637933978057
cosine,TabulaMuris_Skin_FACS,counts,vasc,4,0.07494487228866782
cosine,TabulaMuris_Skin_FACS,counts,vasc,8,0.09129890638194765
cosine,TabulaMuris_Skin_FACS,counts,vasc,16,0.08031743429594375
cosine,TabulaMuris_Skin_FACS,counts,lle,96,-0.013862947199189209
cosine,TabulaMuris_Skin_FACS,counts,lle,48,0.3295470409677238
cosine,TabulaMuris_Skin_FACS,counts,lle,32,0.011139819237220858
cosine,TabulaMuris_Skin_FACS,counts,lle,2,0.5274604830134866
cosine,TabulaMuris_Skin_FACS,counts,lle,4,0.3348229660842502
cosine,TabulaMuris_Skin_FACS,counts,lle,8,0.2419572985539109
cosine,TabulaMuris_Skin_FACS,counts,lle,16,0.06561703426392675
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,96,0.9013398189662949
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,48,0.8963565154573869
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,32,0.8941410258746841
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,2,0.784363848563215
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,4,0.8621379791141078
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,8,0.8795216030945344
cosine,TabulaMuris_Skin_FACS,counts,kpca-cos,16,0.8903225925979273
cosine,TabulaMuris_Skin_FACS,counts,grp,96,0.9911131812321254
cosine,TabulaMuris_Skin_FACS,counts,grp,48,0.9876838709642218
cosine,TabulaMuris_Skin_FACS,counts,grp,32,0.975007662800301
cosine,TabulaMuris_Skin_FACS,counts,grp,2,0.7265991802316516
cosine,TabulaMuris_Skin_FACS,counts,grp,4,0.7867476193495921
cosine,TabulaMuris_Skin_FACS,counts,grp,8,0.9364307234309309
cosine,TabulaMuris_Skin_FACS,counts,grp,16,0.9629859701953997
cosine,TabulaMuris_Skin_FACS,counts,pmf,96,0.5985527695141221
cosine,TabulaMuris_Skin_FACS,counts,pmf,48,0.5816291221779287
