metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Spleen_10X,counts,zifa,2,0.5625447637562461
cosine,TabulaMuris_Spleen_10X,counts,zifa,4,0.5162241633952956
cosine,TabulaMuris_Spleen_10X,counts,zifa,8,0.5008682973892279
cosine,TabulaMuris_Spleen_10X,counts,zifa,16,0.5156041236761575
cosine,TabulaMuris_Spleen_10X,counts,vasc,96,nan
cosine,TabulaMuris_Spleen_10X,counts,vasc,48,nan
cosine,TabulaMuris_Spleen_10X,counts,vasc,32,nan
cosine,TabulaMuris_Spleen_10X,counts,vasc,2,0.42124929055776367
cosine,TabulaMuris_Spleen_10X,counts,vasc,4,0.38067859840963775
cosine,TabulaMuris_Spleen_10X,counts,vasc,8,0.34750322745682777
cosine,TabulaMuris_Spleen_10X,counts,vasc,16,nan
cosine,TabulaMuris_Spleen_10X,counts,lle,96,0.060362716051984074
cosine,TabulaMuris_Spleen_10X,counts,lle,48,0.01741825792227067
cosine,TabulaMuris_Spleen_10X,counts,lle,32,0.1920004711470827
cosine,TabulaMuris_Spleen_10X,counts,lle,2,0.5052803512081194
cosine,TabulaMuris_Spleen_10X,counts,lle,4,0.22199678016963617
cosine,TabulaMuris_Spleen_10X,counts,lle,8,0.3003645956238861
cosine,TabulaMuris_Spleen_10X,counts,lle,16,0.23548457700528963
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,96,0.6864305795213067
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,48,0.6909851370493031
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,32,0.6931520514790807
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,2,0.5835131521726066
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,4,0.6896661452688874
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,8,0.6930216837523235
cosine,TabulaMuris_Spleen_10X,counts,kpca-cos,16,0.6956319393421126
cosine,TabulaMuris_Spleen_10X,counts,grp,96,0.9708057111704352
cosine,TabulaMuris_Spleen_10X,counts,grp,48,0.9234450715950272
cosine,TabulaMuris_Spleen_10X,counts,grp,32,0.9269403229022507
cosine,TabulaMuris_Spleen_10X,counts,grp,2,0.26302545280415435
cosine,TabulaMuris_Spleen_10X,counts,grp,4,0.5125719928799323
cosine,TabulaMuris_Spleen_10X,counts,grp,8,0.6920393099928567
cosine,TabulaMuris_Spleen_10X,counts,grp,16,0.8521115011063386
cosine,TabulaMuris_Spleen_10X,counts,pmf,96,0.8690950083010297
cosine,TabulaMuris_Spleen_10X,counts,pmf,48,0.8479388303933735
cosine,TabulaMuris_Spleen_10X,counts,pmf,32,0.8335073895400336
cosine,TabulaMuris_Spleen_10X,counts,pmf,2,0.5119461768065617
cosine,TabulaMuris_Spleen_10X,counts,pmf,4,0.7481901664650633
cosine,TabulaMuris_Spleen_10X,counts,pmf,8,0.7203888529950028
cosine,TabulaMuris_Spleen_10X,counts,pmf,16,0.7937470939352568
cosine,TabulaMuris_Spleen_10X,counts,ipca,96,0.656108056156052
cosine,TabulaMuris_Spleen_10X,counts,ipca,48,0.659792884255428
cosine,TabulaMuris_Spleen_10X,counts,ipca,32,0.6616305988547367
cosine,TabulaMuris_Spleen_10X,counts,ipca,2,0.5159561813886303
cosine,TabulaMuris_Spleen_10X,counts,ipca,4,0.6477184607944663
cosine,TabulaMuris_Spleen_10X,counts,ipca,8,0.6558701417919536
cosine,TabulaMuris_Spleen_10X,counts,ipca,16,0.6629652387112873
cosine,TabulaMuris_Spleen_10X,counts,lda,96,0.714840828823632
cosine,TabulaMuris_Spleen_10X,counts,lda,48,0.7659411331143022
cosine,TabulaMuris_Spleen_10X,counts,lda,32,0.7521800822421315
cosine,TabulaMuris_Spleen_10X,counts,lda,2,0.6033701059955159
cosine,TabulaMuris_Spleen_10X,counts,lda,4,0.7047432079452687
cosine,TabulaMuris_Spleen_10X,counts,lda,8,0.6739229344041978
cosine,TabulaMuris_Spleen_10X,counts,lda,16,0.7424319397994493
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,96,nan
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,48,nan
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,32,nan
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,2,nan
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,4,nan
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,8,nan
cosine,TabulaMuris_Spleen_10X,counts,kpca-sig,16,nan
cosine,TabulaMuris_Spleen_10X,counts,umap,96,0.6028196612901296
cosine,TabulaMuris_Spleen_10X,counts,umap,48,0.6025554630994325
cosine,TabulaMuris_Spleen_10X,counts,umap,32,0.6002658979110048
cosine,TabulaMuris_Spleen_10X,counts,umap,2,0.5896170742742673
cosine,TabulaMuris_Spleen_10X,counts,umap,4,0.6020665007487606
cosine,TabulaMuris_Spleen_10X,counts,umap,8,0.5900161356076267
cosine,TabulaMuris_Spleen_10X,counts,umap,16,0.5908601939503263
cosine,TabulaMuris_Spleen_10X,counts,phate,96,0.7220443598657384
cosine,TabulaMuris_Spleen_10X,counts,phate,48,0.7207171796467848
cosine,TabulaMuris_Spleen_10X,counts,phate,32,0.7198300968351423
cosine,TabulaMuris_Spleen_10X,counts,phate,2,0.6804854999808134
cosine,TabulaMuris_Spleen_10X,counts,phate,4,0.7250333519310044
cosine,TabulaMuris_Spleen_10X,counts,phate,8,0.7199538177933279
cosine,TabulaMuris_Spleen_10X,counts,phate,16,0.7189260585068759
cosine,TabulaMuris_Spleen_10X,counts,fica,96,0.1705734661038766
cosine,TabulaMuris_Spleen_10X,counts,fica,48,0.22576255702179
cosine,TabulaMuris_Spleen_10X,counts,fica,32,0.2764018170377652
cosine,TabulaMuris_Spleen_10X,counts,fica,2,0.5084274952851567
cosine,TabulaMuris_Spleen_10X,counts,fica,4,0.6340671873758662
cosine,TabulaMuris_Spleen_10X,counts,fica,8,0.5602200568730127
cosine,TabulaMuris_Spleen_10X,counts,fica,16,0.4321027167854424
cosine,TabulaMuris_Spleen_10X,counts,isomap,96,0.5631399203577958
cosine,TabulaMuris_Spleen_10X,counts,isomap,48,0.5629916121861661
cosine,TabulaMuris_Spleen_10X,counts,isomap,32,0.562934000565146
cosine,TabulaMuris_Spleen_10X,counts,isomap,2,0.4594053092489972
cosine,TabulaMuris_Spleen_10X,counts,isomap,4,0.5325574785330682
cosine,TabulaMuris_Spleen_10X,counts,isomap,8,0.5658171363479518
cosine,TabulaMuris_Spleen_10X,counts,isomap,16,0.5653845207295414
cosine,TabulaMuris_Spleen_10X,counts,tsvd,96,0.9924517651130531
