metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,96,-0.4014461321625433
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,48,-0.4433974806418844
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,32,0.44668000737692193
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,2,0.3667086468136757
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,4,0.4611700564689448
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,8,0.4334050564624853
cosine,TabulaMuris_Thymus_10X,logcounts,zifa,16,0.3938197083763351
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,96,0.056811549182963175
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,48,0.11815537450624199
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,32,nan
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,2,0.04909165177599331
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,4,0.10328213080129202
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,8,0.12403511596282005
cosine,TabulaMuris_Thymus_10X,logcounts,vasc,16,0.11184389570566494
cosine,TabulaMuris_Thymus_10X,logcounts,lle,96,-0.03607785753122936
cosine,TabulaMuris_Thymus_10X,logcounts,lle,48,0.07226580225588936
cosine,TabulaMuris_Thymus_10X,logcounts,lle,32,0.042274433336508564
cosine,TabulaMuris_Thymus_10X,logcounts,lle,2,-0.25922918795740946
cosine,TabulaMuris_Thymus_10X,logcounts,lle,4,-0.14555744540961083
cosine,TabulaMuris_Thymus_10X,logcounts,lle,8,-0.1632442623600726
cosine,TabulaMuris_Thymus_10X,logcounts,lle,16,0.020170032311672574
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,96,0.1479179402294012
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,48,0.127703697271896
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,32,0.11029114511735885
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,2,0.05246063621507805
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,4,0.031141866574339924
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,8,0.05579089351247604
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-cos,16,0.07412711048563055
cosine,TabulaMuris_Thymus_10X,logcounts,grp,96,0.6309239553714464
cosine,TabulaMuris_Thymus_10X,logcounts,grp,48,0.4943878561937522
cosine,TabulaMuris_Thymus_10X,logcounts,grp,32,0.503112914193998
cosine,TabulaMuris_Thymus_10X,logcounts,grp,2,0.16429369004706026
cosine,TabulaMuris_Thymus_10X,logcounts,grp,4,0.2436384902707377
cosine,TabulaMuris_Thymus_10X,logcounts,grp,8,0.040422442659427835
cosine,TabulaMuris_Thymus_10X,logcounts,grp,16,0.48016022788164814
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,96,0.38464268885042024
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,48,0.3252571093944785
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,32,0.2593618479128309
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,2,-0.017706540588344796
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,4,0.06016058131448969
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,8,0.13564393081342818
cosine,TabulaMuris_Thymus_10X,logcounts,pmf,16,0.22693766075135488
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,96,0.04373357751702219
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,48,0.02670014376321699
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,32,0.012326356502200545
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,2,-0.01256473984354738
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,4,-0.059114884471760054
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,8,-0.02281346485880071
cosine,TabulaMuris_Thymus_10X,logcounts,ipca,16,-0.009162453567199684
cosine,TabulaMuris_Thymus_10X,logcounts,lda,96,0.3181501836581037
cosine,TabulaMuris_Thymus_10X,logcounts,lda,48,0.25903155231321756
cosine,TabulaMuris_Thymus_10X,logcounts,lda,32,0.20719187525783472
cosine,TabulaMuris_Thymus_10X,logcounts,lda,2,-0.19184530116915227
cosine,TabulaMuris_Thymus_10X,logcounts,lda,4,-0.1477077600003122
cosine,TabulaMuris_Thymus_10X,logcounts,lda,8,0.1525780786871179
cosine,TabulaMuris_Thymus_10X,logcounts,lda,16,0.2800594070786684
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,96,0.19962446795868122
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,48,0.2071731156195408
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,32,0.2123554194645857
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,2,0.19752158603391462
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,4,0.22596336266376216
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,8,0.22484385894633294
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-sig,16,0.22086162107877588
cosine,TabulaMuris_Thymus_10X,logcounts,umap,96,0.01939936695556017
cosine,TabulaMuris_Thymus_10X,logcounts,umap,48,0.02233027161634088
cosine,TabulaMuris_Thymus_10X,logcounts,umap,32,0.01790577889613618
cosine,TabulaMuris_Thymus_10X,logcounts,umap,2,-0.21382831267283223
cosine,TabulaMuris_Thymus_10X,logcounts,umap,4,0.022541197852538806
cosine,TabulaMuris_Thymus_10X,logcounts,umap,8,0.0015865113930583997
cosine,TabulaMuris_Thymus_10X,logcounts,umap,16,0.025703508311533577
cosine,TabulaMuris_Thymus_10X,logcounts,phate,96,0.001950955919130087
cosine,TabulaMuris_Thymus_10X,logcounts,phate,48,-0.0020576306712170585
cosine,TabulaMuris_Thymus_10X,logcounts,phate,32,0.007053327329137499
cosine,TabulaMuris_Thymus_10X,logcounts,phate,2,0.022441111100882948
cosine,TabulaMuris_Thymus_10X,logcounts,phate,4,-0.002217304160324206
cosine,TabulaMuris_Thymus_10X,logcounts,phate,8,-0.006757617882363258
cosine,TabulaMuris_Thymus_10X,logcounts,phate,16,0.0015720454495089773
cosine,TabulaMuris_Thymus_10X,logcounts,fica,96,0.10344437852464844
cosine,TabulaMuris_Thymus_10X,logcounts,fica,48,0.10066117872502865
cosine,TabulaMuris_Thymus_10X,logcounts,fica,32,0.09976327026979348
cosine,TabulaMuris_Thymus_10X,logcounts,fica,2,0.07578060661130356
cosine,TabulaMuris_Thymus_10X,logcounts,fica,4,0.05571022912399029
cosine,TabulaMuris_Thymus_10X,logcounts,fica,8,0.10300336526815222
cosine,TabulaMuris_Thymus_10X,logcounts,fica,16,0.10409223571030904
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,96,-0.13526084355406015
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,48,-0.12918845785119004
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,32,-0.1265323996970369
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,2,-0.12916221343938272
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,4,-0.14000983762974542
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,8,-0.12471856303184695
cosine,TabulaMuris_Thymus_10X,logcounts,isomap,16,-0.12225398797442727
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,96,0.5461880053633279
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,48,0.36745594088228634
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,32,0.28606472401762034
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,2,-0.09906254293585977
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,4,0.07133530185760269
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,8,0.12387264417276249
cosine,TabulaMuris_Thymus_10X,logcounts,tsvd,16,0.18173652820774736
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,96,-0.07588645100055653
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,48,-0.06463681910656385
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,32,-0.06165212499634453
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,2,-0.3979503861650599
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,4,-0.0650308791307982
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,8,-0.06436534988745504
cosine,TabulaMuris_Thymus_10X,logcounts,vpac,16,-0.046825208914155425
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,96,0.12792537497873752
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,48,0.10151258976299213
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,32,0.06663756286167993
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,2,-0.044830285022351576
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,4,0.006361316489023245
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,8,0.016492092357797458
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-rbf,16,0.00923158020433121
cosine,TabulaMuris_Thymus_10X,logcounts,mctsne,96,-0.0011330579892052208
cosine,TabulaMuris_Thymus_10X,logcounts,mctsne,48,nan
cosine,TabulaMuris_Thymus_10X,logcounts,mctsne,32,nan
cosine,TabulaMuris_Thymus_10X,logcounts,mctsne,2,-0.04566951385265735
cosine,TabulaMuris_Thymus_10X,logcounts,mctsne,4,0.03709310431676784
cosine,TabulaMuris_Thymus_10X,logcounts,mctsne,8,0.04536865993457856
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,96,0.39059373571007944
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,48,0.37860898998550524
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,32,0.3235869646249326
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,2,-0.1575061368672936
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,4,0.20725184969809704
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,8,0.28643744991818504
cosine,TabulaMuris_Thymus_10X,logcounts,nmf,16,0.22424466061923298
cosine,TabulaMuris_Thymus_10X,logcounts,srp,96,0.663420052290632
cosine,TabulaMuris_Thymus_10X,logcounts,srp,48,0.5463428145906094
cosine,TabulaMuris_Thymus_10X,logcounts,srp,32,0.31624591815554987
cosine,TabulaMuris_Thymus_10X,logcounts,srp,2,0.04790657537786136
cosine,TabulaMuris_Thymus_10X,logcounts,srp,4,0.19368554828177625
cosine,TabulaMuris_Thymus_10X,logcounts,srp,8,0.18445308654727635
cosine,TabulaMuris_Thymus_10X,logcounts,srp,16,0.42198995077703266
cosine,TabulaMuris_Thymus_10X,logcounts,snmf,48,0.43276085500238637
cosine,TabulaMuris_Thymus_10X,logcounts,snmf,32,0.40120581281014905
cosine,TabulaMuris_Thymus_10X,logcounts,snmf,2,-0.1323053854333112
cosine,TabulaMuris_Thymus_10X,logcounts,snmf,4,0.2338994022163944
cosine,TabulaMuris_Thymus_10X,logcounts,snmf,8,0.2303370483346109
cosine,TabulaMuris_Thymus_10X,logcounts,snmf,16,0.31376659360729187
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,96,0.6414559518285398
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,48,0.24276031918185523
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,32,0.27852456916979557
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,2,-0.09267224139003458
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,4,-0.14735161801800545
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,8,0.11890674442723419
cosine,TabulaMuris_Thymus_10X,logcounts,psmf,16,0.16743140134165752
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,96,-0.312466476215452
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,48,-0.2860730742393156
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,32,-0.267773600747232
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,2,-0.23781969277134007
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,4,-0.24049303029608593
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,8,-0.22915591441217162
cosine,TabulaMuris_Thymus_10X,logcounts,kpca-pol,16,-0.2386075929243114
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,96,0.36031669113599213
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,48,0.37793809892979696
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,32,0.3799080769735153
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,2,0.28344275730545687
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,4,0.3535771215339477
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,8,0.25030571679555697
cosine,TabulaMuris_Thymus_10X,logcounts,ivis,16,0.1440298483349657
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,96,0.0393136211522994
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,48,0.04181806060136199
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,32,0.050841907049174476
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,2,0.20398257823016697
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,4,0.10850167336997871
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,8,0.08243196467100754
cosine,TabulaMuris_Thymus_10X,logcounts,spectral,16,0.0757213886818482
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,96,0.11971645289136822
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,48,0.06843493136295098
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,32,0.007339353127508728
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,2,-0.11528900826158112
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,4,-0.08670472041665861
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,8,-0.07702936918054205
cosine,TabulaMuris_Thymus_10X,logcounts,nmf2,16,0.04897736638350253
cosine,TabulaMuris_Thymus_10X,logcounts,icm,96,0.33793697424718605
cosine,TabulaMuris_Thymus_10X,logcounts,icm,48,0.3558300418536095
cosine,TabulaMuris_Thymus_10X,logcounts,icm,32,0.31804939613658517
cosine,TabulaMuris_Thymus_10X,logcounts,icm,2,-0.16294338966976069
cosine,TabulaMuris_Thymus_10X,logcounts,icm,4,0.20461254612673566
