metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Tongue_10X,logcounts,zifa,2,0.2743151841086436
cosine,TabulaMuris_Tongue_10X,logcounts,zifa,4,0.2049422813408015
cosine,TabulaMuris_Tongue_10X,logcounts,zifa,8,0.19877270692319432
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,96,nan
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,48,nan
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,32,0.07809479066461263
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,2,0.17585027826249586
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,4,0.264288893838845
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,8,-0.0037441008139043313
cosine,TabulaMuris_Tongue_10X,logcounts,vasc,16,nan
cosine,TabulaMuris_Tongue_10X,logcounts,lle,96,0.033304012399195455
cosine,TabulaMuris_Tongue_10X,logcounts,lle,48,0.04434821589306559
cosine,TabulaMuris_Tongue_10X,logcounts,lle,32,0.07723159625134444
cosine,TabulaMuris_Tongue_10X,logcounts,lle,2,0.0035662926727491225
cosine,TabulaMuris_Tongue_10X,logcounts,lle,4,0.33259304288116964
cosine,TabulaMuris_Tongue_10X,logcounts,lle,8,0.20704431068924467
cosine,TabulaMuris_Tongue_10X,logcounts,lle,16,0.11403873976668925
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,96,0.2552873101504447
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,48,0.24164166341164475
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,32,0.23665050896330173
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,2,0.11616926776273497
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,4,0.18720100251149466
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,8,0.2157325622332101
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-cos,16,0.22696234827846457
cosine,TabulaMuris_Tongue_10X,logcounts,grp,96,0.5934217736153
cosine,TabulaMuris_Tongue_10X,logcounts,grp,48,0.522708785839586
cosine,TabulaMuris_Tongue_10X,logcounts,grp,32,0.42597738013061026
cosine,TabulaMuris_Tongue_10X,logcounts,grp,2,0.11733088821099502
cosine,TabulaMuris_Tongue_10X,logcounts,grp,4,0.03911266668600553
cosine,TabulaMuris_Tongue_10X,logcounts,grp,8,0.1587987629966386
cosine,TabulaMuris_Tongue_10X,logcounts,grp,16,0.21716210862862015
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,96,0.18553532239135823
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,48,0.1857861377474899
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,32,0.18557642519035708
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,2,0.1282810880811772
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,4,0.1389136409803139
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,8,0.16219386069536804
cosine,TabulaMuris_Tongue_10X,logcounts,pmf,16,0.16374414419556646
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,96,0.22354719740777598
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,48,0.21004836570619698
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,32,0.2053433893360289
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,2,0.09400940412358585
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,4,0.157807134123412
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,8,0.1843381667043305
cosine,TabulaMuris_Tongue_10X,logcounts,ipca,16,0.19601052560502377
cosine,TabulaMuris_Tongue_10X,logcounts,lda,96,0.31320323201551803
cosine,TabulaMuris_Tongue_10X,logcounts,lda,48,0.30315257954202773
cosine,TabulaMuris_Tongue_10X,logcounts,lda,32,0.24018356707016736
cosine,TabulaMuris_Tongue_10X,logcounts,lda,2,0.06823757242644844
cosine,TabulaMuris_Tongue_10X,logcounts,lda,4,0.11307331914913613
cosine,TabulaMuris_Tongue_10X,logcounts,lda,8,0.1874256406260277
cosine,TabulaMuris_Tongue_10X,logcounts,lda,16,0.24032486797631847
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,96,0.28208715888947206
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,48,0.2790878292929726
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,32,0.2767076792924745
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,2,0.2007481841462058
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,4,0.23802985278969357
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,8,0.2636794068040692
cosine,TabulaMuris_Tongue_10X,logcounts,kpca-sig,16,0.27171429813956127
cosine,TabulaMuris_Tongue_10X,logcounts,umap,96,-0.01996716820389113
cosine,TabulaMuris_Tongue_10X,logcounts,umap,48,-0.045844262464670084
cosine,TabulaMuris_Tongue_10X,logcounts,umap,32,0.023723798290041204
cosine,TabulaMuris_Tongue_10X,logcounts,umap,2,0.11217850986000794
cosine,TabulaMuris_Tongue_10X,logcounts,umap,4,-0.1222400783589133
cosine,TabulaMuris_Tongue_10X,logcounts,umap,8,-0.0659604229286999
cosine,TabulaMuris_Tongue_10X,logcounts,umap,16,-0.020523629301509565
