metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Tongue_FACS,logcounts,zifa,48,0.4200399238885186
cosine,TabulaMuris_Tongue_FACS,logcounts,zifa,32,0.41843609602518006
cosine,TabulaMuris_Tongue_FACS,logcounts,zifa,2,0.39693929849793486
cosine,TabulaMuris_Tongue_FACS,logcounts,zifa,4,0.4367261427453705
cosine,TabulaMuris_Tongue_FACS,logcounts,zifa,8,0.45135001299271355
cosine,TabulaMuris_Tongue_FACS,logcounts,zifa,16,0.4373032145739918
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,96,nan
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,48,nan
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,32,nan
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,2,0.27890928181637603
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,4,0.26110767291808823
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,8,0.3944444516843078
cosine,TabulaMuris_Tongue_FACS,logcounts,vasc,16,nan
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,96,0.1376273754017616
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,48,0.165223673840594
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,32,0.19584380534570053
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,2,0.07770571683152631
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,4,0.11208969428483127
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,8,0.035028412492498606
cosine,TabulaMuris_Tongue_FACS,logcounts,lle,16,0.22298799072567566
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,96,0.3236803515759435
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,48,0.3185796337958318
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,32,0.3162985042517604
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,2,0.22225218380608905
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,4,0.3031325456146315
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,8,0.30401770424800406
cosine,TabulaMuris_Tongue_FACS,logcounts,kpca-cos,16,0.3127213745223384
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,96,0.6442827902079584
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,48,0.5306226590583005
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,32,0.5060593705991622
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,2,0.20190429351158937
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,4,0.26528833282282005
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,8,0.36263767569400596
cosine,TabulaMuris_Tongue_FACS,logcounts,grp,16,0.34273604790120404
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,96,0.3326414497944759
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,48,0.29562222379436737
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,32,0.2888149722122826
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,2,0.08589612518504854
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,4,0.1350538155988249
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,8,0.17756680655011903
cosine,TabulaMuris_Tongue_FACS,logcounts,pmf,16,0.22203161921415202
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,96,0.3403231891458031
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,48,0.33247751161857814
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,32,0.3279382215532672
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,2,0.2136129976701904
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,4,0.3048263155443688
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,8,0.3130631331501921
cosine,TabulaMuris_Tongue_FACS,logcounts,ipca,16,0.31975500910144616
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,96,0.42448987356435314
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,48,0.3397591658594811
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,32,0.3155581765944643
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,2,0.024552128741391867
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,4,0.03781669198211865
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,8,0.2633535821578709
cosine,TabulaMuris_Tongue_FACS,logcounts,lda,16,0.21863565120630807
