metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Trachea_FACS,counts,zifa,48,0.21874917970015464
cosine,TabulaMuris_Trachea_FACS,counts,zifa,32,0.2579688089768991
cosine,TabulaMuris_Trachea_FACS,counts,zifa,2,0.24746043566785256
cosine,TabulaMuris_Trachea_FACS,counts,zifa,4,0.29259127468529894
cosine,TabulaMuris_Trachea_FACS,counts,zifa,8,0.31407236854925547
cosine,TabulaMuris_Trachea_FACS,counts,zifa,16,0.2847954081638717
cosine,TabulaMuris_Trachea_FACS,counts,vasc,96,nan
cosine,TabulaMuris_Trachea_FACS,counts,vasc,48,nan
cosine,TabulaMuris_Trachea_FACS,counts,vasc,32,0.18026945210473724
cosine,TabulaMuris_Trachea_FACS,counts,vasc,2,0.26778960618458725
cosine,TabulaMuris_Trachea_FACS,counts,vasc,4,0.2475307257774369
cosine,TabulaMuris_Trachea_FACS,counts,vasc,8,0.20036596253319233
cosine,TabulaMuris_Trachea_FACS,counts,vasc,16,0.2008680242751859
cosine,TabulaMuris_Trachea_FACS,counts,lle,96,-0.008431706897175716
cosine,TabulaMuris_Trachea_FACS,counts,lle,48,0.08315785106688516
cosine,TabulaMuris_Trachea_FACS,counts,lle,32,0.14183996866592513
cosine,TabulaMuris_Trachea_FACS,counts,lle,2,0.22384931190193352
cosine,TabulaMuris_Trachea_FACS,counts,lle,4,0.26135063965087596
cosine,TabulaMuris_Trachea_FACS,counts,lle,8,0.1949148664761429
cosine,TabulaMuris_Trachea_FACS,counts,lle,16,0.3094490644176791
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,96,0.6044535198306327
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,48,0.6031697249622112
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,32,0.6025942265636571
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,2,0.569485767972933
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,4,0.603365867565092
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,8,0.6000280419467339
cosine,TabulaMuris_Trachea_FACS,counts,kpca-cos,16,0.6022318870735468
cosine,TabulaMuris_Trachea_FACS,counts,grp,96,0.9884658141664354
cosine,TabulaMuris_Trachea_FACS,counts,grp,48,0.9777701260224304
cosine,TabulaMuris_Trachea_FACS,counts,grp,32,0.9572627098606724
cosine,TabulaMuris_Trachea_FACS,counts,grp,2,0.49571389759240897
cosine,TabulaMuris_Trachea_FACS,counts,grp,4,0.5903892641940738
cosine,TabulaMuris_Trachea_FACS,counts,grp,8,0.8024105229717481
cosine,TabulaMuris_Trachea_FACS,counts,grp,16,0.9259119797554782
cosine,TabulaMuris_Trachea_FACS,counts,pmf,96,0.4407923792425491
cosine,TabulaMuris_Trachea_FACS,counts,pmf,48,0.3863783521067064
cosine,TabulaMuris_Trachea_FACS,counts,pmf,32,0.40865941857247184
cosine,TabulaMuris_Trachea_FACS,counts,pmf,2,0.2982023624825572
cosine,TabulaMuris_Trachea_FACS,counts,pmf,4,0.40821425358489766
cosine,TabulaMuris_Trachea_FACS,counts,pmf,8,0.44556356481418824
cosine,TabulaMuris_Trachea_FACS,counts,pmf,16,0.4610186107194282
cosine,TabulaMuris_Trachea_FACS,counts,ipca,96,0.08342995950478627
cosine,TabulaMuris_Trachea_FACS,counts,ipca,48,0.08567164180784344
cosine,TabulaMuris_Trachea_FACS,counts,ipca,32,0.08825021645257951
cosine,TabulaMuris_Trachea_FACS,counts,ipca,2,-0.012324288036344345
cosine,TabulaMuris_Trachea_FACS,counts,ipca,4,0.06938265632866844
cosine,TabulaMuris_Trachea_FACS,counts,ipca,8,0.09239163788793185
cosine,TabulaMuris_Trachea_FACS,counts,ipca,16,0.09019757591112218
cosine,TabulaMuris_Trachea_FACS,counts,lda,96,0.5509225555518116
cosine,TabulaMuris_Trachea_FACS,counts,lda,48,0.5757058627376853
cosine,TabulaMuris_Trachea_FACS,counts,lda,32,0.5576986402246911
cosine,TabulaMuris_Trachea_FACS,counts,lda,2,0.22266150191963677
cosine,TabulaMuris_Trachea_FACS,counts,lda,4,0.3781449699449489
cosine,TabulaMuris_Trachea_FACS,counts,lda,8,0.47835972567014523
cosine,TabulaMuris_Trachea_FACS,counts,lda,16,0.5339957182434945
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,96,nan
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,48,nan
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,32,nan
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,2,nan
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,4,nan
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,8,nan
cosine,TabulaMuris_Trachea_FACS,counts,kpca-sig,16,nan
cosine,TabulaMuris_Trachea_FACS,counts,umap,96,0.33723272382745706
cosine,TabulaMuris_Trachea_FACS,counts,umap,48,0.3654124039666743
cosine,TabulaMuris_Trachea_FACS,counts,umap,32,0.3292650949839404
cosine,TabulaMuris_Trachea_FACS,counts,umap,2,0.17311853832613466
cosine,TabulaMuris_Trachea_FACS,counts,umap,4,0.31222890501972117
cosine,TabulaMuris_Trachea_FACS,counts,umap,8,0.4064744862546665
cosine,TabulaMuris_Trachea_FACS,counts,umap,16,0.32260751338572635
cosine,TabulaMuris_Trachea_FACS,counts,phate,96,0.19847484017326097
cosine,TabulaMuris_Trachea_FACS,counts,phate,48,0.1986671500500435
cosine,TabulaMuris_Trachea_FACS,counts,phate,32,0.1981415514558064
cosine,TabulaMuris_Trachea_FACS,counts,phate,2,0.13793256486950914
cosine,TabulaMuris_Trachea_FACS,counts,phate,4,0.20467183333638794
cosine,TabulaMuris_Trachea_FACS,counts,phate,8,0.19899463485797397
cosine,TabulaMuris_Trachea_FACS,counts,phate,16,0.1970813917074463
cosine,TabulaMuris_Trachea_FACS,counts,fica,96,0.11313181328373675
cosine,TabulaMuris_Trachea_FACS,counts,fica,48,0.16622761785402607
cosine,TabulaMuris_Trachea_FACS,counts,fica,32,0.2238742643195449
cosine,TabulaMuris_Trachea_FACS,counts,fica,2,0.1763451710110416
cosine,TabulaMuris_Trachea_FACS,counts,fica,4,0.31634246055584836
cosine,TabulaMuris_Trachea_FACS,counts,fica,8,0.3981048306672776
cosine,TabulaMuris_Trachea_FACS,counts,fica,16,0.3386257580027321
cosine,TabulaMuris_Trachea_FACS,counts,isomap,96,0.2358692970459382
cosine,TabulaMuris_Trachea_FACS,counts,isomap,48,0.23622890575358269
cosine,TabulaMuris_Trachea_FACS,counts,isomap,32,0.23687427363748195
cosine,TabulaMuris_Trachea_FACS,counts,isomap,2,0.14531809667537784
cosine,TabulaMuris_Trachea_FACS,counts,isomap,4,0.2198357075569557
cosine,TabulaMuris_Trachea_FACS,counts,isomap,8,0.23940068429308095
cosine,TabulaMuris_Trachea_FACS,counts,isomap,16,0.23787480890608462
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,96,0.9951806066746225
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,48,0.9808937559705841
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,32,0.9715304946675734
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,2,0.5108266997425275
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,4,0.6846008817640357
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,8,0.8687709781622955
cosine,TabulaMuris_Trachea_FACS,counts,tsvd,16,0.9293301705075836
cosine,TabulaMuris_Trachea_FACS,counts,vpac,96,0.2928813696256316
cosine,TabulaMuris_Trachea_FACS,counts,vpac,48,0.2912170247087465
cosine,TabulaMuris_Trachea_FACS,counts,vpac,32,0.29791108288561713
cosine,TabulaMuris_Trachea_FACS,counts,vpac,2,0.2527216982873606
cosine,TabulaMuris_Trachea_FACS,counts,vpac,4,0.3115769144497238
cosine,TabulaMuris_Trachea_FACS,counts,vpac,8,0.28513140292842526
cosine,TabulaMuris_Trachea_FACS,counts,vpac,16,0.28742046864852216
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,96,-0.0007018083700721199
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,48,-0.0006313504417596177
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,32,-0.00011183441426560804
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,2,0.010212006081015476
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,4,-0.005537962591295065
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,8,0.009982668293171739
cosine,TabulaMuris_Trachea_FACS,counts,kpca-rbf,16,-0.00039468813480720096
cosine,TabulaMuris_Trachea_FACS,counts,mctsne,96,0.12382502167189395
cosine,TabulaMuris_Trachea_FACS,counts,mctsne,48,0.11361482202750788
cosine,TabulaMuris_Trachea_FACS,counts,mctsne,32,nan
cosine,TabulaMuris_Trachea_FACS,counts,mctsne,2,0.31769498484094866
cosine,TabulaMuris_Trachea_FACS,counts,mctsne,4,0.3330191511292166
cosine,TabulaMuris_Trachea_FACS,counts,mctsne,8,0.3287193444510607
cosine,TabulaMuris_Trachea_FACS,counts,nmf,96,0.9010576734767689
cosine,TabulaMuris_Trachea_FACS,counts,nmf,48,0.9008296223016713
cosine,TabulaMuris_Trachea_FACS,counts,nmf,32,0.8944706575782978
cosine,TabulaMuris_Trachea_FACS,counts,nmf,2,0.4590586032986084
cosine,TabulaMuris_Trachea_FACS,counts,nmf,4,0.6669342883129967
cosine,TabulaMuris_Trachea_FACS,counts,nmf,8,0.8225214631597572
cosine,TabulaMuris_Trachea_FACS,counts,nmf,16,0.8694470233592668
cosine,TabulaMuris_Trachea_FACS,counts,srp,96,0.3335019322724032
cosine,TabulaMuris_Trachea_FACS,counts,srp,48,0.21715534411408008
cosine,TabulaMuris_Trachea_FACS,counts,srp,32,0.27533236692655205
cosine,TabulaMuris_Trachea_FACS,counts,srp,2,nan
cosine,TabulaMuris_Trachea_FACS,counts,srp,4,0.09436106707509442
cosine,TabulaMuris_Trachea_FACS,counts,srp,8,0.00429510521802208
cosine,TabulaMuris_Trachea_FACS,counts,srp,16,0.300470730624321
cosine,TabulaMuris_Trachea_FACS,counts,snmf,48,0.7446499536561865
cosine,TabulaMuris_Trachea_FACS,counts,snmf,32,0.7796484204349992
cosine,TabulaMuris_Trachea_FACS,counts,snmf,2,0.45069097152250187
cosine,TabulaMuris_Trachea_FACS,counts,snmf,4,0.5556001208006907
cosine,TabulaMuris_Trachea_FACS,counts,snmf,8,0.683658530861688
cosine,TabulaMuris_Trachea_FACS,counts,snmf,16,0.4720150491845253
cosine,TabulaMuris_Trachea_FACS,counts,psmf,96,0.2848306374716798
cosine,TabulaMuris_Trachea_FACS,counts,psmf,48,0.3070244413899612
cosine,TabulaMuris_Trachea_FACS,counts,psmf,32,0.33357769498635553
cosine,TabulaMuris_Trachea_FACS,counts,psmf,2,0.25613896708762873
cosine,TabulaMuris_Trachea_FACS,counts,psmf,4,0.2564344938256136
cosine,TabulaMuris_Trachea_FACS,counts,psmf,8,0.31042310642251947
cosine,TabulaMuris_Trachea_FACS,counts,psmf,16,0.2902915283219521
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,96,0.014451243394594969
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,48,0.022825996685066685
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,32,0.024217695098202173
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,2,-0.14086632177031133
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,4,-0.11738799586959288
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,8,-0.06113211837917482
cosine,TabulaMuris_Trachea_FACS,counts,kpca-pol,16,0.022236790021272896
cosine,TabulaMuris_Trachea_FACS,counts,ivis,96,0.263434821807416
cosine,TabulaMuris_Trachea_FACS,counts,ivis,48,0.2932452250925453
cosine,TabulaMuris_Trachea_FACS,counts,ivis,32,0.26801611823381666
cosine,TabulaMuris_Trachea_FACS,counts,ivis,2,0.2805287116336582
cosine,TabulaMuris_Trachea_FACS,counts,ivis,4,0.29126241998470404
cosine,TabulaMuris_Trachea_FACS,counts,ivis,8,0.30450509751397203
cosine,TabulaMuris_Trachea_FACS,counts,ivis,16,0.33054277757155354
cosine,TabulaMuris_Trachea_FACS,counts,spectral,96,0.03441113323404936
cosine,TabulaMuris_Trachea_FACS,counts,spectral,48,0.029766575121424325
cosine,TabulaMuris_Trachea_FACS,counts,spectral,32,0.037028515969864416
cosine,TabulaMuris_Trachea_FACS,counts,spectral,2,0.24672773500631634
cosine,TabulaMuris_Trachea_FACS,counts,spectral,4,0.28433294374641643
cosine,TabulaMuris_Trachea_FACS,counts,spectral,8,0.1860120466607013
cosine,TabulaMuris_Trachea_FACS,counts,spectral,16,0.08847212595905256
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,96,0.807830024550888
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,48,0.7887348131660515
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,32,0.762660779239825
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,2,0.17509402949346417
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,4,0.4247375781416382
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,8,0.5910479939948982
cosine,TabulaMuris_Trachea_FACS,counts,nmf2,16,0.7186347565654796
cosine,TabulaMuris_Trachea_FACS,counts,icm,96,0.1410567041211298
cosine,TabulaMuris_Trachea_FACS,counts,icm,48,0.09819146526634812
cosine,TabulaMuris_Trachea_FACS,counts,icm,32,nan
cosine,TabulaMuris_Trachea_FACS,counts,icm,2,nan
cosine,TabulaMuris_Trachea_FACS,counts,icm,4,nan
cosine,TabulaMuris_Trachea_FACS,counts,icm,8,nan
cosine,TabulaMuris_Trachea_FACS,counts,icm,16,nan
cosine,TabulaMuris_Trachea_FACS,counts,pca,96,0.08344959518956828
cosine,TabulaMuris_Trachea_FACS,counts,pca,48,0.08563684942424386
cosine,TabulaMuris_Trachea_FACS,counts,pca,32,0.08825034197361808
cosine,TabulaMuris_Trachea_FACS,counts,pca,2,-0.012324287983166402
cosine,TabulaMuris_Trachea_FACS,counts,pca,4,0.06938265515625458
cosine,TabulaMuris_Trachea_FACS,counts,pca,8,0.09239164276595213
cosine,TabulaMuris_Trachea_FACS,counts,pca,16,0.09019753038921839
cosine,TabulaMuris_Trachea_FACS,counts,saucie,96,-0.028464719464747684
cosine,TabulaMuris_Trachea_FACS,counts,saucie,48,0.016689651252591847
cosine,TabulaMuris_Trachea_FACS,counts,saucie,32,0.01278347929827105
cosine,TabulaMuris_Trachea_FACS,counts,saucie,2,-0.01234445855663868
cosine,TabulaMuris_Trachea_FACS,counts,saucie,4,0.03580803576435022
cosine,TabulaMuris_Trachea_FACS,counts,saucie,8,-0.005675467689860536
cosine,TabulaMuris_Trachea_FACS,counts,saucie,16,-0.0026711775099158286
cosine,TabulaMuris_Trachea_FACS,counts,spca,96,0.08388640104485882
cosine,TabulaMuris_Trachea_FACS,counts,spca,48,0.08625660212103141
cosine,TabulaMuris_Trachea_FACS,counts,spca,32,0.08884367040580275
cosine,TabulaMuris_Trachea_FACS,counts,spca,2,-0.01232503338314206
cosine,TabulaMuris_Trachea_FACS,counts,spca,4,0.06938264100554767
cosine,TabulaMuris_Trachea_FACS,counts,spca,8,0.09239222672744651
cosine,TabulaMuris_Trachea_FACS,counts,spca,16,0.09019902221056376
