metric,dataset,count,method,dimensions,rho
cosine,baron-human,counts,zifa,2,0.2770623094378489
cosine,baron-human,counts,zifa,4,0.4344210194788681
cosine,baron-human,counts,zifa,8,0.44431880956786624
cosine,baron-human,counts,zifa,16,0.45578288415402934
cosine,baron-human,counts,vasc,96,nan
cosine,baron-human,counts,vasc,48,0.40835338149742584
cosine,baron-human,counts,vasc,32,nan
cosine,baron-human,counts,vasc,2,0.2908893471654153
cosine,baron-human,counts,vasc,4,0.29306921129218577
cosine,baron-human,counts,vasc,8,0.3456828008302606
cosine,baron-human,counts,vasc,16,0.35624112093519283
cosine,baron-human,counts,lle,96,0.08374528026677738
cosine,baron-human,counts,lle,48,0.15635304711491385
cosine,baron-human,counts,lle,32,-0.03070577175344715
cosine,baron-human,counts,lle,2,0.49046827072202387
cosine,baron-human,counts,lle,4,0.6886734359148384
cosine,baron-human,counts,lle,8,0.4765968428900125
cosine,baron-human,counts,lle,16,0.1844302342909784
cosine,baron-human,counts,kpca-cos,96,0.6572592529094071
cosine,baron-human,counts,kpca-cos,48,0.6505307944142088
cosine,baron-human,counts,kpca-cos,32,0.6460217744129214
cosine,baron-human,counts,kpca-cos,2,0.5668288216508933
cosine,baron-human,counts,kpca-cos,4,0.6122564623630213
cosine,baron-human,counts,kpca-cos,8,0.6154716245303391
cosine,baron-human,counts,kpca-cos,16,0.6358692335729204
cosine,baron-human,counts,grp,96,0.6583822560609185
cosine,baron-human,counts,grp,48,0.6194134286542633
cosine,baron-human,counts,grp,32,0.786582726175737
cosine,baron-human,counts,grp,2,0.41107739280804834
cosine,baron-human,counts,grp,4,0.5933041441165573
cosine,baron-human,counts,grp,8,0.5337306704115217
cosine,baron-human,counts,grp,16,0.5919488127051796
cosine,baron-human,counts,pmf,96,0.7130139483818086
cosine,baron-human,counts,pmf,48,0.6968075806023485
cosine,baron-human,counts,pmf,32,0.6861448963993685
cosine,baron-human,counts,pmf,2,0.5255146359532054
cosine,baron-human,counts,pmf,4,0.7986906776574071
cosine,baron-human,counts,pmf,8,0.7417478612715939
cosine,baron-human,counts,pmf,16,0.8008448928534125
cosine,baron-human,counts,ipca,96,0.7126294291994092
cosine,baron-human,counts,ipca,48,0.7111038179365031
cosine,baron-human,counts,ipca,32,0.7098422813522759
cosine,baron-human,counts,ipca,2,0.5713206729468573
cosine,baron-human,counts,ipca,4,0.6822467366062678
cosine,baron-human,counts,ipca,8,0.6971382389847202
cosine,baron-human,counts,ipca,16,0.7061199724505495
cosine,baron-human,counts,lda,96,0.573526142563907
cosine,baron-human,counts,lda,48,0.6301713975446954
cosine,baron-human,counts,lda,32,0.6572142736342852
cosine,baron-human,counts,lda,2,0.13816357775060595
cosine,baron-human,counts,lda,4,0.6354622998468816
cosine,baron-human,counts,lda,8,0.6275172911629201
cosine,baron-human,counts,lda,16,0.6519094066441847
cosine,baron-human,counts,tga,2,0.574418159462034
cosine,baron-human,counts,tga,4,0.6719370776581463
cosine,baron-human,counts,tga,8,0.6807610794226552
cosine,baron-human,counts,kpca-sig,96,nan
cosine,baron-human,counts,kpca-sig,48,nan
cosine,baron-human,counts,kpca-sig,32,nan
cosine,baron-human,counts,kpca-sig,2,nan
cosine,baron-human,counts,kpca-sig,4,nan
cosine,baron-human,counts,kpca-sig,8,nan
cosine,baron-human,counts,kpca-sig,16,nan
cosine,baron-human,counts,umap,96,0.5551310899710777
cosine,baron-human,counts,umap,48,0.5451395587254523
cosine,baron-human,counts,umap,32,0.5579636488011495
cosine,baron-human,counts,umap,2,0.5698826880955175
cosine,baron-human,counts,umap,4,0.5612827555230869
cosine,baron-human,counts,umap,8,0.5947449485732746
cosine,baron-human,counts,umap,16,0.553551390483044
cosine,baron-human,counts,phate,96,0.6464441358198231
cosine,baron-human,counts,phate,48,0.6574074745287822
cosine,baron-human,counts,phate,32,0.6412568460914417
cosine,baron-human,counts,phate,2,0.6485422608981911
