metric,dataset,count,method,dimensions,rho
cosine,baron-mouse,logcounts,zifa,32,0.635945983637324
cosine,baron-mouse,logcounts,zifa,2,0.7176564340588028
cosine,baron-mouse,logcounts,zifa,4,0.6744307709089281
cosine,baron-mouse,logcounts,zifa,8,0.6449317411879774
cosine,baron-mouse,logcounts,zifa,16,0.6444469652411335
cosine,baron-mouse,logcounts,vasc,96,nan
cosine,baron-mouse,logcounts,vasc,48,nan
cosine,baron-mouse,logcounts,vasc,32,0.15454267575668515
cosine,baron-mouse,logcounts,vasc,2,0.22741396756285465
cosine,baron-mouse,logcounts,vasc,4,0.3120311174861067
cosine,baron-mouse,logcounts,vasc,8,0.17993572369618516
cosine,baron-mouse,logcounts,vasc,16,0.11994260746076606
cosine,baron-mouse,logcounts,lle,96,0.08804761691270055
cosine,baron-mouse,logcounts,lle,48,0.09267214593642256
cosine,baron-mouse,logcounts,lle,32,0.09565392541199043
cosine,baron-mouse,logcounts,lle,2,0.11887517575492237
cosine,baron-mouse,logcounts,lle,4,0.050566333099598404
cosine,baron-mouse,logcounts,lle,8,0.11327649104558385
cosine,baron-mouse,logcounts,lle,16,0.09047729506989272
cosine,baron-mouse,logcounts,kpca-cos,96,0.38049782896443346
cosine,baron-mouse,logcounts,kpca-cos,48,0.3818363665013572
cosine,baron-mouse,logcounts,kpca-cos,32,0.3812663139528676
cosine,baron-mouse,logcounts,kpca-cos,2,0.437333690015935
cosine,baron-mouse,logcounts,kpca-cos,4,0.3944469611754003
cosine,baron-mouse,logcounts,kpca-cos,8,0.3792960386582601
cosine,baron-mouse,logcounts,kpca-cos,16,0.37962641524360285
cosine,baron-mouse,logcounts,grp,96,0.645795740685775
cosine,baron-mouse,logcounts,grp,48,0.5133478161851285
cosine,baron-mouse,logcounts,grp,32,0.445303322083108
cosine,baron-mouse,logcounts,grp,2,0.19878208798857547
cosine,baron-mouse,logcounts,grp,4,0.08828476014351633
cosine,baron-mouse,logcounts,grp,8,0.2384033830155833
cosine,baron-mouse,logcounts,grp,16,0.36594068211774644
cosine,baron-mouse,logcounts,pmf,96,0.604051917027734
cosine,baron-mouse,logcounts,pmf,48,0.5409845717781773
cosine,baron-mouse,logcounts,pmf,32,0.5362247681712835
cosine,baron-mouse,logcounts,pmf,2,0.2966500107930492
cosine,baron-mouse,logcounts,pmf,4,0.34162683344254474
cosine,baron-mouse,logcounts,pmf,8,0.432422401494888
cosine,baron-mouse,logcounts,pmf,16,0.5002861928632656
cosine,baron-mouse,logcounts,ipca,96,0.2316669318106677
cosine,baron-mouse,logcounts,ipca,48,0.23775058342787192
cosine,baron-mouse,logcounts,ipca,32,0.24076795347169916
cosine,baron-mouse,logcounts,ipca,2,0.1827462683007088
cosine,baron-mouse,logcounts,ipca,4,0.26676253588301335
cosine,baron-mouse,logcounts,ipca,8,0.2481172419438294
cosine,baron-mouse,logcounts,ipca,16,0.24281529944550964
cosine,baron-mouse,logcounts,lda,96,0.48129435817429655
cosine,baron-mouse,logcounts,lda,48,0.4411081243900957
cosine,baron-mouse,logcounts,lda,32,0.4758222076827388
cosine,baron-mouse,logcounts,lda,2,0.2683653873272516
cosine,baron-mouse,logcounts,lda,4,0.39465283902989534
cosine,baron-mouse,logcounts,lda,8,0.37394217467706375
cosine,baron-mouse,logcounts,lda,16,0.4122776008766052
cosine,baron-mouse,logcounts,kpca-sig,96,0.3120234896505359
cosine,baron-mouse,logcounts,kpca-sig,48,0.31823981493494213
cosine,baron-mouse,logcounts,kpca-sig,32,0.32175858670674723
cosine,baron-mouse,logcounts,kpca-sig,2,0.31584359028540315
cosine,baron-mouse,logcounts,kpca-sig,4,0.3255528684660319
cosine,baron-mouse,logcounts,kpca-sig,8,0.3267321654681868
cosine,baron-mouse,logcounts,kpca-sig,16,0.3262699814519437
cosine,baron-mouse,logcounts,umap,96,-0.11655235586874442
cosine,baron-mouse,logcounts,umap,48,-0.17564141870239605
cosine,baron-mouse,logcounts,umap,32,-0.09792813308365472
cosine,baron-mouse,logcounts,umap,2,0.2880208782106587
cosine,baron-mouse,logcounts,umap,4,-0.21837128966383754
cosine,baron-mouse,logcounts,umap,8,-0.06357339427670294
cosine,baron-mouse,logcounts,umap,16,-0.17279939514740206
cosine,baron-mouse,logcounts,phate,96,0.32731082090069213
cosine,baron-mouse,logcounts,phate,48,0.3116852135598704
cosine,baron-mouse,logcounts,phate,32,0.3281376879052488
cosine,baron-mouse,logcounts,phate,2,0.33199613772544284
cosine,baron-mouse,logcounts,phate,4,0.32700488429255703
cosine,baron-mouse,logcounts,phate,8,0.3129337706231117
cosine,baron-mouse,logcounts,phate,16,0.3131232082078868
cosine,baron-mouse,logcounts,fica,96,0.10271034327666811
cosine,baron-mouse,logcounts,fica,48,0.11202243679774088
cosine,baron-mouse,logcounts,fica,32,0.12224626530037883
cosine,baron-mouse,logcounts,fica,2,0.19840701944655612
cosine,baron-mouse,logcounts,fica,4,0.3020743909816831
cosine,baron-mouse,logcounts,fica,8,0.20465488430211565
cosine,baron-mouse,logcounts,fica,16,0.15264758879910162
cosine,baron-mouse,logcounts,isomap,96,-0.16970397858585226
cosine,baron-mouse,logcounts,isomap,48,-0.1706964513948761
cosine,baron-mouse,logcounts,isomap,32,-0.17124710627354367
cosine,baron-mouse,logcounts,isomap,2,-0.2048195780161417
cosine,baron-mouse,logcounts,isomap,4,-0.1695196833875429
cosine,baron-mouse,logcounts,isomap,8,-0.1812405457003257
cosine,baron-mouse,logcounts,isomap,16,-0.1696643150120352
cosine,baron-mouse,logcounts,tsvd,96,0.7508283724018278
cosine,baron-mouse,logcounts,tsvd,48,0.6869961853698446
cosine,baron-mouse,logcounts,tsvd,32,0.6580501370272849
cosine,baron-mouse,logcounts,tsvd,2,0.42523782312748987
cosine,baron-mouse,logcounts,tsvd,4,0.5787799101382995
cosine,baron-mouse,logcounts,tsvd,8,0.5827284985031032
cosine,baron-mouse,logcounts,tsvd,16,0.6137950954953284
cosine,baron-mouse,logcounts,vpac,96,0.17078443736539228
cosine,baron-mouse,logcounts,vpac,48,0.18409620784649275
cosine,baron-mouse,logcounts,vpac,32,0.1314038210909876
cosine,baron-mouse,logcounts,vpac,2,0.19567421466426085
cosine,baron-mouse,logcounts,vpac,4,0.28356680406019247
cosine,baron-mouse,logcounts,vpac,8,0.20992366983473523
cosine,baron-mouse,logcounts,vpac,16,0.1698463201641293
cosine,baron-mouse,logcounts,kpca-rbf,96,0.24081359702938404
cosine,baron-mouse,logcounts,kpca-rbf,48,0.26469931346051745
cosine,baron-mouse,logcounts,kpca-rbf,32,0.2743589331619163
cosine,baron-mouse,logcounts,kpca-rbf,2,0.2634865038170835
cosine,baron-mouse,logcounts,kpca-rbf,4,0.33417079071299866
cosine,baron-mouse,logcounts,kpca-rbf,8,0.3153644901264176
cosine,baron-mouse,logcounts,kpca-rbf,16,0.2970747936968773
cosine,baron-mouse,logcounts,mctsne,96,nan
cosine,baron-mouse,logcounts,mctsne,48,nan
cosine,baron-mouse,logcounts,mctsne,32,nan
cosine,baron-mouse,logcounts,mctsne,2,0.11300598854012851
cosine,baron-mouse,logcounts,mctsne,4,0.10937377374914835
cosine,baron-mouse,logcounts,mctsne,8,0.08785415342493613
cosine,baron-mouse,logcounts,nmf,96,0.3152391865455894
cosine,baron-mouse,logcounts,nmf,48,0.39340790047374974
cosine,baron-mouse,logcounts,nmf,32,0.423170508393272
cosine,baron-mouse,logcounts,nmf,2,0.3277990440161133
cosine,baron-mouse,logcounts,nmf,4,0.4836477932534142
cosine,baron-mouse,logcounts,nmf,8,0.447409910848368
cosine,baron-mouse,logcounts,nmf,16,0.44422025202426174
cosine,baron-mouse,logcounts,srp,96,0.6426931433222112
cosine,baron-mouse,logcounts,srp,48,0.56032656266394
cosine,baron-mouse,logcounts,srp,32,0.5796898681569083
cosine,baron-mouse,logcounts,srp,2,0.05260722378403343
cosine,baron-mouse,logcounts,srp,4,0.15932189629254093
cosine,baron-mouse,logcounts,srp,8,0.21428362321779248
cosine,baron-mouse,logcounts,srp,16,0.40067520852429606
cosine,baron-mouse,logcounts,snmf,96,0.29817429783165483
cosine,baron-mouse,logcounts,snmf,48,0.44448857033380085
cosine,baron-mouse,logcounts,snmf,32,0.4379320135402748
cosine,baron-mouse,logcounts,snmf,2,0.32543662395913137
cosine,baron-mouse,logcounts,snmf,4,0.46853517162044167
cosine,baron-mouse,logcounts,snmf,8,0.4804885924274772
cosine,baron-mouse,logcounts,snmf,16,0.45890614566753046
cosine,baron-mouse,logcounts,psmf,96,0.7687640960402207
cosine,baron-mouse,logcounts,psmf,48,0.5515360708008927
cosine,baron-mouse,logcounts,psmf,32,0.5034622338182966
cosine,baron-mouse,logcounts,psmf,2,0.38902479455319416
cosine,baron-mouse,logcounts,psmf,4,0.4762040325773795
cosine,baron-mouse,logcounts,psmf,8,0.4508524434590005
cosine,baron-mouse,logcounts,psmf,16,0.45860451473615427
cosine,baron-mouse,logcounts,kpca-pol,96,-0.05138234638256427
cosine,baron-mouse,logcounts,kpca-pol,48,-0.03044659542479012
cosine,baron-mouse,logcounts,kpca-pol,32,-0.02375325264047796
cosine,baron-mouse,logcounts,kpca-pol,2,-0.02028267617115099
cosine,baron-mouse,logcounts,kpca-pol,4,-0.018020237562775737
cosine,baron-mouse,logcounts,kpca-pol,8,-0.01087469694501819
cosine,baron-mouse,logcounts,kpca-pol,16,-0.016246673849232982
cosine,baron-mouse,logcounts,ivis,96,0.3085446578826169
cosine,baron-mouse,logcounts,ivis,48,0.30415514380583847
cosine,baron-mouse,logcounts,ivis,32,0.31666599049391436
cosine,baron-mouse,logcounts,ivis,2,0.3071969406348904
cosine,baron-mouse,logcounts,ivis,4,0.3039277856279353
cosine,baron-mouse,logcounts,ivis,8,0.2736819279072021
cosine,baron-mouse,logcounts,ivis,16,0.3244619803635833
cosine,baron-mouse,logcounts,spectral,96,0.046974541021857934
cosine,baron-mouse,logcounts,spectral,48,0.06524746956008773
cosine,baron-mouse,logcounts,spectral,32,0.0803182607849946
cosine,baron-mouse,logcounts,spectral,2,0.21371937208205366
cosine,baron-mouse,logcounts,spectral,4,0.20528957375478107
cosine,baron-mouse,logcounts,spectral,8,0.15968487170214526
cosine,baron-mouse,logcounts,spectral,16,0.11644935542768683
cosine,baron-mouse,logcounts,nmf2,96,0.5784672582849204
cosine,baron-mouse,logcounts,nmf2,48,0.5460233730036154
cosine,baron-mouse,logcounts,nmf2,32,0.5362793932678205
cosine,baron-mouse,logcounts,nmf2,2,0.40185641629569935
cosine,baron-mouse,logcounts,nmf2,4,0.39192333363841425
cosine,baron-mouse,logcounts,nmf2,8,0.4739898315346955
cosine,baron-mouse,logcounts,nmf2,16,0.47677503302173097
cosine,baron-mouse,logcounts,icm,96,0.22571717399343844
cosine,baron-mouse,logcounts,icm,48,0.34154776804770304
cosine,baron-mouse,logcounts,icm,32,0.4522741093273627
cosine,baron-mouse,logcounts,icm,2,0.324726038251034
cosine,baron-mouse,logcounts,icm,4,0.5032909980848375
cosine,baron-mouse,logcounts,icm,8,0.4499400997896168
cosine,baron-mouse,logcounts,icm,16,0.44775600919873
cosine,baron-mouse,logcounts,pca,96,0.23227093924997877
cosine,baron-mouse,logcounts,pca,48,0.23777461971016173
cosine,baron-mouse,logcounts,pca,32,0.2405063960276593
cosine,baron-mouse,logcounts,pca,2,0.1827462683138802
cosine,baron-mouse,logcounts,pca,4,0.26676253606409844
cosine,baron-mouse,logcounts,pca,8,0.24811821290635688
cosine,baron-mouse,logcounts,pca,16,0.24290310851095714
cosine,baron-mouse,logcounts,saucie,96,0.0015828594247799337
cosine,baron-mouse,logcounts,saucie,48,-0.02248321343247974
