metric,dataset,count,method,dimensions,rho
cosine,campbell,counts,zifa,2,0.26912134600552995
cosine,campbell,counts,zifa,4,0.3534688500460249
cosine,campbell,counts,vasc,96,0.059035130315972
cosine,campbell,counts,vasc,48,0.11548766758997756
cosine,campbell,counts,vasc,32,0.08428886573813943
cosine,campbell,counts,vasc,2,0.13678527626256162
cosine,campbell,counts,vasc,4,0.12400330987143078
cosine,campbell,counts,vasc,8,0.09691171444233976
cosine,campbell,counts,vasc,16,0.07885064829799363
cosine,campbell,counts,lle,96,0.044358031078880034
cosine,campbell,counts,lle,48,0.21377208908017123
cosine,campbell,counts,lle,32,0.3683010734224133
cosine,campbell,counts,lle,2,0.2922574896245595
cosine,campbell,counts,lle,4,0.2947707393756182
cosine,campbell,counts,lle,8,0.3115146420627272
cosine,campbell,counts,lle,16,0.45549728082861823
cosine,campbell,counts,kpca-cos,96,0.8629934136221035
cosine,campbell,counts,kpca-cos,48,0.8573279432810638
cosine,campbell,counts,kpca-cos,32,0.8519736288347481
cosine,campbell,counts,kpca-cos,2,0.46268769921730635
cosine,campbell,counts,kpca-cos,4,0.7035962631886057
cosine,campbell,counts,kpca-cos,8,0.7922601710296446
cosine,campbell,counts,kpca-cos,16,0.8408996548720912
cosine,campbell,counts,grp,96,0.8814068525918658
cosine,campbell,counts,grp,48,0.8420384591212425
cosine,campbell,counts,grp,32,0.7196357551614487
cosine,campbell,counts,grp,2,0.260445558648566
cosine,campbell,counts,grp,4,0.24997895783768417
cosine,campbell,counts,grp,8,0.4505239757053059
cosine,campbell,counts,grp,16,0.6663065745034055
cosine,campbell,counts,pmf,96,0.7676790817509559
cosine,campbell,counts,pmf,48,0.7575285613484988
cosine,campbell,counts,pmf,32,0.7544948133631932
cosine,campbell,counts,pmf,2,0.30155025740669156
cosine,campbell,counts,pmf,4,0.4491523742045123
cosine,campbell,counts,pmf,8,0.6014215199007792
cosine,campbell,counts,pmf,16,0.6678065437046367
cosine,campbell,counts,ipca,96,0.7989848964884394
cosine,campbell,counts,ipca,48,0.7916543507934584
cosine,campbell,counts,ipca,32,0.785128343459873
cosine,campbell,counts,ipca,2,0.4099992961850099
cosine,campbell,counts,ipca,4,0.5794231477238526
cosine,campbell,counts,ipca,8,0.6902591582149871
cosine,campbell,counts,ipca,16,0.7596221042683403
cosine,campbell,counts,lda,96,0.5953432883261605
cosine,campbell,counts,lda,48,0.5907019050094112
cosine,campbell,counts,lda,32,0.5852944487563245
cosine,campbell,counts,lda,2,0.05644876556165803
cosine,campbell,counts,lda,4,0.32772939707005366
cosine,campbell,counts,lda,8,0.57622054188554
cosine,campbell,counts,lda,16,0.570561911740304
cosine,campbell,counts,tga,4,0.5317763220180484
cosine,campbell,counts,tga,8,0.6521042862232295
cosine,campbell,counts,kpca-sig,96,nan
cosine,campbell,counts,kpca-sig,48,nan
cosine,campbell,counts,kpca-sig,32,nan
cosine,campbell,counts,kpca-sig,2,nan
cosine,campbell,counts,kpca-sig,4,nan
cosine,campbell,counts,kpca-sig,8,nan
cosine,campbell,counts,kpca-sig,16,nan
cosine,campbell,counts,umap,96,0.6496683621342649
cosine,campbell,counts,umap,48,0.6568544235794015
cosine,campbell,counts,umap,32,0.6537496976543167
cosine,campbell,counts,umap,2,0.48556996170591554
cosine,campbell,counts,umap,4,0.6439596260171754
cosine,campbell,counts,umap,8,0.6439262400977567
cosine,campbell,counts,umap,16,0.6450834276061217
cosine,campbell,counts,phate,96,0.6210524943274872
cosine,campbell,counts,phate,48,0.6231696433551933
cosine,campbell,counts,phate,32,0.6235341337556627
cosine,campbell,counts,phate,2,0.5329400545443673
cosine,campbell,counts,phate,4,0.6123802564443015
cosine,campbell,counts,phate,8,0.6276208437635833
cosine,campbell,counts,phate,16,0.6250405624585916
cosine,campbell,counts,fica,96,0.2936304801188409
cosine,campbell,counts,fica,48,0.4204442408914374
cosine,campbell,counts,fica,32,0.5397477979904858
cosine,campbell,counts,fica,2,0.4074170728051289
cosine,campbell,counts,fica,4,0.6061429018890659
cosine,campbell,counts,fica,8,0.7144201994230809
cosine,campbell,counts,fica,16,0.6977667407522663
cosine,campbell,counts,isomap,96,0.6432488520775891
cosine,campbell,counts,isomap,48,0.6460575970734086
cosine,campbell,counts,isomap,32,0.6481009634451231
cosine,campbell,counts,isomap,2,0.43268029375596406
cosine,campbell,counts,isomap,4,0.6080163469698526
cosine,campbell,counts,isomap,8,0.6086248509553214
cosine,campbell,counts,isomap,16,0.6447266132526663
cosine,campbell,counts,tsvd,96,0.9280061460697638
cosine,campbell,counts,tsvd,48,0.9071740110929345
cosine,campbell,counts,tsvd,32,0.8928925561595051
cosine,campbell,counts,tsvd,2,0.40995106468856235
cosine,campbell,counts,tsvd,4,0.45079868917213456
cosine,campbell,counts,tsvd,8,0.6984729756102546
cosine,campbell,counts,tsvd,16,0.8477912031083324
cosine,campbell,counts,vpac,96,0.2562746448098513
cosine,campbell,counts,vpac,48,0.250777720024392
cosine,campbell,counts,vpac,32,0.14588256011468015
cosine,campbell,counts,vpac,2,0.1702567851988698
cosine,campbell,counts,vpac,4,0.048754628367109504
cosine,campbell,counts,vpac,8,0.10959924177609975
cosine,campbell,counts,vpac,16,0.16201621992404305
cosine,campbell,counts,kpca-rbf,96,-0.0009797853517532827
cosine,campbell,counts,kpca-rbf,48,-0.0006297197626959737
cosine,campbell,counts,kpca-rbf,32,-0.0014480333416437275
cosine,campbell,counts,kpca-rbf,2,0.004344633869859117
cosine,campbell,counts,kpca-rbf,4,-0.0001428140201003264
cosine,campbell,counts,kpca-rbf,8,0.0037095550450858546
cosine,campbell,counts,kpca-rbf,16,-0.0010177132093651068
cosine,campbell,counts,mctsne,96,0.3013904773501501
cosine,campbell,counts,mctsne,48,nan
cosine,campbell,counts,mctsne,32,nan
cosine,campbell,counts,mctsne,2,0.44104975333262103
cosine,campbell,counts,mctsne,4,0.5422143486547353
cosine,campbell,counts,mctsne,8,0.6338770235501959
cosine,campbell,counts,nmf,96,0.8418506866066061
cosine,campbell,counts,nmf,48,0.8389026796641917
cosine,campbell,counts,nmf,32,0.8377274202177498
cosine,campbell,counts,nmf,2,0.41668422386530396
cosine,campbell,counts,nmf,4,0.3897741548930233
cosine,campbell,counts,nmf,8,0.6909099606802377
cosine,campbell,counts,nmf,16,0.8076700685083661
cosine,campbell,counts,srp,96,0.6043684164138658
cosine,campbell,counts,srp,48,0.3138630965081248
cosine,campbell,counts,srp,32,0.411898399901708
cosine,campbell,counts,srp,2,nan
cosine,campbell,counts,srp,4,0.21942964562330494
cosine,campbell,counts,srp,8,0.10779418038090477
cosine,campbell,counts,srp,16,0.2750058947481268
cosine,campbell,counts,snmf,48,0.707037320013329
cosine,campbell,counts,snmf,32,0.7850055125747759
cosine,campbell,counts,snmf,2,0.4155034099548573
cosine,campbell,counts,snmf,4,0.3794412586723766
cosine,campbell,counts,snmf,8,0.46835788773679066
cosine,campbell,counts,snmf,16,0.72611924355466
cosine,campbell,counts,psmf,96,0.44922002567097563
cosine,campbell,counts,psmf,48,0.48282983901638654
cosine,campbell,counts,psmf,32,0.5280089030147781
cosine,campbell,counts,psmf,2,0.10548565071464078
cosine,campbell,counts,psmf,4,0.3073915964224413
cosine,campbell,counts,psmf,8,0.3663029995892648
