metric,dataset,count,method,dimensions,rho
cosine,chen,logcounts,zifa,2,0.5796567007178037
cosine,chen,logcounts,zifa,4,0.6950651607351769
cosine,chen,logcounts,zifa,8,0.7560895676191008
cosine,chen,logcounts,vasc,96,0.17986704376098428
cosine,chen,logcounts,vasc,48,0.2308762245964092
cosine,chen,logcounts,vasc,32,0.30430932678778916
cosine,chen,logcounts,vasc,2,0.3397363571728831
cosine,chen,logcounts,vasc,4,0.21926868896203106
cosine,chen,logcounts,vasc,8,0.09042332436741245
cosine,chen,logcounts,vasc,16,0.17441634525417132
cosine,chen,logcounts,lle,96,0.0051339064048664925
cosine,chen,logcounts,lle,48,0.029903639854065887
cosine,chen,logcounts,lle,32,0.03960615853330789
cosine,chen,logcounts,lle,2,-0.23745543804004848
cosine,chen,logcounts,lle,4,-0.13235241852680535
cosine,chen,logcounts,lle,8,-0.012400794806663382
cosine,chen,logcounts,lle,16,0.07721269206020857
cosine,chen,logcounts,kpca-cos,96,0.21481413402415417
cosine,chen,logcounts,kpca-cos,48,0.2153592224951349
cosine,chen,logcounts,kpca-cos,32,0.21556104093527564
cosine,chen,logcounts,kpca-cos,2,0.09100303698188499
cosine,chen,logcounts,kpca-cos,4,0.22188456566008985
cosine,chen,logcounts,kpca-cos,8,0.2159623604596269
cosine,chen,logcounts,kpca-cos,16,0.21733538599573152
cosine,chen,logcounts,grp,96,0.6012384573054159
cosine,chen,logcounts,grp,48,0.4490423501659213
cosine,chen,logcounts,grp,32,0.4071574835316054
cosine,chen,logcounts,grp,2,0.027846117114965246
cosine,chen,logcounts,grp,4,0.17333838182477365
cosine,chen,logcounts,grp,8,0.1917047426688505
cosine,chen,logcounts,grp,16,0.37219474676077335
cosine,chen,logcounts,pmf,96,0.6651678881374199
cosine,chen,logcounts,pmf,48,0.6697564580164727
cosine,chen,logcounts,pmf,32,0.6410073659234542
cosine,chen,logcounts,pmf,2,0.19570480233118845
cosine,chen,logcounts,pmf,4,0.3917535940009085
cosine,chen,logcounts,pmf,8,0.42600056343576925
cosine,chen,logcounts,pmf,16,0.5199807359172616
cosine,chen,logcounts,ipca,96,0.06432767917017683
cosine,chen,logcounts,ipca,48,0.06383739925770643
cosine,chen,logcounts,ipca,32,0.06431554758219933
cosine,chen,logcounts,ipca,2,-0.06751983645831437
cosine,chen,logcounts,ipca,4,0.054111219893579116
cosine,chen,logcounts,ipca,8,0.06855759799083014
cosine,chen,logcounts,ipca,16,0.06715309082765261
cosine,chen,logcounts,lda,96,0.4066881885207644
cosine,chen,logcounts,lda,48,0.4123447640532275
cosine,chen,logcounts,lda,32,0.4033257153577102
cosine,chen,logcounts,lda,2,0.18994466806614507
cosine,chen,logcounts,lda,4,0.4646839129865915
cosine,chen,logcounts,lda,8,0.48868451334692786
cosine,chen,logcounts,lda,16,0.45999030171941047
