metric,dataset,count,method,dimensions,rho
cosine,darmanis,logcounts,zifa,96,0.2627668468940281
cosine,darmanis,logcounts,zifa,48,0.3521118925858069
cosine,darmanis,logcounts,zifa,32,0.38645141790105597
cosine,darmanis,logcounts,zifa,2,0.5474529757825799
cosine,darmanis,logcounts,zifa,4,0.5728519897258371
cosine,darmanis,logcounts,zifa,8,0.5439887387530268
cosine,darmanis,logcounts,zifa,16,0.503598303055128
cosine,darmanis,logcounts,vasc,96,nan
cosine,darmanis,logcounts,vasc,48,nan
cosine,darmanis,logcounts,vasc,32,nan
cosine,darmanis,logcounts,vasc,2,0.4313919403898148
cosine,darmanis,logcounts,vasc,4,0.3733047400154097
cosine,darmanis,logcounts,vasc,8,0.2650558868583837
cosine,darmanis,logcounts,vasc,16,0.14927293844415276
cosine,darmanis,logcounts,lle,96,0.03271291612053692
cosine,darmanis,logcounts,lle,48,0.08248094410586285
cosine,darmanis,logcounts,lle,32,0.10189207466832018
cosine,darmanis,logcounts,lle,2,0.12026940019423187
cosine,darmanis,logcounts,lle,4,0.15362541712298272
cosine,darmanis,logcounts,lle,8,0.25896338183572454
cosine,darmanis,logcounts,lle,16,0.14576512262086477
cosine,darmanis,logcounts,kpca-cos,96,0.3426941534972977
cosine,darmanis,logcounts,kpca-cos,48,0.35437771795536976
cosine,darmanis,logcounts,kpca-cos,32,0.3625781470528284
cosine,darmanis,logcounts,kpca-cos,2,0.3717460932976038
cosine,darmanis,logcounts,kpca-cos,4,0.3820411392033902
cosine,darmanis,logcounts,kpca-cos,8,0.3848090124322777
cosine,darmanis,logcounts,kpca-cos,16,0.3748369801399306
cosine,darmanis,logcounts,grp,96,0.705021640135686
cosine,darmanis,logcounts,grp,48,0.7107063456712984
cosine,darmanis,logcounts,grp,32,0.6435910610068137
cosine,darmanis,logcounts,grp,2,0.039499843543703964
cosine,darmanis,logcounts,grp,4,0.1959327296439001
cosine,darmanis,logcounts,grp,8,0.3399871561940323
cosine,darmanis,logcounts,grp,16,0.526374155006538
cosine,darmanis,logcounts,pmf,96,0.7230166254961427
cosine,darmanis,logcounts,pmf,48,0.6800029272404472
cosine,darmanis,logcounts,pmf,32,0.6629558161642991
cosine,darmanis,logcounts,pmf,2,0.3523354769275896
cosine,darmanis,logcounts,pmf,4,0.44351206666112897
cosine,darmanis,logcounts,pmf,8,0.5282508803719015
cosine,darmanis,logcounts,pmf,16,0.5988727042341863
cosine,darmanis,logcounts,ipca,96,0.20640137499266115
cosine,darmanis,logcounts,ipca,48,0.21560125755724852
cosine,darmanis,logcounts,ipca,32,0.22234304364860885
cosine,darmanis,logcounts,ipca,2,0.1574522017640594
cosine,darmanis,logcounts,ipca,4,0.22613228885759745
cosine,darmanis,logcounts,ipca,8,0.24538699294876956
cosine,darmanis,logcounts,ipca,16,0.23199626379601576
cosine,darmanis,logcounts,lda,96,0.6404225860882515
cosine,darmanis,logcounts,lda,48,0.6417987092276656
cosine,darmanis,logcounts,lda,32,0.6135163818228795
cosine,darmanis,logcounts,lda,2,0.3686396746981272
cosine,darmanis,logcounts,lda,4,0.5221125494019552
cosine,darmanis,logcounts,lda,8,0.49903428523303606
cosine,darmanis,logcounts,lda,16,0.6034222755288082
cosine,darmanis,logcounts,kpca-sig,96,0.36532155177798603
cosine,darmanis,logcounts,kpca-sig,48,0.3781300037110192
cosine,darmanis,logcounts,kpca-sig,32,0.3877128035740915
cosine,darmanis,logcounts,kpca-sig,2,0.3736737616396624
cosine,darmanis,logcounts,kpca-sig,4,0.40505331917084464
cosine,darmanis,logcounts,kpca-sig,8,0.41081442433222076
cosine,darmanis,logcounts,kpca-sig,16,0.40236345915626115
cosine,darmanis,logcounts,umap,96,0.08234378972256003
cosine,darmanis,logcounts,umap,48,0.11025214372444558
cosine,darmanis,logcounts,umap,32,0.1464234298926795
cosine,darmanis,logcounts,umap,2,-0.016616091568392503
cosine,darmanis,logcounts,umap,4,-0.03176840533174716
cosine,darmanis,logcounts,umap,8,0.1326147927062413
cosine,darmanis,logcounts,umap,16,0.09240401368118836
cosine,darmanis,logcounts,phate,96,0.31760347932247346
cosine,darmanis,logcounts,phate,48,0.3371536703338004
cosine,darmanis,logcounts,phate,32,0.3357898753498437
cosine,darmanis,logcounts,phate,2,0.3593203826873111
cosine,darmanis,logcounts,phate,4,0.32696945980281483
cosine,darmanis,logcounts,phate,8,0.3204969696560238
cosine,darmanis,logcounts,phate,16,0.3248566769466214
cosine,darmanis,logcounts,fica,96,0.11689761598431887
cosine,darmanis,logcounts,fica,48,0.1404444086229417
cosine,darmanis,logcounts,fica,32,0.15516407839223753
cosine,darmanis,logcounts,fica,2,0.19765548384973824
cosine,darmanis,logcounts,fica,4,0.2683739940544474
cosine,darmanis,logcounts,fica,8,0.2438095441282392
cosine,darmanis,logcounts,fica,16,0.1828850985711065
cosine,darmanis,logcounts,isomap,96,-0.1065369774311222
cosine,darmanis,logcounts,isomap,48,-0.11960248416870697
cosine,darmanis,logcounts,isomap,32,-0.1226369082555178
cosine,darmanis,logcounts,isomap,2,-0.15453133863448845
cosine,darmanis,logcounts,isomap,4,-0.108330876614574
cosine,darmanis,logcounts,isomap,8,-0.1136714658800332
cosine,darmanis,logcounts,isomap,16,-0.11521551552972371
cosine,darmanis,logcounts,tsvd,96,0.7488741548742964
cosine,darmanis,logcounts,tsvd,48,0.755366190652233
cosine,darmanis,logcounts,tsvd,32,0.7533387212089679
cosine,darmanis,logcounts,tsvd,2,0.38408571694582805
cosine,darmanis,logcounts,tsvd,4,0.5036439299238775
cosine,darmanis,logcounts,tsvd,8,0.7054929510569189
cosine,darmanis,logcounts,tsvd,16,0.7393165474620725
cosine,darmanis,logcounts,vpac,96,0.1733354667071215
cosine,darmanis,logcounts,vpac,48,0.2059867931745109
cosine,darmanis,logcounts,vpac,32,0.2206446059085334
cosine,darmanis,logcounts,vpac,2,-0.2535842353639405
cosine,darmanis,logcounts,vpac,4,0.24917019055554857
cosine,darmanis,logcounts,vpac,8,0.14655658176662673
cosine,darmanis,logcounts,vpac,16,0.19457993511873395
cosine,darmanis,logcounts,kpca-rbf,96,0.23291893179322806
cosine,darmanis,logcounts,kpca-rbf,48,0.2533707587769189
cosine,darmanis,logcounts,kpca-rbf,32,0.26522753935088983
cosine,darmanis,logcounts,kpca-rbf,2,0.22289750099457148
cosine,darmanis,logcounts,kpca-rbf,4,0.2935157215309829
cosine,darmanis,logcounts,kpca-rbf,8,0.29850934677021185
cosine,darmanis,logcounts,kpca-rbf,16,0.27933101333177784
cosine,darmanis,logcounts,mctsne,96,-0.21856896796282835
cosine,darmanis,logcounts,mctsne,48,0.08215316356321771
cosine,darmanis,logcounts,mctsne,32,nan
cosine,darmanis,logcounts,mctsne,2,0.22048998620029608
cosine,darmanis,logcounts,mctsne,4,0.20725395017284423
cosine,darmanis,logcounts,mctsne,8,0.18700634322345916
cosine,darmanis,logcounts,mctsne,16,0.17801078925488212
cosine,darmanis,logcounts,nmf,96,0.21705401745657818
cosine,darmanis,logcounts,nmf,48,0.38307065472667307
cosine,darmanis,logcounts,nmf,32,0.42685671408773007
cosine,darmanis,logcounts,nmf,2,0.340676938991971
cosine,darmanis,logcounts,nmf,4,0.393933576795617
cosine,darmanis,logcounts,nmf,8,0.5639120256468987
cosine,darmanis,logcounts,nmf,16,0.4923686091727072
cosine,darmanis,logcounts,srp,96,0.7536817296732773
cosine,darmanis,logcounts,srp,48,0.6190949975939459
cosine,darmanis,logcounts,srp,32,0.5254478029254973
cosine,darmanis,logcounts,srp,2,0.0740977640836416
cosine,darmanis,logcounts,srp,4,0.23176188115313515
cosine,darmanis,logcounts,srp,8,0.255851232608608
cosine,darmanis,logcounts,srp,16,0.301698528484308
cosine,darmanis,logcounts,snmf,48,0.34947958746001284
cosine,darmanis,logcounts,snmf,32,0.42423416627397187
cosine,darmanis,logcounts,snmf,2,0.3506868157700442
cosine,darmanis,logcounts,snmf,4,0.43881226617956987
cosine,darmanis,logcounts,snmf,8,0.48689059747011754
cosine,darmanis,logcounts,snmf,16,0.5156360903592215
cosine,darmanis,logcounts,psmf,96,0.5787041387713722
cosine,darmanis,logcounts,psmf,48,0.5932631065947557
cosine,darmanis,logcounts,psmf,32,0.5513456636327819
cosine,darmanis,logcounts,psmf,2,0.17345080813720062
cosine,darmanis,logcounts,psmf,4,0.36339155942098184
cosine,darmanis,logcounts,psmf,8,0.4115950990093113
cosine,darmanis,logcounts,psmf,16,0.5680019283358579
cosine,darmanis,logcounts,kpca-pol,96,-0.07463027831789454
cosine,darmanis,logcounts,kpca-pol,48,-0.04686950635759107
cosine,darmanis,logcounts,kpca-pol,32,-0.034346712411480004
cosine,darmanis,logcounts,kpca-pol,2,-0.06488237973910692
cosine,darmanis,logcounts,kpca-pol,4,-0.010564309912096292
cosine,darmanis,logcounts,kpca-pol,8,-0.010319041401148574
cosine,darmanis,logcounts,kpca-pol,16,-0.020983620309861655
cosine,darmanis,logcounts,ivis,96,0.41067134326279386
cosine,darmanis,logcounts,ivis,48,0.40253534616137193
cosine,darmanis,logcounts,ivis,32,0.4174920568672857
cosine,darmanis,logcounts,ivis,2,0.267922901678173
cosine,darmanis,logcounts,ivis,4,0.4206060878434881
cosine,darmanis,logcounts,ivis,8,0.4734783257974251
cosine,darmanis,logcounts,ivis,16,0.32949761046664433
cosine,darmanis,logcounts,spectral,96,0.0556092828383704
cosine,darmanis,logcounts,spectral,48,0.08616883667101026
cosine,darmanis,logcounts,spectral,32,0.1063463201218289
cosine,darmanis,logcounts,spectral,2,0.12434738895268867
cosine,darmanis,logcounts,spectral,4,0.25829523059587556
cosine,darmanis,logcounts,spectral,8,0.18808051020098393
cosine,darmanis,logcounts,spectral,16,0.15036856586381545
cosine,darmanis,logcounts,nmf2,96,0.6424407804478822
cosine,darmanis,logcounts,nmf2,48,0.5900577548978478
cosine,darmanis,logcounts,nmf2,32,0.567779592133756
cosine,darmanis,logcounts,nmf2,2,0.32043164431598375
cosine,darmanis,logcounts,nmf2,4,0.341305903334297
cosine,darmanis,logcounts,nmf2,8,0.4658415113587272
cosine,darmanis,logcounts,nmf2,16,0.4774790273281221
cosine,darmanis,logcounts,icm,96,0.3324724867844111
cosine,darmanis,logcounts,icm,48,0.33935425240717315
cosine,darmanis,logcounts,icm,32,0.4655464134613999
cosine,darmanis,logcounts,icm,2,0.3728815230684133
cosine,darmanis,logcounts,icm,4,0.4310710995163756
cosine,darmanis,logcounts,icm,8,0.5801867824392845
cosine,darmanis,logcounts,icm,16,0.522588255605034
cosine,darmanis,logcounts,pca,96,0.2093123544163049
cosine,darmanis,logcounts,pca,48,0.21705660520931838
cosine,darmanis,logcounts,pca,32,0.2224333930952403
cosine,darmanis,logcounts,pca,2,0.15745218816026854
cosine,darmanis,logcounts,pca,4,0.22613231730858824
cosine,darmanis,logcounts,pca,8,0.2453887374743382
cosine,darmanis,logcounts,pca,16,0.2320484446476037
cosine,darmanis,logcounts,saucie,96,-0.04157502025977347
cosine,darmanis,logcounts,saucie,48,0.025231928624530994
cosine,darmanis,logcounts,saucie,32,0.023477896392984053
