metric,dataset,count,method,dimensions,rho
cosine,deng-reads,counts,zifa,96,0.1900826324138352
cosine,deng-reads,counts,zifa,48,0.29491848012708677
cosine,deng-reads,counts,zifa,32,0.3372448347021287
cosine,deng-reads,counts,zifa,2,0.7084788339804793
cosine,deng-reads,counts,zifa,4,0.5745923875156229
cosine,deng-reads,counts,zifa,8,0.3778116218835616
cosine,deng-reads,counts,zifa,16,0.35814312790625846
cosine,deng-reads,counts,vasc,96,nan
cosine,deng-reads,counts,vasc,48,nan
cosine,deng-reads,counts,vasc,32,0.46888790158043026
cosine,deng-reads,counts,vasc,2,0.7559064598910217
cosine,deng-reads,counts,vasc,4,0.5806008975899881
cosine,deng-reads,counts,vasc,8,0.534956959753218
cosine,deng-reads,counts,vasc,16,0.3811228002823986
cosine,deng-reads,counts,lle,96,0.04084769658366831
cosine,deng-reads,counts,lle,48,-0.023490275521855866
cosine,deng-reads,counts,lle,32,-0.24528649016431794
cosine,deng-reads,counts,lle,2,0.3653541326687388
cosine,deng-reads,counts,lle,4,0.5283936213621392
cosine,deng-reads,counts,lle,8,0.44297551645245553
cosine,deng-reads,counts,lle,16,0.10262722245989549
cosine,deng-reads,counts,kpca-cos,96,0.7592144096542687
cosine,deng-reads,counts,kpca-cos,48,0.7557622146998599
cosine,deng-reads,counts,kpca-cos,32,0.7542718734071786
cosine,deng-reads,counts,kpca-cos,2,0.7545466213215879
cosine,deng-reads,counts,kpca-cos,4,0.7368433682863488
cosine,deng-reads,counts,kpca-cos,8,0.7442548097867089
cosine,deng-reads,counts,kpca-cos,16,0.74992576095325
cosine,deng-reads,counts,grp,96,0.9842731197734609
cosine,deng-reads,counts,grp,48,0.9512236554456601
cosine,deng-reads,counts,grp,32,0.9132339805468991
cosine,deng-reads,counts,grp,2,0.522805737877482
cosine,deng-reads,counts,grp,4,0.43543741367356303
cosine,deng-reads,counts,grp,8,0.6165268332294153
cosine,deng-reads,counts,grp,16,0.9208496597372116
cosine,deng-reads,counts,pmf,96,0.9172572307791876
cosine,deng-reads,counts,pmf,48,0.9356770069791576
cosine,deng-reads,counts,pmf,32,0.9408632293266346
cosine,deng-reads,counts,pmf,2,0.733315433787311
cosine,deng-reads,counts,pmf,4,0.8535345250902027
cosine,deng-reads,counts,pmf,8,0.9062075154797784
cosine,deng-reads,counts,pmf,16,0.9343033143674969
cosine,deng-reads,counts,ipca,96,0.7165863278775152
cosine,deng-reads,counts,ipca,48,0.7126364700100748
cosine,deng-reads,counts,ipca,32,0.7114194738896403
cosine,deng-reads,counts,ipca,2,0.6347964749360427
cosine,deng-reads,counts,ipca,4,0.7008436025439387
cosine,deng-reads,counts,ipca,8,0.7058978082829763
cosine,deng-reads,counts,ipca,16,0.7092048019131169
cosine,deng-reads,counts,lda,96,0.7943751685592939
