metric,dataset,count,method,dimensions,rho
cosine,deng-reads,logcounts,zifa,96,0.0966190942294735
cosine,deng-reads,logcounts,zifa,48,0.16664540266712483
cosine,deng-reads,logcounts,zifa,32,0.20864454925860548
cosine,deng-reads,logcounts,zifa,2,0.3936590177208696
cosine,deng-reads,logcounts,zifa,4,0.4479583672795912
cosine,deng-reads,logcounts,zifa,8,0.3283271163781859
cosine,deng-reads,logcounts,zifa,16,0.2706155021892715
cosine,deng-reads,logcounts,vasc,96,nan
cosine,deng-reads,logcounts,vasc,48,0.47852950725460336
cosine,deng-reads,logcounts,vasc,32,nan
cosine,deng-reads,logcounts,vasc,2,0.32494437597299713
cosine,deng-reads,logcounts,vasc,4,0.4325326272820383
cosine,deng-reads,logcounts,vasc,8,0.3694677166110146
cosine,deng-reads,logcounts,vasc,16,nan
cosine,deng-reads,logcounts,lle,96,0.15222520021356745
cosine,deng-reads,logcounts,lle,48,-0.14830654401681176
cosine,deng-reads,logcounts,lle,32,0.1494780966131667
cosine,deng-reads,logcounts,lle,2,0.19671666868265472
cosine,deng-reads,logcounts,lle,4,0.34449043493199405
cosine,deng-reads,logcounts,lle,8,0.2137606919996512
cosine,deng-reads,logcounts,lle,16,-0.053892971029738834
cosine,deng-reads,logcounts,kpca-cos,96,0.5137721031409
cosine,deng-reads,logcounts,kpca-cos,48,0.4967109699223921
cosine,deng-reads,logcounts,kpca-cos,32,0.4982883257498561
cosine,deng-reads,logcounts,kpca-cos,2,0.39637471073903285
cosine,deng-reads,logcounts,kpca-cos,4,0.5182749936552428
cosine,deng-reads,logcounts,kpca-cos,8,0.513184081712203
cosine,deng-reads,logcounts,kpca-cos,16,0.5078239839712384
cosine,deng-reads,logcounts,grp,96,0.9209497964312693
cosine,deng-reads,logcounts,grp,48,0.8831273290959486
cosine,deng-reads,logcounts,grp,32,0.7968429264101793
cosine,deng-reads,logcounts,grp,2,0.3714208124459961
cosine,deng-reads,logcounts,grp,4,0.5066369450129655
cosine,deng-reads,logcounts,grp,8,0.509471138051831
cosine,deng-reads,logcounts,grp,16,0.6425874585155393
cosine,deng-reads,logcounts,pmf,96,0.7595738667110208
cosine,deng-reads,logcounts,pmf,48,0.7192772875269186
cosine,deng-reads,logcounts,pmf,32,0.7125827423270251
cosine,deng-reads,logcounts,pmf,2,0.572338481081204
cosine,deng-reads,logcounts,pmf,4,0.585133486309278
cosine,deng-reads,logcounts,pmf,8,0.6343079738054974
cosine,deng-reads,logcounts,pmf,16,0.6713692837645066
cosine,deng-reads,logcounts,ipca,96,0.5626273740218269
cosine,deng-reads,logcounts,ipca,48,0.5482383414963797
cosine,deng-reads,logcounts,ipca,32,0.5493971382087474
cosine,deng-reads,logcounts,ipca,2,0.4259166937721817
cosine,deng-reads,logcounts,ipca,4,0.5404226557333829
cosine,deng-reads,logcounts,ipca,8,0.5487113493432465
cosine,deng-reads,logcounts,ipca,16,0.5525572574197676
cosine,deng-reads,logcounts,lda,96,0.6517631584563621
cosine,deng-reads,logcounts,lda,48,0.6988982702130402
cosine,deng-reads,logcounts,lda,32,0.6630500607570244
cosine,deng-reads,logcounts,lda,2,0.3412343442681239
cosine,deng-reads,logcounts,lda,4,0.5694673900961136
cosine,deng-reads,logcounts,lda,8,0.6849672445617447
cosine,deng-reads,logcounts,lda,16,0.7195861595501658
cosine,deng-reads,logcounts,kpca-sig,96,0.43946007620995337
cosine,deng-reads,logcounts,kpca-sig,48,0.4394055146459157
cosine,deng-reads,logcounts,kpca-sig,32,0.434285869087704
cosine,deng-reads,logcounts,kpca-sig,2,0.27247752232464967
cosine,deng-reads,logcounts,kpca-sig,4,0.41219561384841924
cosine,deng-reads,logcounts,kpca-sig,8,0.4241307738702102
cosine,deng-reads,logcounts,kpca-sig,16,0.42906761223741674
cosine,deng-reads,logcounts,umap,96,0.26323218008188826
cosine,deng-reads,logcounts,umap,48,0.2679338239092141
cosine,deng-reads,logcounts,umap,32,0.28742633172790594
cosine,deng-reads,logcounts,umap,2,0.3274543613935761
cosine,deng-reads,logcounts,umap,4,0.3087889386264837
cosine,deng-reads,logcounts,umap,8,0.31488882280570085
cosine,deng-reads,logcounts,umap,16,0.2327572994574386
cosine,deng-reads,logcounts,phate,96,0.4775770308295225
cosine,deng-reads,logcounts,phate,48,0.4790417848298236
cosine,deng-reads,logcounts,phate,32,0.46627763249758103
cosine,deng-reads,logcounts,phate,2,0.41518664874776184
cosine,deng-reads,logcounts,phate,4,0.47256345761900276
cosine,deng-reads,logcounts,phate,8,0.4715692528380294
cosine,deng-reads,logcounts,phate,16,0.47514968767545257
cosine,deng-reads,logcounts,fica,96,0.11986509824679478
cosine,deng-reads,logcounts,fica,48,0.18940010483151287
cosine,deng-reads,logcounts,fica,32,0.23016177092156012
cosine,deng-reads,logcounts,fica,2,0.3636821606502796
cosine,deng-reads,logcounts,fica,4,0.468592188789289
cosine,deng-reads,logcounts,fica,8,0.3386027237061344
cosine,deng-reads,logcounts,fica,16,0.2826609167237664
cosine,deng-reads,logcounts,isomap,96,0.23930567715728665
cosine,deng-reads,logcounts,isomap,48,0.24114425786706095
cosine,deng-reads,logcounts,isomap,32,0.23756533583743797
cosine,deng-reads,logcounts,isomap,2,0.3044734255772417
cosine,deng-reads,logcounts,isomap,4,0.23890120324087358
cosine,deng-reads,logcounts,isomap,8,0.23782991174973306
cosine,deng-reads,logcounts,isomap,16,0.2356399959392094
cosine,deng-reads,logcounts,tsvd,96,0.9860898297043056
