metric,dataset,count,method,dimensions,rho
cosine,deng-rpkms,lognormcounts,zifa,48,0.1807216124020888
cosine,deng-rpkms,lognormcounts,zifa,32,0.21755193263647632
cosine,deng-rpkms,lognormcounts,zifa,2,0.43522207873311386
cosine,deng-rpkms,lognormcounts,zifa,4,0.4233903223987431
cosine,deng-rpkms,lognormcounts,zifa,8,0.2947687835987876
cosine,deng-rpkms,lognormcounts,zifa,16,0.26214581024246164
cosine,deng-rpkms,lognormcounts,vasc,96,nan
cosine,deng-rpkms,lognormcounts,vasc,48,nan
cosine,deng-rpkms,lognormcounts,vasc,32,0.41144922760553654
cosine,deng-rpkms,lognormcounts,vasc,2,0.3341237850102942
cosine,deng-rpkms,lognormcounts,vasc,4,0.4717306067082182
cosine,deng-rpkms,lognormcounts,vasc,8,0.4912235358215075
cosine,deng-rpkms,lognormcounts,vasc,16,0.3745431439751769
cosine,deng-rpkms,lognormcounts,lle,96,-0.08135994399031583
cosine,deng-rpkms,lognormcounts,lle,48,0.09479062838853339
cosine,deng-rpkms,lognormcounts,lle,32,0.02619970873749104
cosine,deng-rpkms,lognormcounts,lle,2,0.19593788070509385
cosine,deng-rpkms,lognormcounts,lle,4,0.23114774796231363
cosine,deng-rpkms,lognormcounts,lle,8,0.20059323028008874
cosine,deng-rpkms,lognormcounts,lle,16,-0.02746140237865138
cosine,deng-rpkms,lognormcounts,kpca-cos,96,0.5565654418379811
cosine,deng-rpkms,lognormcounts,kpca-cos,48,0.5380141216770444
cosine,deng-rpkms,lognormcounts,kpca-cos,32,0.5390397075641467
cosine,deng-rpkms,lognormcounts,kpca-cos,2,0.46360448729767545
cosine,deng-rpkms,lognormcounts,kpca-cos,4,0.5405804690210585
cosine,deng-rpkms,lognormcounts,kpca-cos,8,0.5455027158634749
cosine,deng-rpkms,lognormcounts,kpca-cos,16,0.5474374266601177
cosine,deng-rpkms,lognormcounts,grp,96,0.9263590561652133
cosine,deng-rpkms,lognormcounts,grp,48,0.8949424804763348
cosine,deng-rpkms,lognormcounts,grp,32,0.6802494895364334
cosine,deng-rpkms,lognormcounts,grp,2,0.266263987541211
cosine,deng-rpkms,lognormcounts,grp,4,0.5326378934039617
cosine,deng-rpkms,lognormcounts,grp,8,0.47928700322801376
cosine,deng-rpkms,lognormcounts,grp,16,0.7768511952078277
cosine,deng-rpkms,lognormcounts,pmf,96,0.8059518116247484
cosine,deng-rpkms,lognormcounts,pmf,48,0.780487691837486
cosine,deng-rpkms,lognormcounts,pmf,32,0.7629635562206918
cosine,deng-rpkms,lognormcounts,pmf,2,0.6224111888310381
cosine,deng-rpkms,lognormcounts,pmf,4,0.6697179429854465
cosine,deng-rpkms,lognormcounts,pmf,8,0.6869063789507452
cosine,deng-rpkms,lognormcounts,pmf,16,0.7301463748733924
cosine,deng-rpkms,lognormcounts,ipca,96,0.5925223109397677
cosine,deng-rpkms,lognormcounts,ipca,48,0.5782334222350379
cosine,deng-rpkms,lognormcounts,ipca,32,0.5791170919512592
cosine,deng-rpkms,lognormcounts,ipca,2,0.5328527182088074
cosine,deng-rpkms,lognormcounts,ipca,4,0.5671845114204239
cosine,deng-rpkms,lognormcounts,ipca,8,0.5776986532044327
cosine,deng-rpkms,lognormcounts,ipca,16,0.5817361787337189
cosine,deng-rpkms,lognormcounts,lda,96,0.7915743085420353
cosine,deng-rpkms,lognormcounts,lda,48,0.7529393827121303
cosine,deng-rpkms,lognormcounts,lda,32,0.6663784314645953
cosine,deng-rpkms,lognormcounts,lda,2,0.4347903321786878
cosine,deng-rpkms,lognormcounts,lda,4,0.6158861849372369
