metric,dataset,count,method,dimensions,rho
cosine,fan,lognormcounts,vasc,96,0.3139409872480997
cosine,fan,lognormcounts,vasc,48,0.4907623227296414
cosine,fan,lognormcounts,vasc,32,0.40770273042532434
cosine,fan,lognormcounts,vasc,2,0.4515826686632143
cosine,fan,lognormcounts,vasc,4,0.636596348317913
cosine,fan,lognormcounts,vasc,8,0.5172723447491847
cosine,fan,lognormcounts,vasc,16,0.33775037418243803
cosine,fan,lognormcounts,lle,48,-0.3813099507772694
cosine,fan,lognormcounts,lle,32,0.23472825824215435
cosine,fan,lognormcounts,lle,2,0.09100565317565129
cosine,fan,lognormcounts,lle,4,-0.20270639255882342
cosine,fan,lognormcounts,lle,8,-0.23068825639592497
cosine,fan,lognormcounts,lle,16,0.302493344625357
cosine,fan,lognormcounts,kpca-cos,96,0.5668143560963943
cosine,fan,lognormcounts,kpca-cos,48,0.5700469353711763
cosine,fan,lognormcounts,kpca-cos,32,0.5615101589303855
cosine,fan,lognormcounts,kpca-cos,2,0.35882529233018173
cosine,fan,lognormcounts,kpca-cos,4,0.4207915710682052
cosine,fan,lognormcounts,kpca-cos,8,0.4999653856318808
cosine,fan,lognormcounts,kpca-cos,16,0.5231360914196735
cosine,fan,lognormcounts,grp,96,0.8353339355140695
cosine,fan,lognormcounts,grp,48,0.8269405762200411
cosine,fan,lognormcounts,grp,32,0.8334299470750836
cosine,fan,lognormcounts,grp,2,0.5910132866257417
cosine,fan,lognormcounts,grp,4,0.38963074854093904
cosine,fan,lognormcounts,grp,8,0.7460667691560641
cosine,fan,lognormcounts,grp,16,0.6839857783437301
cosine,fan,lognormcounts,pmf,96,0.7961237476548852
cosine,fan,lognormcounts,pmf,48,0.7910852547947248
cosine,fan,lognormcounts,pmf,32,0.7093661485195196
cosine,fan,lognormcounts,pmf,2,0.405924893289793
cosine,fan,lognormcounts,pmf,4,0.41334869158466697
cosine,fan,lognormcounts,pmf,8,0.5649256126675067
cosine,fan,lognormcounts,pmf,16,0.5698258462476168
cosine,fan,lognormcounts,ipca,48,0.5254117149768206
cosine,fan,lognormcounts,ipca,32,0.5231010587804207
cosine,fan,lognormcounts,ipca,2,0.32298127881632777
cosine,fan,lognormcounts,ipca,4,0.3717155624000709
cosine,fan,lognormcounts,ipca,8,0.4583970106551168
cosine,fan,lognormcounts,ipca,16,0.4848358584912883
cosine,fan,lognormcounts,lda,96,0.6770597920044653
cosine,fan,lognormcounts,lda,48,0.7144253433689874
cosine,fan,lognormcounts,lda,32,0.5589848104837812
