metric,dataset,count,method,dimensions,rho
cosine,goolam,counts,zifa,96,-0.046644689698315915
cosine,goolam,counts,zifa,48,0.1112500634076022
cosine,goolam,counts,zifa,32,0.19300597192996832
cosine,goolam,counts,zifa,2,0.32097847890031467
cosine,goolam,counts,zifa,4,0.4849951746298524
cosine,goolam,counts,zifa,8,0.46095813197790453
cosine,goolam,counts,zifa,16,0.34621715179820467
cosine,goolam,counts,vasc,96,nan
cosine,goolam,counts,vasc,48,nan
cosine,goolam,counts,vasc,32,nan
cosine,goolam,counts,vasc,2,nan
cosine,goolam,counts,vasc,4,nan
cosine,goolam,counts,vasc,8,nan
cosine,goolam,counts,vasc,16,nan
cosine,goolam,counts,lle,96,-0.15014707233919788
cosine,goolam,counts,lle,48,-0.09800397113324424
cosine,goolam,counts,lle,32,0.17291330998063437
cosine,goolam,counts,lle,2,0.5201845936509342
cosine,goolam,counts,lle,4,0.535434350861135
cosine,goolam,counts,lle,8,0.4534845320989255
cosine,goolam,counts,lle,16,0.16458930017152196
cosine,goolam,counts,kpca-cos,96,0.8820474964985521
cosine,goolam,counts,kpca-cos,48,0.8824215354642793
cosine,goolam,counts,kpca-cos,32,0.8827500746373926
cosine,goolam,counts,kpca-cos,2,0.7054977014121668
cosine,goolam,counts,kpca-cos,4,0.8798652505382127
cosine,goolam,counts,kpca-cos,8,0.8840890712980616
cosine,goolam,counts,kpca-cos,16,0.8838396251864806
cosine,goolam,counts,grp,96,0.987403632384728
cosine,goolam,counts,grp,48,0.988121644721743
cosine,goolam,counts,grp,32,0.9801412420850291
cosine,goolam,counts,grp,2,0.47233365559446655
cosine,goolam,counts,grp,4,0.9133459948502404
cosine,goolam,counts,grp,8,0.8697725770183304
cosine,goolam,counts,grp,16,0.8896233390316901
cosine,goolam,counts,pmf,96,0.6335375040034612
cosine,goolam,counts,pmf,48,0.6394930579898206
cosine,goolam,counts,pmf,32,0.6482872495042468
cosine,goolam,counts,pmf,2,0.7452601060718934
cosine,goolam,counts,pmf,4,0.6874350450128571
cosine,goolam,counts,pmf,8,0.659124185603655
cosine,goolam,counts,pmf,16,0.630918859741173
cosine,goolam,counts,ipca,96,0.7572653151185125
cosine,goolam,counts,ipca,48,0.7573200360394337
cosine,goolam,counts,ipca,32,0.7573996927939957
cosine,goolam,counts,ipca,2,0.696604956371347
cosine,goolam,counts,ipca,4,0.7544429392400934
cosine,goolam,counts,ipca,8,0.7577424850155777
cosine,goolam,counts,ipca,16,0.7574108044707442
cosine,goolam,counts,lda,96,0.5427536781884226
cosine,goolam,counts,lda,48,0.5945508551359799
cosine,goolam,counts,lda,32,0.5851494688209381
cosine,goolam,counts,lda,2,0.6234051194149494
cosine,goolam,counts,lda,4,0.6068761280728597
cosine,goolam,counts,lda,8,0.5370473433536705
cosine,goolam,counts,lda,16,0.5481640387370388
cosine,goolam,counts,tga,96,0.7740746445357873
cosine,goolam,counts,tga,48,0.7587982091936759
cosine,goolam,counts,tga,32,0.7611855452830647
cosine,goolam,counts,tga,2,0.7047179510107416
cosine,goolam,counts,tga,4,0.752574933812177
