metric,dataset,count,method,dimensions,rho
cosine,goolam,logcounts,zifa,96,-0.05442770423392962
cosine,goolam,logcounts,zifa,48,0.08008153546525999
cosine,goolam,logcounts,zifa,32,0.14995092843224075
cosine,goolam,logcounts,zifa,2,0.5815237456847135
cosine,goolam,logcounts,zifa,4,0.5441361627936027
cosine,goolam,logcounts,zifa,8,0.3766520031878636
cosine,goolam,logcounts,zifa,16,0.2787484741407133
cosine,goolam,logcounts,vasc,96,nan
cosine,goolam,logcounts,vasc,48,nan
cosine,goolam,logcounts,vasc,32,nan
cosine,goolam,logcounts,vasc,2,nan
cosine,goolam,logcounts,vasc,4,nan
cosine,goolam,logcounts,vasc,8,nan
cosine,goolam,logcounts,vasc,16,nan
cosine,goolam,logcounts,lle,96,0.01801111469029969
cosine,goolam,logcounts,lle,48,0.062233746737816086
cosine,goolam,logcounts,lle,32,0.15735424355869126
cosine,goolam,logcounts,lle,2,0.44337556785905863
cosine,goolam,logcounts,lle,4,0.49850478096254575
cosine,goolam,logcounts,lle,8,0.242478573931179
cosine,goolam,logcounts,lle,16,0.16775227446039903
cosine,goolam,logcounts,kpca-cos,96,0.6205743455304641
cosine,goolam,logcounts,kpca-cos,48,0.6192388790335827
cosine,goolam,logcounts,kpca-cos,32,0.6159916016962992
cosine,goolam,logcounts,kpca-cos,2,0.6603117723088868
cosine,goolam,logcounts,kpca-cos,4,0.6465655403702999
cosine,goolam,logcounts,kpca-cos,8,0.6292232794147871
cosine,goolam,logcounts,kpca-cos,16,0.6224296548369321
cosine,goolam,logcounts,grp,96,0.933156317807596
cosine,goolam,logcounts,grp,48,0.8724532823327737
cosine,goolam,logcounts,grp,32,0.7465380769079462
cosine,goolam,logcounts,grp,2,0.1791841525793621
cosine,goolam,logcounts,grp,4,0.1908231616001569
cosine,goolam,logcounts,grp,8,0.5110588516861302
cosine,goolam,logcounts,grp,16,0.72536067973281
cosine,goolam,logcounts,pmf,96,0.8655382171767454
cosine,goolam,logcounts,pmf,48,0.8310940783741825
cosine,goolam,logcounts,pmf,32,0.8077861554338241
cosine,goolam,logcounts,pmf,2,0.25875872931278515
cosine,goolam,logcounts,pmf,4,0.6338912173614801
cosine,goolam,logcounts,pmf,8,0.6393287073654573
cosine,goolam,logcounts,pmf,16,0.6706948106481723
cosine,goolam,logcounts,ipca,96,0.6158691860127927
cosine,goolam,logcounts,ipca,48,0.6179060876501634
cosine,goolam,logcounts,ipca,32,0.6173226171206297
cosine,goolam,logcounts,ipca,2,0.6470487200527445
cosine,goolam,logcounts,ipca,4,0.6496174784154017
cosine,goolam,logcounts,ipca,8,0.6358706727724369
cosine,goolam,logcounts,ipca,16,0.6257195156881017
cosine,goolam,logcounts,lda,96,0.8004070268321741
cosine,goolam,logcounts,lda,48,0.732871852554038
cosine,goolam,logcounts,lda,32,0.7800731135740107
cosine,goolam,logcounts,lda,2,0.5441141798206977
cosine,goolam,logcounts,lda,4,0.6176140867870297
cosine,goolam,logcounts,lda,8,0.739239308019861
cosine,goolam,logcounts,lda,16,0.6223098771437259
cosine,goolam,logcounts,kpca-sig,96,0.44540544614003896
cosine,goolam,logcounts,kpca-sig,48,0.4595253729516031
cosine,goolam,logcounts,kpca-sig,32,0.46072279659129894
cosine,goolam,logcounts,kpca-sig,2,0.36814469982212283
cosine,goolam,logcounts,kpca-sig,4,0.41009189053773637
cosine,goolam,logcounts,kpca-sig,8,0.45513846261848
cosine,goolam,logcounts,kpca-sig,16,0.46192666063964327
cosine,goolam,logcounts,umap,96,0.5974065747301658
cosine,goolam,logcounts,umap,48,0.5805110135376311
cosine,goolam,logcounts,umap,32,0.4954099155002117
cosine,goolam,logcounts,umap,2,0.532221969485657
cosine,goolam,logcounts,umap,4,0.5802503978728848
cosine,goolam,logcounts,umap,8,0.6082308754256008
cosine,goolam,logcounts,umap,16,0.48898915228293655
cosine,goolam,logcounts,phate,96,0.5522595304075234
cosine,goolam,logcounts,phate,48,0.5880621821827063
cosine,goolam,logcounts,phate,32,0.5719643072363293
cosine,goolam,logcounts,phate,2,0.5717573187121063
cosine,goolam,logcounts,phate,4,0.5580919248942489
cosine,goolam,logcounts,phate,8,0.5294863838263338
