metric,dataset,count,method,dimensions,rho
cosine,grun,logcounts,zifa,96,0.5279668436526657
cosine,grun,logcounts,zifa,48,0.730620952954403
cosine,grun,logcounts,zifa,32,0.4875455932344847
cosine,grun,logcounts,zifa,2,0.17724531328815182
cosine,grun,logcounts,zifa,4,0.3647214518471552
cosine,grun,logcounts,zifa,8,0.44333245447096786
cosine,grun,logcounts,zifa,16,0.4547367703452096
cosine,grun,logcounts,vasc,96,0.3521003516136279
cosine,grun,logcounts,vasc,48,0.3104343999200327
cosine,grun,logcounts,vasc,32,0.26738618306382117
cosine,grun,logcounts,vasc,2,0.43123568531017004
cosine,grun,logcounts,vasc,4,0.33710402429810976
cosine,grun,logcounts,vasc,8,0.2812309136605871
cosine,grun,logcounts,vasc,16,0.32838398033143756
cosine,grun,logcounts,lle,96,-0.08360269713169853
cosine,grun,logcounts,lle,48,-0.06862514706718024
cosine,grun,logcounts,lle,32,-0.09161485258675207
cosine,grun,logcounts,lle,2,0.04786572652747701
cosine,grun,logcounts,lle,4,0.13015788325868657
cosine,grun,logcounts,lle,8,0.12498987850248786
cosine,grun,logcounts,lle,16,-0.060774786606133537
cosine,grun,logcounts,kpca-cos,96,0.6708318810075321
cosine,grun,logcounts,kpca-cos,48,0.5180565555650889
cosine,grun,logcounts,kpca-cos,32,0.43554387918994775
cosine,grun,logcounts,kpca-cos,2,0.27589740653885586
cosine,grun,logcounts,kpca-cos,4,0.1685920925784191
cosine,grun,logcounts,kpca-cos,8,0.26839350864382866
cosine,grun,logcounts,kpca-cos,16,0.34512853072656313
cosine,grun,logcounts,grp,96,0.4049734422420053
cosine,grun,logcounts,grp,48,0.4160344231795056
cosine,grun,logcounts,grp,32,0.21115068433185444
cosine,grun,logcounts,grp,2,0.1053925287452507
cosine,grun,logcounts,grp,4,0.14817063795431792
cosine,grun,logcounts,grp,8,0.05545489249758415
cosine,grun,logcounts,grp,16,0.06198385266286309
cosine,grun,logcounts,pmf,96,0.3269301339525572
cosine,grun,logcounts,pmf,48,0.31254452189052645
cosine,grun,logcounts,pmf,32,0.23220096891598235
cosine,grun,logcounts,pmf,2,0.06483801381488949
cosine,grun,logcounts,pmf,4,0.1026881294473631
cosine,grun,logcounts,pmf,8,0.0719766103630292
cosine,grun,logcounts,pmf,16,0.22433987464892374
cosine,grun,logcounts,ipca,96,0.16832508184262682
cosine,grun,logcounts,ipca,48,0.22723900884853362
cosine,grun,logcounts,ipca,32,0.3201592939649172
cosine,grun,logcounts,ipca,2,0.6560045307256199
cosine,grun,logcounts,ipca,4,0.35622931192380053
cosine,grun,logcounts,ipca,8,0.3701866951226886
cosine,grun,logcounts,ipca,16,0.3936797577788811
cosine,grun,logcounts,lda,96,0.13508297616442977
cosine,grun,logcounts,lda,48,0.16659664299607194
cosine,grun,logcounts,lda,32,0.18100188654721558
cosine,grun,logcounts,lda,2,-0.19833204690845335
cosine,grun,logcounts,lda,4,-0.264414233624114
cosine,grun,logcounts,lda,8,-0.20476484642928852
cosine,grun,logcounts,lda,16,0.3768194296784659
cosine,grun,logcounts,kpca-sig,96,0.7810532829296755
cosine,grun,logcounts,kpca-sig,48,0.6712085696766747
cosine,grun,logcounts,kpca-sig,32,0.5876724258784306
cosine,grun,logcounts,kpca-sig,2,0.15440667916239245
cosine,grun,logcounts,kpca-sig,4,0.3167480404658659
cosine,grun,logcounts,kpca-sig,8,0.4496272107636884
cosine,grun,logcounts,kpca-sig,16,0.49491292548014504
cosine,grun,logcounts,umap,96,-0.014542087294807242
cosine,grun,logcounts,umap,48,0.0024014399971043652
cosine,grun,logcounts,umap,32,-0.03210614399310273
cosine,grun,logcounts,umap,2,0.05436508350163981
cosine,grun,logcounts,umap,4,0.0024406535272395585
cosine,grun,logcounts,umap,8,0.042229931454315466
cosine,grun,logcounts,umap,16,0.0028469392191024455
cosine,grun,logcounts,phate,96,0.1110897338333087
cosine,grun,logcounts,phate,48,0.12143150063125613
cosine,grun,logcounts,phate,32,0.12162790548962131
cosine,grun,logcounts,phate,2,-0.05233392717953649
