metric,dataset,count,method,dimensions,rho
cosine,klein,counts,zifa,2,0.46673028273138933
cosine,klein,counts,zifa,4,0.46459560360425445
cosine,klein,counts,zifa,8,0.460772363255819
cosine,klein,counts,zifa,16,0.4607401666785802
cosine,klein,counts,vasc,96,nan
cosine,klein,counts,vasc,48,0.2902566807146344
cosine,klein,counts,vasc,32,0.3320054603883513
cosine,klein,counts,vasc,2,0.305120883353062
cosine,klein,counts,vasc,4,0.3634596616425932
cosine,klein,counts,vasc,8,0.28679656466310005
cosine,klein,counts,vasc,16,0.4723440281295778
cosine,klein,counts,lle,96,-0.07188709202626452
cosine,klein,counts,lle,48,-0.01975254122688426
cosine,klein,counts,lle,32,0.07676010633833187
cosine,klein,counts,lle,2,0.4480601843926975
cosine,klein,counts,lle,4,0.5284211891676082
cosine,klein,counts,lle,8,0.3316473306971031
cosine,klein,counts,lle,16,0.17039177639846886
cosine,klein,counts,kpca-cos,96,0.6888643706438438
cosine,klein,counts,kpca-cos,48,0.6880127892880739
cosine,klein,counts,kpca-cos,32,0.6871229394245565
cosine,klein,counts,kpca-cos,2,0.6485962790706967
cosine,klein,counts,kpca-cos,4,0.6737053128035249
cosine,klein,counts,kpca-cos,8,0.67673695212749
cosine,klein,counts,kpca-cos,16,0.6846822093348197
cosine,klein,counts,grp,96,0.8836569675211002
cosine,klein,counts,grp,48,0.8499566847414078
cosine,klein,counts,grp,32,0.7683611013236328
cosine,klein,counts,grp,2,0.26035083725801045
cosine,klein,counts,grp,4,0.4243592940536338
cosine,klein,counts,grp,8,0.5465670853710131
cosine,klein,counts,grp,16,0.6784238432884793
cosine,klein,counts,pmf,96,0.6084321245844319
cosine,klein,counts,pmf,48,0.5966566798231057
cosine,klein,counts,pmf,32,0.5800229632612218
cosine,klein,counts,pmf,2,0.45944738067341456
cosine,klein,counts,pmf,4,0.4548981584668569
cosine,klein,counts,pmf,8,0.5213529870316445
cosine,klein,counts,pmf,16,0.5509908115871495
cosine,klein,counts,ipca,96,0.497637348319645
cosine,klein,counts,ipca,48,0.5033882876129028
cosine,klein,counts,ipca,32,0.5064844410740656
cosine,klein,counts,ipca,2,0.346311704951187
cosine,klein,counts,ipca,4,0.5230744171491528
cosine,klein,counts,ipca,8,0.5137789810326163
cosine,klein,counts,ipca,16,0.5109937632232189
cosine,klein,counts,lda,96,0.6847232478118418
cosine,klein,counts,lda,48,0.7163698133509494
cosine,klein,counts,lda,32,0.6560816341947882
cosine,klein,counts,lda,2,0.45276622817297807
cosine,klein,counts,lda,4,0.5713213672420376
cosine,klein,counts,lda,8,0.601440761923246
cosine,klein,counts,lda,16,0.6643109327556631
cosine,klein,counts,kpca-sig,96,nan
cosine,klein,counts,kpca-sig,48,nan
cosine,klein,counts,kpca-sig,32,nan
cosine,klein,counts,kpca-sig,2,nan
cosine,klein,counts,kpca-sig,4,nan
cosine,klein,counts,kpca-sig,8,nan
cosine,klein,counts,kpca-sig,16,nan
cosine,klein,counts,umap,96,0.3864859144902547
cosine,klein,counts,umap,48,0.39796632206417354
cosine,klein,counts,umap,32,0.38622979860025386
cosine,klein,counts,umap,2,0.38426103038395315
cosine,klein,counts,umap,4,0.3923576415320157
cosine,klein,counts,umap,8,0.39426278356549777
cosine,klein,counts,umap,16,0.42661561519577623
cosine,klein,counts,phate,96,0.44950137546552027
cosine,klein,counts,phate,48,0.43507473865617796
cosine,klein,counts,phate,32,0.45007537705175343
cosine,klein,counts,phate,2,0.4756545537642635
cosine,klein,counts,phate,4,0.45742128852842173
cosine,klein,counts,phate,8,0.46147407084420833
cosine,klein,counts,phate,16,0.4565183081414845
cosine,klein,counts,fica,96,0.30621299414634967
cosine,klein,counts,fica,48,0.372669743461809
cosine,klein,counts,fica,32,0.42015600318177543
cosine,klein,counts,fica,2,0.35311100533203504
cosine,klein,counts,fica,4,0.6061812895538156
cosine,klein,counts,fica,8,0.5602681539101105
cosine,klein,counts,fica,16,0.4979472126450686
cosine,klein,counts,isomap,96,0.4974052465788492
cosine,klein,counts,isomap,48,0.5012034959772554
cosine,klein,counts,isomap,32,0.503345824728599
cosine,klein,counts,isomap,2,0.5304311786549442
cosine,klein,counts,isomap,4,0.5179375359127206
cosine,klein,counts,isomap,8,0.5120418871014366
cosine,klein,counts,isomap,16,0.5079885130892534
cosine,klein,counts,tsvd,96,0.9428962984535303
cosine,klein,counts,tsvd,48,0.928888274079241
cosine,klein,counts,tsvd,32,0.9171981766746102
cosine,klein,counts,tsvd,2,0.3153424311996042
cosine,klein,counts,tsvd,4,0.8068101135345258
cosine,klein,counts,tsvd,8,0.8546658277898097
cosine,klein,counts,tsvd,16,0.8938582457773256
cosine,klein,counts,vpac,96,0.38246241353072385
cosine,klein,counts,vpac,48,0.38740416964883256
cosine,klein,counts,vpac,32,0.38722457302053503
cosine,klein,counts,vpac,2,0.354440205717359
cosine,klein,counts,vpac,4,0.46750184389937594
cosine,klein,counts,vpac,8,0.35473714748304513
cosine,klein,counts,vpac,16,0.368369666494726
cosine,klein,counts,kpca-rbf,96,-0.0001897831300898543
cosine,klein,counts,kpca-rbf,48,-0.000435584848926603
cosine,klein,counts,kpca-rbf,32,-0.0003706791331448492
cosine,klein,counts,kpca-rbf,2,0.0005125281141389662
cosine,klein,counts,kpca-rbf,4,-0.016835883718334207
cosine,klein,counts,kpca-rbf,16,-0.0007341065357719913
cosine,klein,counts,mctsne,96,nan
cosine,klein,counts,mctsne,48,nan
cosine,klein,counts,mctsne,32,nan
cosine,klein,counts,mctsne,2,0.491430365067484
cosine,klein,counts,mctsne,4,0.4860351463126652
cosine,klein,counts,mctsne,8,0.47244873907218765
cosine,klein,counts,mctsne,16,0.47548233663311223
cosine,klein,counts,nmf,96,0.8848332904065773
cosine,klein,counts,nmf,48,0.7665938906926762
cosine,klein,counts,nmf,32,0.8022819717068784
cosine,klein,counts,nmf,2,0.3102711328991689
cosine,klein,counts,nmf,4,0.7420460526667854
cosine,klein,counts,nmf,8,0.7124094368804781
cosine,klein,counts,nmf,16,0.8092614132756557
cosine,klein,counts,srp,96,0.8021327142163509
cosine,klein,counts,srp,48,0.6879073960024481
cosine,klein,counts,srp,32,0.7309341007835669
cosine,klein,counts,srp,2,0.12429912288866286
cosine,klein,counts,srp,4,0.346124661104111
cosine,klein,counts,srp,8,0.3762518881694597
cosine,klein,counts,srp,16,0.49867919545637024
cosine,klein,counts,snmf,48,0.5307142449833875
cosine,klein,counts,snmf,32,0.6510409738881889
cosine,klein,counts,snmf,2,0.3545019234257291
cosine,klein,counts,snmf,4,0.679428545977166
cosine,klein,counts,snmf,8,0.6969694064483446
cosine,klein,counts,snmf,16,0.7260100930479891
cosine,klein,counts,psmf,96,0.4806770878902741
cosine,klein,counts,psmf,48,0.5021475264231379
cosine,klein,counts,psmf,32,0.49430499316306137
cosine,klein,counts,psmf,2,0.45239308086907326
cosine,klein,counts,psmf,4,0.4711056833603932
cosine,klein,counts,psmf,8,0.5316634875880115
cosine,klein,counts,psmf,16,0.5186421552729785
cosine,klein,counts,kpca-pol,96,0.3424152954053072
cosine,klein,counts,kpca-pol,48,0.3501978684646915
cosine,klein,counts,kpca-pol,32,0.35571150322545336
cosine,klein,counts,kpca-pol,2,0.2360308559442827
cosine,klein,counts,kpca-pol,4,0.3609048158594691
cosine,klein,counts,kpca-pol,8,0.31929914828773076
cosine,klein,counts,kpca-pol,16,0.3650140870549954
cosine,klein,counts,ivis,96,nan
cosine,klein,counts,ivis,48,nan
cosine,klein,counts,ivis,32,nan
cosine,klein,counts,ivis,2,nan
cosine,klein,counts,ivis,4,nan
cosine,klein,counts,ivis,8,nan
cosine,klein,counts,ivis,16,nan
cosine,klein,counts,spectral,96,0.09067292397461217
cosine,klein,counts,spectral,48,0.1254626731338459
cosine,klein,counts,spectral,32,0.14658783275431642
cosine,klein,counts,spectral,2,0.49878210187754285
cosine,klein,counts,spectral,4,0.4187614061960597
cosine,klein,counts,spectral,8,0.29179200464115373
cosine,klein,counts,spectral,16,0.1926468859184571
cosine,klein,counts,nmf2,96,0.8152370262042933
cosine,klein,counts,nmf2,48,0.8010516984913086
cosine,klein,counts,nmf2,32,0.8072518653913566
cosine,klein,counts,nmf2,2,0.5768401456101203
cosine,klein,counts,nmf2,4,0.5675640599077472
cosine,klein,counts,nmf2,8,0.7600084821656212
cosine,klein,counts,nmf2,16,0.7741091685542909
cosine,klein,counts,icm,96,0.1624765620449868
cosine,klein,counts,icm,48,0.09462896947601591
cosine,klein,counts,icm,32,0.09710749212189343
cosine,klein,counts,icm,2,nan
cosine,klein,counts,icm,4,nan
cosine,klein,counts,icm,8,nan
cosine,klein,counts,icm,16,nan
cosine,klein,counts,pca,96,0.49765945318522026
cosine,klein,counts,pca,48,0.5034062560547263
cosine,klein,counts,pca,32,0.5064566459489452
cosine,klein,counts,pca,2,0.3463117049429728
cosine,klein,counts,pca,4,0.5230744173012057
cosine,klein,counts,pca,8,0.513778849430601
cosine,klein,counts,pca,16,0.5109933545878059
cosine,klein,counts,saucie,96,-0.011686046343517352
cosine,klein,counts,saucie,48,0.007908473688820816
cosine,klein,counts,saucie,32,0.011139751934770284
cosine,klein,counts,saucie,2,-0.004704301149693924
cosine,klein,counts,saucie,4,0.003036235106232758
cosine,klein,counts,saucie,8,-0.016566442598212612
cosine,klein,counts,saucie,16,-0.004594996062609486
cosine,klein,counts,spca,96,0.5028896897671554
cosine,klein,counts,spca,48,0.507851721724511
cosine,klein,counts,spca,32,0.5103455393529471
cosine,klein,counts,spca,2,0.3462921408982402
cosine,klein,counts,spca,4,0.5230727696395292
cosine,klein,counts,spca,8,0.5138126357460298
cosine,klein,counts,spca,16,0.5138023494318201
cosine,klein,counts,spca-batch,96,0.396384604234236
cosine,klein,counts,spca-batch,48,0.42794953531818763
cosine,klein,counts,spca-batch,32,0.4105352668482418
cosine,klein,counts,spca-batch,2,0.5606614721305682
cosine,klein,counts,spca-batch,4,0.5408746564599972
cosine,klein,counts,spca-batch,8,0.640872787376183
cosine,klein,counts,spca-batch,16,0.5686089670003815
cosine,klein,counts,nsnmf,96,0.44689978338333197
cosine,klein,counts,nsnmf,48,0.43429012191042615
cosine,klein,counts,nsnmf,32,0.42242810313593243
cosine,klein,counts,nsnmf,2,0.11467339737693583
cosine,klein,counts,nsnmf,4,0.3256757252243527
cosine,klein,counts,nsnmf,8,0.3557848345580707
cosine,klein,counts,nsnmf,16,0.39303372243337786
cosine,klein,counts,lsnmf,96,-0.0040517438180508285
cosine,klein,counts,lsnmf,48,0.0016185488899409777
cosine,klein,counts,lsnmf,32,0.001827340792670195
cosine,klein,counts,lsnmf,2,-0.0031768332158520593
cosine,klein,counts,lsnmf,4,-0.0029521219799163363
cosine,klein,counts,lsnmf,8,0.016268709879624164
cosine,klein,counts,lsnmf,16,0.010100018281736008
cosine,klein,counts,bd,96,0.5470918403749259
cosine,klein,counts,bd,48,0.6294559042418209
cosine,klein,counts,bd,32,0.7275955423615809
cosine,klein,counts,bd,2,0.14021156457047562
cosine,klein,counts,bd,4,0.5075757380357879
cosine,klein,counts,bd,8,0.5399596340713466
cosine,klein,counts,bd,16,0.7067494120786267
cosine,klein,counts,fa,96,0.3834657156247571
cosine,klein,counts,fa,48,0.40461806112689475
cosine,klein,counts,fa,32,0.4135379010427643
cosine,klein,counts,fa,2,0.5643273227066783
cosine,klein,counts,fa,4,0.5292002555197821
cosine,klein,counts,fa,8,0.4739397129446578
cosine,klein,counts,fa,16,0.44979276069752405
