metric,dataset,count,method,dimensions,rho
cosine,klein,logcounts,zifa,2,0.6451792818996999
cosine,klein,logcounts,zifa,4,0.6349298140656956
cosine,klein,logcounts,zifa,8,0.643023146683453
cosine,klein,logcounts,vasc,96,nan
cosine,klein,logcounts,vasc,48,nan
cosine,klein,logcounts,vasc,32,0.3954259610232129
cosine,klein,logcounts,vasc,2,0.5420103285599963
cosine,klein,logcounts,vasc,4,0.4284521927788706
cosine,klein,logcounts,vasc,8,0.4763381020199704
cosine,klein,logcounts,vasc,16,0.6077691536914113
cosine,klein,logcounts,lle,96,0.1318378937691885
cosine,klein,logcounts,lle,48,0.13960921983133137
cosine,klein,logcounts,lle,32,0.1630221189992424
cosine,klein,logcounts,lle,2,0.23595995411836834
cosine,klein,logcounts,lle,4,0.2832588253568278
cosine,klein,logcounts,lle,8,0.300947071978158
cosine,klein,logcounts,lle,16,0.14343102916911898
cosine,klein,logcounts,kpca-cos,96,0.6903223903827251
cosine,klein,logcounts,kpca-cos,48,0.6902660806476918
cosine,klein,logcounts,kpca-cos,32,0.6875661120698756
cosine,klein,logcounts,kpca-cos,2,0.6636436865500237
cosine,klein,logcounts,kpca-cos,4,0.6587118910574455
cosine,klein,logcounts,kpca-cos,8,0.6630331709256189
cosine,klein,logcounts,kpca-cos,16,0.6762814370217871
cosine,klein,logcounts,grp,96,0.8673948514671692
cosine,klein,logcounts,grp,48,0.7930606289845809
cosine,klein,logcounts,grp,32,0.759272919766309
cosine,klein,logcounts,grp,2,0.18136727798193544
cosine,klein,logcounts,grp,4,0.23648893484086672
cosine,klein,logcounts,grp,8,0.3444558421701618
cosine,klein,logcounts,grp,16,0.6179856889458016
cosine,klein,logcounts,pmf,96,0.7266590606443356
cosine,klein,logcounts,pmf,48,0.660594281046915
cosine,klein,logcounts,pmf,32,0.6443588200767227
cosine,klein,logcounts,pmf,2,0.5182827524001781
cosine,klein,logcounts,pmf,4,0.544430156448669
cosine,klein,logcounts,pmf,8,0.5824748262572835
cosine,klein,logcounts,pmf,16,0.6281422603347397
cosine,klein,logcounts,ipca,96,0.4884879559657908
cosine,klein,logcounts,ipca,48,0.5129608157382921
cosine,klein,logcounts,ipca,32,0.5277404153695617
cosine,klein,logcounts,ipca,2,0.5569409218180658
cosine,klein,logcounts,ipca,4,0.5637797917423567
cosine,klein,logcounts,ipca,8,0.567417561521198
cosine,klein,logcounts,ipca,16,0.5519513319736075
cosine,klein,logcounts,lda,96,0.5803602124086692
cosine,klein,logcounts,lda,48,0.7144143862840094
cosine,klein,logcounts,lda,32,0.5831774932478666
cosine,klein,logcounts,lda,2,0.6630360250320241
cosine,klein,logcounts,lda,4,0.5944437428680815
cosine,klein,logcounts,lda,8,0.6281573062334036
cosine,klein,logcounts,lda,16,0.6981574838757786
cosine,klein,logcounts,kpca-sig,96,0.17043010199602962
cosine,klein,logcounts,kpca-sig,48,0.18190904772141933
cosine,klein,logcounts,kpca-sig,32,0.18786322977732905
cosine,klein,logcounts,kpca-sig,2,0.1084227912409694
cosine,klein,logcounts,kpca-sig,4,0.22231238957998897
cosine,klein,logcounts,kpca-sig,8,0.2075856842241651
cosine,klein,logcounts,kpca-sig,16,0.1983400924395963
cosine,klein,logcounts,umap,96,0.2313520092635403
cosine,klein,logcounts,umap,48,0.21951122614888918
cosine,klein,logcounts,umap,32,0.2201926963176281
cosine,klein,logcounts,umap,2,0.272885729662688
cosine,klein,logcounts,umap,4,0.24679091709984238
cosine,klein,logcounts,umap,8,0.22427079810464862
cosine,klein,logcounts,umap,16,0.22147830435961008
cosine,klein,logcounts,phate,96,0.7014071664507102
cosine,klein,logcounts,phate,48,0.6967544945047794
cosine,klein,logcounts,phate,32,0.6959053802252501
cosine,klein,logcounts,phate,2,0.7121724232492072
cosine,klein,logcounts,phate,4,0.7035451131452702
cosine,klein,logcounts,phate,8,0.6939455241500503
cosine,klein,logcounts,phate,16,0.6986389913330885
cosine,klein,logcounts,fica,96,0.12743802992385847
cosine,klein,logcounts,fica,48,0.15871597605911558
cosine,klein,logcounts,fica,32,0.17754146161150827
cosine,klein,logcounts,fica,2,0.45811057968669455
cosine,klein,logcounts,fica,4,0.34661733328244543
cosine,klein,logcounts,fica,8,0.28221879057590116
cosine,klein,logcounts,fica,16,0.21247779229254418
cosine,klein,logcounts,isomap,96,0.5107900648103583
cosine,klein,logcounts,isomap,48,0.5329045613131415
cosine,klein,logcounts,isomap,32,0.5314093262404677
cosine,klein,logcounts,isomap,2,0.5265931536953443
cosine,klein,logcounts,isomap,4,0.5403143038506233
cosine,klein,logcounts,isomap,8,0.546474678654283
cosine,klein,logcounts,isomap,16,0.5296470822901559
cosine,klein,logcounts,tsvd,96,0.8163102516349053
cosine,klein,logcounts,tsvd,48,0.8109745885922149
cosine,klein,logcounts,tsvd,32,0.8071154204588373
cosine,klein,logcounts,tsvd,2,0.7177802635823642
cosine,klein,logcounts,tsvd,4,0.7430154786346354
cosine,klein,logcounts,tsvd,8,0.7815149522628663
cosine,klein,logcounts,tsvd,16,0.7988996271156564
cosine,klein,logcounts,vpac,96,0.5058561932525816
cosine,klein,logcounts,vpac,48,0.5229150002763789
cosine,klein,logcounts,vpac,32,0.5366659964900781
cosine,klein,logcounts,vpac,2,0.5321107803022214
cosine,klein,logcounts,vpac,4,0.43270020493617833
cosine,klein,logcounts,vpac,8,0.4538013236096397
cosine,klein,logcounts,vpac,16,0.4840960681967754
cosine,klein,logcounts,kpca-rbf,96,0.7592575445478161
cosine,klein,logcounts,kpca-rbf,48,0.7355496520653998
cosine,klein,logcounts,kpca-rbf,32,0.7170052464803099
cosine,klein,logcounts,kpca-rbf,2,0.6209541664423892
cosine,klein,logcounts,kpca-rbf,4,0.6696816662407823
