metric,dataset,count,method,dimensions,rho
cosine,lake,lognormcounts,vasc,96,nan
cosine,lake,lognormcounts,vasc,48,nan
cosine,lake,lognormcounts,vasc,32,nan
cosine,lake,lognormcounts,vasc,2,nan
cosine,lake,lognormcounts,vasc,4,nan
cosine,lake,lognormcounts,vasc,8,nan
cosine,lake,lognormcounts,vasc,16,nan
cosine,lake,lognormcounts,lle,96,0.009870129516468021
cosine,lake,lognormcounts,lle,48,0.03391036172328478
cosine,lake,lognormcounts,lle,32,0.059047904985487114
cosine,lake,lognormcounts,lle,2,0.47266201887152715
cosine,lake,lognormcounts,lle,4,0.41757724669191637
cosine,lake,lognormcounts,lle,8,0.19201894549051463
cosine,lake,lognormcounts,lle,16,0.12408581422333034
cosine,lake,lognormcounts,kpca-cos,96,0.363613222581405
cosine,lake,lognormcounts,kpca-cos,48,0.36546056175459196
cosine,lake,lognormcounts,kpca-cos,32,0.36583156445077786
cosine,lake,lognormcounts,kpca-cos,2,0.34360481221251754
cosine,lake,lognormcounts,kpca-cos,4,0.3575033994985195
cosine,lake,lognormcounts,kpca-cos,8,0.3676593889662857
cosine,lake,lognormcounts,kpca-cos,16,0.3660512855206266
cosine,lake,lognormcounts,grp,96,0.681158972412005
cosine,lake,lognormcounts,grp,48,0.6142212108172787
cosine,lake,lognormcounts,grp,32,0.5105201836583529
cosine,lake,lognormcounts,grp,2,0.10775230327941657
cosine,lake,lognormcounts,grp,4,0.17661679403109443
cosine,lake,lognormcounts,grp,8,0.2561969933959656
cosine,lake,lognormcounts,grp,16,0.3849377820323302
cosine,lake,lognormcounts,pmf,96,0.3949929257248299
cosine,lake,lognormcounts,pmf,48,0.29545265984510716
cosine,lake,lognormcounts,pmf,32,0.28719673858210854
cosine,lake,lognormcounts,pmf,2,0.018220505947544385
cosine,lake,lognormcounts,pmf,4,0.03882009733967574
cosine,lake,lognormcounts,pmf,8,0.11259937733430782
cosine,lake,lognormcounts,pmf,16,0.2086743518953969
cosine,lake,lognormcounts,ipca,96,0.36530854044527045
cosine,lake,lognormcounts,ipca,48,0.364480006707958
cosine,lake,lognormcounts,ipca,32,0.3639535150907423
cosine,lake,lognormcounts,ipca,2,0.34596584992584634
cosine,lake,lognormcounts,ipca,4,0.3545222286465482
cosine,lake,lognormcounts,ipca,8,0.3651846662131354
cosine,lake,lognormcounts,ipca,16,0.36238479379597266
cosine,lake,lognormcounts,lda,96,0.4727502786080657
cosine,lake,lognormcounts,lda,48,0.4690379112404648
cosine,lake,lognormcounts,lda,32,0.4574123970956542
cosine,lake,lognormcounts,lda,2,0.3260840993948838
cosine,lake,lognormcounts,lda,4,0.3332450776428696
cosine,lake,lognormcounts,lda,8,0.3867331499933707
cosine,lake,lognormcounts,lda,16,0.4732472387729122
cosine,lake,lognormcounts,kpca-sig,96,0.2879445234784333
cosine,lake,lognormcounts,kpca-sig,48,0.2912857143862239
cosine,lake,lognormcounts,kpca-sig,32,0.29259464521622974
cosine,lake,lognormcounts,kpca-sig,2,0.266171888708649
cosine,lake,lognormcounts,kpca-sig,4,0.2813076372835034
cosine,lake,lognormcounts,kpca-sig,8,0.29298945737491494
cosine,lake,lognormcounts,kpca-sig,16,0.2942295755884171
cosine,lake,lognormcounts,umap,96,0.2642036244842246
cosine,lake,lognormcounts,umap,48,0.23318645966204365
cosine,lake,lognormcounts,umap,32,0.17660881070244655
cosine,lake,lognormcounts,umap,2,0.3389800077401686
cosine,lake,lognormcounts,umap,4,0.33319102786006216
cosine,lake,lognormcounts,umap,8,0.1637101595188739
cosine,lake,lognormcounts,umap,16,0.14900785048640175
cosine,lake,lognormcounts,phate,96,0.3334163124211452
cosine,lake,lognormcounts,phate,48,0.3541197901895223
cosine,lake,lognormcounts,phate,32,0.33956087732743095
cosine,lake,lognormcounts,phate,2,0.33213304922224834
cosine,lake,lognormcounts,phate,4,0.3524358692848029
cosine,lake,lognormcounts,phate,8,0.34061455808465946
cosine,lake,lognormcounts,phate,16,0.34325872335880103
cosine,lake,lognormcounts,fica,96,0.09133957952929242
cosine,lake,lognormcounts,fica,48,0.11744372665312107
cosine,lake,lognormcounts,fica,32,0.14389735460233305
cosine,lake,lognormcounts,fica,2,0.33196535455772413
cosine,lake,lognormcounts,fica,4,0.290082379572445
cosine,lake,lognormcounts,fica,8,0.25869788670257116
cosine,lake,lognormcounts,fica,16,0.19589116037687235
cosine,lake,lognormcounts,isomap,96,0.31457586760536926
cosine,lake,lognormcounts,isomap,48,0.31367122498058225
cosine,lake,lognormcounts,isomap,32,0.31448234437907424
cosine,lake,lognormcounts,isomap,2,0.34703619837007066
cosine,lake,lognormcounts,isomap,4,0.3412307339649208
cosine,lake,lognormcounts,isomap,8,0.3262195874582654
cosine,lake,lognormcounts,isomap,16,0.31700507654251786
cosine,lake,lognormcounts,tsvd,96,0.773918688098618
cosine,lake,lognormcounts,tsvd,48,0.6944410051963621
cosine,lake,lognormcounts,tsvd,32,0.6625764563821207
cosine,lake,lognormcounts,tsvd,2,0.38010457767818556
cosine,lake,lognormcounts,tsvd,4,0.5142406809998493
cosine,lake,lognormcounts,tsvd,8,0.5576434529130881
cosine,lake,lognormcounts,tsvd,16,0.6101777859559397
cosine,lake,lognormcounts,vpac,96,0.32687193127952463
cosine,lake,lognormcounts,vpac,48,0.3129411147566585
cosine,lake,lognormcounts,vpac,32,0.32447827970115045
cosine,lake,lognormcounts,vpac,2,-0.005124467031493488
cosine,lake,lognormcounts,vpac,4,0.29630935362277255
cosine,lake,lognormcounts,vpac,8,0.3516518431248326
cosine,lake,lognormcounts,vpac,16,0.3226928637454331
cosine,lake,lognormcounts,kpca-rbf,96,0.29521653221799077
cosine,lake,lognormcounts,kpca-rbf,48,0.29884686415887546
cosine,lake,lognormcounts,kpca-rbf,32,0.2989363816826616
cosine,lake,lognormcounts,kpca-rbf,2,0.2686435611982474
cosine,lake,lognormcounts,kpca-rbf,4,0.28655637299434644
cosine,lake,lognormcounts,kpca-rbf,8,0.29664397201102916
cosine,lake,lognormcounts,kpca-rbf,16,0.29847489860049115
cosine,lake,lognormcounts,mctsne,96,nan
cosine,lake,lognormcounts,mctsne,48,0.16832958642115703
cosine,lake,lognormcounts,mctsne,32,nan
cosine,lake,lognormcounts,mctsne,2,0.26485810393958764
cosine,lake,lognormcounts,mctsne,4,0.3220593789647687
cosine,lake,lognormcounts,mctsne,8,0.3327681925604869
cosine,lake,lognormcounts,nmf,96,0.4704854085588965
cosine,lake,lognormcounts,nmf,48,0.5062616569408359
cosine,lake,lognormcounts,nmf,32,0.48205068739501067
cosine,lake,lognormcounts,nmf,2,0.3361061025479463
cosine,lake,lognormcounts,nmf,4,0.4059707834141872
cosine,lake,lognormcounts,nmf,8,0.3949763944536787
cosine,lake,lognormcounts,nmf,16,0.4331029572202979
cosine,lake,lognormcounts,srp,96,0.6707785683365686
cosine,lake,lognormcounts,srp,48,0.5135134122311579
cosine,lake,lognormcounts,srp,32,0.5140669377179296
cosine,lake,lognormcounts,srp,2,0.10885676604543414
cosine,lake,lognormcounts,srp,4,0.18629380165151116
cosine,lake,lognormcounts,srp,8,0.3149041503421845
cosine,lake,lognormcounts,srp,16,0.3807853079910728
cosine,lake,lognormcounts,snmf,48,0.4738725699718288
cosine,lake,lognormcounts,snmf,32,0.43147612781276845
cosine,lake,lognormcounts,snmf,2,0.3389891791022605
cosine,lake,lognormcounts,snmf,4,0.45377281291306265
cosine,lake,lognormcounts,snmf,8,0.4052971543673127
cosine,lake,lognormcounts,snmf,16,0.38474788299077756
cosine,lake,lognormcounts,psmf,96,0.590923846556763
cosine,lake,lognormcounts,psmf,48,0.5161598924087218
cosine,lake,lognormcounts,psmf,32,0.5151130157635879
cosine,lake,lognormcounts,psmf,2,0.268309818690359
cosine,lake,lognormcounts,psmf,4,0.3857788004671754
cosine,lake,lognormcounts,psmf,8,0.4625586560796026
cosine,lake,lognormcounts,psmf,16,0.4806118867894011
cosine,lake,lognormcounts,kpca-pol,96,0.26178600418348
cosine,lake,lognormcounts,kpca-pol,48,0.27221589390063866
cosine,lake,lognormcounts,kpca-pol,32,0.27370703454264994
cosine,lake,lognormcounts,kpca-pol,2,0.2580210774866779
cosine,lake,lognormcounts,kpca-pol,4,0.2703485087199625
cosine,lake,lognormcounts,kpca-pol,8,0.2776274519151611
cosine,lake,lognormcounts,kpca-pol,16,0.27481928431482533
cosine,lake,lognormcounts,ivis,96,0.4060607347490347
cosine,lake,lognormcounts,ivis,48,0.3289011960263448
cosine,lake,lognormcounts,ivis,32,0.36966027588421685
cosine,lake,lognormcounts,ivis,2,0.27399246276497297
cosine,lake,lognormcounts,ivis,4,0.21634800738802196
cosine,lake,lognormcounts,ivis,8,0.24942799781637612
cosine,lake,lognormcounts,ivis,16,0.3046927873603462
