metric,dataset,count,method,dimensions,rho
cosine,li,counts,zifa,96,0.07651468803260866
cosine,li,counts,zifa,48,0.1391564099527492
cosine,li,counts,zifa,32,0.17632493176037936
cosine,li,counts,zifa,2,0.2476515555837534
cosine,li,counts,zifa,4,0.3659355038034394
cosine,li,counts,zifa,8,0.2961080918130216
cosine,li,counts,zifa,16,0.22482103152241012
cosine,li,counts,vasc,96,nan
cosine,li,counts,vasc,48,nan
cosine,li,counts,vasc,32,0.14853644262052415
cosine,li,counts,vasc,2,0.3638181125988712
cosine,li,counts,vasc,4,0.2933457977545923
cosine,li,counts,vasc,8,0.2334659604615588
cosine,li,counts,vasc,16,0.22324773271652018
cosine,li,counts,lle,96,-0.08996214171641292
cosine,li,counts,lle,48,0.058692702191693105
cosine,li,counts,lle,32,0.09603179583409349
cosine,li,counts,lle,2,0.17955718581483146
cosine,li,counts,lle,4,0.23677242651607378
cosine,li,counts,lle,8,0.17753593854829203
cosine,li,counts,lle,16,0.032956863082605474
cosine,li,counts,kpca-cos,96,0.6039830700237346
cosine,li,counts,kpca-cos,48,0.6048794736043012
cosine,li,counts,kpca-cos,32,0.6064063846056741
cosine,li,counts,kpca-cos,2,0.5221937001548594
cosine,li,counts,kpca-cos,4,0.5947420005166282
cosine,li,counts,kpca-cos,8,0.6111570082060104
cosine,li,counts,kpca-cos,16,0.6092087239503072
cosine,li,counts,grp,96,0.9709376038664514
cosine,li,counts,grp,48,0.9251258739236433
cosine,li,counts,grp,32,0.8994401503792541
cosine,li,counts,grp,2,0.5343922610175312
cosine,li,counts,grp,4,0.5645826272827164
cosine,li,counts,grp,8,0.6020848922739369
cosine,li,counts,grp,16,0.8395553906297905
cosine,li,counts,pmf,96,0.7822608685928957
cosine,li,counts,pmf,48,0.7621874008278158
cosine,li,counts,pmf,32,0.7429227624642118
cosine,li,counts,pmf,2,0.4555485428561672
cosine,li,counts,pmf,4,0.3599889175261238
cosine,li,counts,pmf,8,0.5596056288373045
cosine,li,counts,pmf,16,0.6680850640429005
