metric,dataset,count,method,dimensions,rho
cosine,manno_human,counts,zifa,2,0.39993508252932525
cosine,manno_human,counts,zifa,4,0.44773772758067193
cosine,manno_human,counts,zifa,8,0.4501078916787598
cosine,manno_human,counts,vasc,96,nan
cosine,manno_human,counts,vasc,48,nan
cosine,manno_human,counts,vasc,32,0.2892820858958239
cosine,manno_human,counts,vasc,2,0.351456667994742
cosine,manno_human,counts,vasc,4,0.2605847995945046
cosine,manno_human,counts,vasc,8,0.318838091674274
cosine,manno_human,counts,vasc,16,0.31126211813384846
cosine,manno_human,counts,lle,96,0.019390094153336715
cosine,manno_human,counts,lle,48,0.07093033065071863
cosine,manno_human,counts,lle,32,0.10181254335014192
cosine,manno_human,counts,lle,2,0.13957576774472485
cosine,manno_human,counts,lle,4,0.32691346323070086
cosine,manno_human,counts,lle,8,0.24170837559860395
cosine,manno_human,counts,lle,16,0.1918282230771278
cosine,manno_human,counts,kpca-cos,96,0.7083740965990161
cosine,manno_human,counts,kpca-cos,48,0.7069540185636397
cosine,manno_human,counts,kpca-cos,32,0.7059302662796576
cosine,manno_human,counts,kpca-cos,2,0.6044884575320043
cosine,manno_human,counts,kpca-cos,4,0.6635892899443766
cosine,manno_human,counts,kpca-cos,8,0.6976562613425307
cosine,manno_human,counts,kpca-cos,16,0.7031525300805906
cosine,manno_human,counts,grp,96,0.9510419047543648
cosine,manno_human,counts,grp,48,0.9388755535023899
cosine,manno_human,counts,grp,32,0.8637819856261233
cosine,manno_human,counts,grp,2,0.28382783471151535
cosine,manno_human,counts,grp,4,0.29850438806468166
cosine,manno_human,counts,grp,8,0.6022592315511442
cosine,manno_human,counts,grp,16,0.7767875433283401
cosine,manno_human,counts,pmf,96,0.6585424347639006
cosine,manno_human,counts,pmf,48,0.6458886006474844
cosine,manno_human,counts,pmf,32,0.6390824102179228
cosine,manno_human,counts,pmf,2,0.4874167204615854
cosine,manno_human,counts,pmf,4,0.52559210661563
cosine,manno_human,counts,pmf,8,0.5933349068757156
cosine,manno_human,counts,pmf,16,0.5809408437292396
cosine,manno_human,counts,ipca,96,0.5375909917887998
cosine,manno_human,counts,ipca,48,0.5362240439810643
cosine,manno_human,counts,ipca,32,0.5348489807507674
cosine,manno_human,counts,ipca,2,0.44169295574306183
cosine,manno_human,counts,ipca,4,0.4597355981364832
cosine,manno_human,counts,ipca,8,0.5149198424340652
cosine,manno_human,counts,ipca,16,0.529986971916328
cosine,manno_human,counts,lda,96,0.5722644749261104
cosine,manno_human,counts,lda,48,0.6060333277560083
cosine,manno_human,counts,lda,32,0.6255135152673609
cosine,manno_human,counts,lda,2,0.4781542874731644
cosine,manno_human,counts,lda,4,0.5567389732176374
cosine,manno_human,counts,lda,8,0.5458850611506721
cosine,manno_human,counts,lda,16,0.5889234650207328
cosine,manno_human,counts,kpca-sig,96,nan
cosine,manno_human,counts,kpca-sig,48,nan
cosine,manno_human,counts,kpca-sig,32,nan
cosine,manno_human,counts,kpca-sig,2,nan
cosine,manno_human,counts,kpca-sig,4,nan
cosine,manno_human,counts,kpca-sig,8,nan
cosine,manno_human,counts,kpca-sig,16,nan
cosine,manno_human,counts,umap,96,0.5204413525503161
cosine,manno_human,counts,umap,48,0.5789819953563357
cosine,manno_human,counts,umap,32,0.5899999671508864
cosine,manno_human,counts,umap,2,0.44841436746474905
cosine,manno_human,counts,umap,4,0.5166441677752738
cosine,manno_human,counts,umap,8,0.5705682259269174
cosine,manno_human,counts,umap,16,0.5814846559059943
cosine,manno_human,counts,phate,96,0.5331893303963312
cosine,manno_human,counts,phate,48,0.5300413232131994
cosine,manno_human,counts,phate,32,0.534938672523861
cosine,manno_human,counts,phate,2,0.4539278346630268
cosine,manno_human,counts,phate,4,0.5316878460071485
cosine,manno_human,counts,phate,8,0.5335430073687972
cosine,manno_human,counts,phate,16,0.5279336250735025
cosine,manno_human,counts,fica,96,0.16233358891075236
cosine,manno_human,counts,fica,48,0.21891648074551442
cosine,manno_human,counts,fica,32,0.2697163007366859
cosine,manno_human,counts,fica,2,0.4411524617278483
cosine,manno_human,counts,fica,4,0.47152777782424954
cosine,manno_human,counts,fica,8,0.4407114778460325
cosine,manno_human,counts,fica,16,0.3711955358845223
cosine,manno_human,counts,isomap,96,0.5467481283048193
cosine,manno_human,counts,isomap,48,0.5439376468465519
cosine,manno_human,counts,isomap,32,0.5422657149579673
cosine,manno_human,counts,isomap,2,0.4448037461085509
cosine,manno_human,counts,isomap,4,0.48295877743741233
cosine,manno_human,counts,isomap,8,0.5352881282289546
cosine,manno_human,counts,isomap,16,0.5385987954380209
cosine,manno_human,counts,tsvd,96,0.974121717962055
cosine,manno_human,counts,tsvd,48,0.962340250179937
cosine,manno_human,counts,tsvd,32,0.9538486393315099
cosine,manno_human,counts,tsvd,2,0.6097415832283665
cosine,manno_human,counts,tsvd,4,0.7695767008680565
cosine,manno_human,counts,tsvd,8,0.8835116460584959
cosine,manno_human,counts,tsvd,16,0.928590155782064
cosine,manno_human,counts,vpac,96,0.3861714657935101
cosine,manno_human,counts,vpac,48,0.3871927436610505
cosine,manno_human,counts,vpac,32,0.38608893440320613
cosine,manno_human,counts,vpac,2,0.22008851352468667
cosine,manno_human,counts,vpac,4,0.38914638340852337
cosine,manno_human,counts,vpac,8,0.3046730193219764
cosine,manno_human,counts,vpac,16,0.4121350015827149
cosine,manno_human,counts,kpca-rbf,96,0.01726516862714429
cosine,manno_human,counts,kpca-rbf,48,0.016849464132795856
cosine,manno_human,counts,kpca-rbf,32,0.017311533972933554
cosine,manno_human,counts,kpca-rbf,2,0.014015085604762043
cosine,manno_human,counts,kpca-rbf,4,0.014962727516400461
cosine,manno_human,counts,kpca-rbf,8,0.020557083802741828
cosine,manno_human,counts,kpca-rbf,16,0.017356628384966325
cosine,manno_human,counts,mctsne,96,0.1673566166515509
cosine,manno_human,counts,mctsne,48,0.20301866319836848
cosine,manno_human,counts,mctsne,32,nan
cosine,manno_human,counts,mctsne,2,0.4428890148254423
cosine,manno_human,counts,mctsne,4,0.4804492868563627
cosine,manno_human,counts,mctsne,8,0.5003375110652375
cosine,manno_human,counts,nmf,96,0.8994041932964651
cosine,manno_human,counts,nmf,48,0.8793934670522395
cosine,manno_human,counts,nmf,32,0.8678497400576177
cosine,manno_human,counts,nmf,2,0.6073325904185477
cosine,manno_human,counts,nmf,4,0.7381558910917423
cosine,manno_human,counts,nmf,8,0.8274191011388728
cosine,manno_human,counts,nmf,16,0.8890357303797463
cosine,manno_human,counts,srp,96,0.903154949529433
cosine,manno_human,counts,srp,48,0.4427709408329751
cosine,manno_human,counts,srp,32,0.5130838413079007
cosine,manno_human,counts,srp,2,0.17822350484908916
cosine,manno_human,counts,srp,4,0.3279589960288458
cosine,manno_human,counts,srp,8,0.44133267237258517
cosine,manno_human,counts,srp,16,0.269346056589361
cosine,manno_human,counts,snmf,48,0.8468606464490627
cosine,manno_human,counts,snmf,32,0.7489262370842963
cosine,manno_human,counts,snmf,2,0.6005854910789153
cosine,manno_human,counts,snmf,4,0.6895751534743967
cosine,manno_human,counts,snmf,8,0.6541670814202474
cosine,manno_human,counts,snmf,16,0.7283223006126257
cosine,manno_human,counts,psmf,96,0.5978620786465187
cosine,manno_human,counts,psmf,48,0.5857286159787658
cosine,manno_human,counts,psmf,32,0.5972984275578282
cosine,manno_human,counts,psmf,2,0.4578849562064082
cosine,manno_human,counts,psmf,4,0.5343204034654716
cosine,manno_human,counts,psmf,8,0.5907505567154709
cosine,manno_human,counts,psmf,16,0.5452835392304775
cosine,manno_human,counts,kpca-pol,96,0.10989856664462216
cosine,manno_human,counts,kpca-pol,48,0.11166809533564484
cosine,manno_human,counts,kpca-pol,32,0.11097643049149902
cosine,manno_human,counts,kpca-pol,2,0.0024118215217121823
cosine,manno_human,counts,kpca-pol,4,0.037107821796119225
cosine,manno_human,counts,kpca-pol,8,0.09857166053088917
cosine,manno_human,counts,kpca-pol,16,0.10466124464487675
cosine,manno_human,counts,ivis,96,0.5787388216426635
cosine,manno_human,counts,ivis,48,0.6429049980816066
cosine,manno_human,counts,ivis,32,0.6105505343878774
cosine,manno_human,counts,ivis,2,nan
cosine,manno_human,counts,ivis,4,-0.003377328834864909
cosine,manno_human,counts,ivis,8,0.47534464342054494
cosine,manno_human,counts,ivis,16,0.6272947223139657
