metric,dataset,count,method,dimensions,rho
cosine,manno_mouse,logcounts,zifa,48,0.5975397893087295
cosine,manno_mouse,logcounts,zifa,32,0.5969109970501582
cosine,manno_mouse,logcounts,zifa,2,0.5374229367088389
cosine,manno_mouse,logcounts,zifa,4,0.6070801360580501
cosine,manno_mouse,logcounts,zifa,8,0.6014881326931207
cosine,manno_mouse,logcounts,zifa,16,0.596240224873818
cosine,manno_mouse,logcounts,vasc,96,nan
cosine,manno_mouse,logcounts,vasc,48,nan
cosine,manno_mouse,logcounts,vasc,32,0.2919300383855637
cosine,manno_mouse,logcounts,vasc,2,0.32030501482273577
cosine,manno_mouse,logcounts,vasc,4,0.2650547315113534
cosine,manno_mouse,logcounts,vasc,8,0.10148012845103188
cosine,manno_mouse,logcounts,vasc,16,0.17633823307168453
cosine,manno_mouse,logcounts,lle,96,0.006859861760841531
cosine,manno_mouse,logcounts,lle,48,0.014393179204099113
cosine,manno_mouse,logcounts,lle,32,0.019067382895826
cosine,manno_mouse,logcounts,lle,2,-0.04147638516538639
cosine,manno_mouse,logcounts,lle,4,-0.09046187978052085
cosine,manno_mouse,logcounts,lle,8,-0.038657745582206124
cosine,manno_mouse,logcounts,lle,16,-0.0021969172843448815
cosine,manno_mouse,logcounts,kpca-cos,96,0.3822044793816465
cosine,manno_mouse,logcounts,kpca-cos,48,0.3751763104472412
cosine,manno_mouse,logcounts,kpca-cos,32,0.3702914855911853
cosine,manno_mouse,logcounts,kpca-cos,2,0.22865271290559727
cosine,manno_mouse,logcounts,kpca-cos,4,0.35261643844688034
cosine,manno_mouse,logcounts,kpca-cos,8,0.36222143558987213
cosine,manno_mouse,logcounts,kpca-cos,16,0.36583006286153225
cosine,manno_mouse,logcounts,grp,96,0.7001164299891366
cosine,manno_mouse,logcounts,grp,48,0.5402299845748663
cosine,manno_mouse,logcounts,grp,32,0.5075432959877862
cosine,manno_mouse,logcounts,grp,2,0.035702085960347005
cosine,manno_mouse,logcounts,grp,4,0.11004170101831767
cosine,manno_mouse,logcounts,grp,8,0.33726336184653505
cosine,manno_mouse,logcounts,grp,16,0.368333319698501
cosine,manno_mouse,logcounts,pmf,96,0.5960894108505342
cosine,manno_mouse,logcounts,pmf,48,0.5673675335154427
cosine,manno_mouse,logcounts,pmf,32,0.538932887974645
cosine,manno_mouse,logcounts,pmf,2,0.23875975474115407
cosine,manno_mouse,logcounts,pmf,4,0.36930527808415387
cosine,manno_mouse,logcounts,pmf,8,0.4029448262496165
cosine,manno_mouse,logcounts,pmf,16,0.5096747948081909
cosine,manno_mouse,logcounts,lda,96,0.5416561168550352
cosine,manno_mouse,logcounts,lda,48,0.48690771620601614
cosine,manno_mouse,logcounts,lda,32,0.5087061636601701
cosine,manno_mouse,logcounts,lda,2,0.2163004381337783
cosine,manno_mouse,logcounts,lda,4,0.4634873625581711
cosine,manno_mouse,logcounts,lda,8,0.38505784430228057
cosine,manno_mouse,logcounts,lda,16,0.47362361914960543
cosine,manno_mouse,logcounts,kpca-sig,96,0.28303096044539483
cosine,manno_mouse,logcounts,kpca-sig,48,0.2866476329417108
cosine,manno_mouse,logcounts,kpca-sig,32,0.2876642180475855
cosine,manno_mouse,logcounts,kpca-sig,2,0.23022159847996512
cosine,manno_mouse,logcounts,kpca-sig,4,0.27981450735924474
cosine,manno_mouse,logcounts,kpca-sig,8,0.28706836838416205
cosine,manno_mouse,logcounts,kpca-sig,16,0.28761230352779615
cosine,manno_mouse,logcounts,umap,96,-0.08072549510402328
cosine,manno_mouse,logcounts,umap,48,-0.01032507244724348
cosine,manno_mouse,logcounts,umap,32,-0.03924497133285758
cosine,manno_mouse,logcounts,umap,2,0.05929819754654836
cosine,manno_mouse,logcounts,umap,4,0.10950954651056587
cosine,manno_mouse,logcounts,umap,8,-0.03366825580029634
cosine,manno_mouse,logcounts,umap,16,-0.06495419193736009
cosine,manno_mouse,logcounts,phate,96,0.30755366771815806
cosine,manno_mouse,logcounts,phate,48,0.2832878924768732
cosine,manno_mouse,logcounts,phate,32,0.2678851083152238
