metric,dataset,count,method,dimensions,rho
cosine,marques,counts,zifa,32,0.2856077685982014
cosine,marques,counts,zifa,2,0.21655367883900273
cosine,marques,counts,zifa,4,0.2926979943446439
cosine,marques,counts,zifa,8,0.27462943024203024
cosine,marques,counts,zifa,16,0.276727988554425
cosine,marques,counts,vasc,96,nan
cosine,marques,counts,vasc,48,nan
cosine,marques,counts,vasc,32,nan
cosine,marques,counts,vasc,2,0.21023298760254222
cosine,marques,counts,vasc,4,0.23516730241926959
cosine,marques,counts,vasc,8,0.18199323602203124
cosine,marques,counts,vasc,16,nan
cosine,marques,counts,lle,96,0.010275047862108614
cosine,marques,counts,lle,48,0.03891482572999123
cosine,marques,counts,lle,32,0.09182453663597435
cosine,marques,counts,lle,2,0.464622387284295
cosine,marques,counts,lle,4,0.42502921822168255
cosine,marques,counts,lle,8,0.28423885761921625
cosine,marques,counts,lle,16,0.20047870359202266
cosine,marques,counts,kpca-cos,96,0.6997284177188157
cosine,marques,counts,kpca-cos,48,0.7000608846596398
cosine,marques,counts,kpca-cos,32,0.7004576151121688
cosine,marques,counts,kpca-cos,2,0.6780085354271225
cosine,marques,counts,kpca-cos,4,0.7005020125579525
cosine,marques,counts,kpca-cos,8,0.7032479369524325
cosine,marques,counts,kpca-cos,16,0.7015613892898789
cosine,marques,counts,grp,96,0.9925204702976824
cosine,marques,counts,grp,48,0.9832789649344984
cosine,marques,counts,grp,32,0.966691765484381
cosine,marques,counts,grp,2,0.2982551840017774
cosine,marques,counts,grp,4,0.5495275936434317
cosine,marques,counts,grp,8,0.8910701941956553
cosine,marques,counts,grp,16,0.9169280249388554
cosine,marques,counts,pmf,96,0.6828667315004867
cosine,marques,counts,pmf,48,0.6642322841989396
cosine,marques,counts,pmf,32,0.6677618838722593
cosine,marques,counts,pmf,2,0.5178303936727496
cosine,marques,counts,pmf,4,0.6044396302212671
cosine,marques,counts,pmf,8,0.6423874348892222
cosine,marques,counts,pmf,16,0.6374348867152899
cosine,marques,counts,ipca,96,0.5022566517411897
cosine,marques,counts,ipca,48,0.5012616798434902
cosine,marques,counts,ipca,32,0.5005341252324558
cosine,marques,counts,ipca,2,0.45730320556096987
cosine,marques,counts,ipca,4,0.4860601340859148
cosine,marques,counts,ipca,8,0.4971175564861009
cosine,marques,counts,ipca,16,0.49969996506966785
cosine,marques,counts,lda,96,0.6513998041192611
cosine,marques,counts,lda,48,0.6650980128311226
cosine,marques,counts,lda,32,0.6122182839516965
cosine,marques,counts,lda,2,0.46627269785721537
cosine,marques,counts,lda,4,0.6323473576139526
cosine,marques,counts,lda,8,0.64058469436905
cosine,marques,counts,lda,16,0.6310425136516301
cosine,marques,counts,kpca-sig,96,nan
cosine,marques,counts,kpca-sig,48,nan
cosine,marques,counts,kpca-sig,32,nan
cosine,marques,counts,kpca-sig,2,nan
cosine,marques,counts,kpca-sig,4,nan
cosine,marques,counts,kpca-sig,8,nan
cosine,marques,counts,kpca-sig,16,nan
cosine,marques,counts,umap,96,0.5657695234286364
cosine,marques,counts,umap,48,0.5581023132156959
cosine,marques,counts,umap,32,0.5406427507435074
cosine,marques,counts,umap,2,0.47659316265887597
cosine,marques,counts,umap,4,0.5047369811331959
cosine,marques,counts,umap,8,0.5173755243268088
cosine,marques,counts,umap,16,0.5094199594094608
cosine,marques,counts,phate,96,0.5747261869677756
cosine,marques,counts,phate,48,0.5680048579540025
cosine,marques,counts,phate,32,0.5751934830007539
cosine,marques,counts,phate,2,0.5016472874243179
cosine,marques,counts,phate,4,0.5653444052662103
cosine,marques,counts,phate,8,0.5618348547770641
cosine,marques,counts,phate,16,0.5714636214418698
cosine,marques,counts,fica,96,0.1294821967496718
cosine,marques,counts,fica,48,0.1743795082721588
cosine,marques,counts,fica,32,0.2108486351585191
cosine,marques,counts,fica,2,0.4785227055020114
cosine,marques,counts,fica,4,0.46032508704884856
cosine,marques,counts,fica,8,0.38408422047645374
cosine,marques,counts,fica,16,0.27639103140634325
cosine,marques,counts,isomap,96,0.530542013475805
cosine,marques,counts,isomap,48,0.5306370199289238
cosine,marques,counts,isomap,32,0.5303632264124503
cosine,marques,counts,isomap,2,0.4747504649927071
cosine,marques,counts,isomap,4,0.5190603891749423
cosine,marques,counts,isomap,8,0.5279074664038176
cosine,marques,counts,isomap,16,0.5302847017158289
cosine,marques,counts,tsvd,96,0.9907725697993572
cosine,marques,counts,tsvd,48,0.9859572167432922
cosine,marques,counts,tsvd,32,0.9822219252747292
cosine,marques,counts,tsvd,2,0.7858365754171875
cosine,marques,counts,tsvd,4,0.8632769656121245
cosine,marques,counts,tsvd,8,0.9555635814895039
cosine,marques,counts,tsvd,16,0.9750665450272153
cosine,marques,counts,vpac,96,0.2824966229179116
cosine,marques,counts,vpac,48,0.2738694542710071
cosine,marques,counts,vpac,32,0.2929451818461677
cosine,marques,counts,vpac,2,0.3041327155597704
cosine,marques,counts,vpac,4,0.18225412923092177
cosine,marques,counts,vpac,8,0.3381193356197184
cosine,marques,counts,vpac,16,0.2994242413934914
cosine,marques,counts,kpca-rbf,96,0.02240190566245393
cosine,marques,counts,kpca-rbf,48,0.02446787916784359
cosine,marques,counts,kpca-rbf,32,0.02294200026647021
cosine,marques,counts,kpca-rbf,2,0.01773221656617475
cosine,marques,counts,kpca-rbf,4,0.02413460751490299
cosine,marques,counts,kpca-rbf,8,0.022764699297592585
cosine,marques,counts,kpca-rbf,16,0.021064299883339632
cosine,marques,counts,mctsne,96,0.24534623998153984
cosine,marques,counts,mctsne,48,0.19556935508266768
cosine,marques,counts,mctsne,32,nan
cosine,marques,counts,mctsne,2,0.4721227084010702
cosine,marques,counts,mctsne,4,0.5086699937792837
cosine,marques,counts,mctsne,8,0.5160168745850346
cosine,marques,counts,nmf,96,0.8901688647119748
cosine,marques,counts,nmf,48,0.872239375781055
cosine,marques,counts,nmf,32,0.8819748206825309
cosine,marques,counts,nmf,2,0.7841630311675225
cosine,marques,counts,nmf,4,0.8196379075787588
cosine,marques,counts,nmf,8,0.8361884949984358
cosine,marques,counts,nmf,16,0.8222914002133875
cosine,marques,counts,srp,96,0.9829875198316613
cosine,marques,counts,srp,48,0.5472660773863104
cosine,marques,counts,srp,32,0.4275877088029906
cosine,marques,counts,srp,2,nan
cosine,marques,counts,srp,4,0.32475310817744557
cosine,marques,counts,srp,8,0.38951475890184617
cosine,marques,counts,srp,16,0.44349210962030094
cosine,marques,counts,snmf,48,0.45003766023317665
cosine,marques,counts,snmf,32,0.8895930401228878
cosine,marques,counts,snmf,2,0.7563134890559887
cosine,marques,counts,snmf,4,0.43603051361160594
cosine,marques,counts,snmf,8,0.6765694180454771
cosine,marques,counts,snmf,16,0.7016362984119384
cosine,marques,counts,psmf,96,0.5406774713834397
cosine,marques,counts,psmf,48,0.5125154319461096
cosine,marques,counts,psmf,32,0.5512986896108415
cosine,marques,counts,psmf,2,0.41746312174810707
cosine,marques,counts,psmf,4,0.38320329092039446
cosine,marques,counts,psmf,8,0.48962126742660406
cosine,marques,counts,psmf,16,0.5410742713871773
cosine,marques,counts,kpca-pol,96,0.14974774396219817
cosine,marques,counts,kpca-pol,48,0.15138159035695375
cosine,marques,counts,kpca-pol,32,0.15201179122288536
cosine,marques,counts,kpca-pol,2,0.1340060353098552
cosine,marques,counts,kpca-pol,4,0.167353832546405
cosine,marques,counts,kpca-pol,8,0.15557751959324304
cosine,marques,counts,kpca-pol,16,0.154459785984433
cosine,marques,counts,ivis,96,0.7877450879223873
cosine,marques,counts,ivis,48,0.7267265492352781
cosine,marques,counts,ivis,32,0.7500813769603345
cosine,marques,counts,ivis,2,nan
cosine,marques,counts,ivis,4,0.5223613173157822
cosine,marques,counts,ivis,8,0.5012580072159275
cosine,marques,counts,ivis,16,0.5535057102433866
cosine,marques,counts,spectral,96,0.0528633689268279
cosine,marques,counts,spectral,48,0.050170007402457965
cosine,marques,counts,spectral,32,0.07239997910556845
cosine,marques,counts,spectral,2,0.4612748006339528
cosine,marques,counts,spectral,4,0.3918955143759987
cosine,marques,counts,spectral,8,0.23843581013150697
cosine,marques,counts,spectral,16,0.142619720865252
cosine,marques,counts,nmf2,96,0.8220563681855032
cosine,marques,counts,nmf2,48,0.833546048400566
cosine,marques,counts,nmf2,32,0.8276136675185688
cosine,marques,counts,nmf2,2,0.7623141807737918
cosine,marques,counts,nmf2,4,0.6638777113728463
cosine,marques,counts,nmf2,8,0.7105353417344502
cosine,marques,counts,nmf2,16,0.756989098407784
cosine,marques,counts,icm,96,0.1303305946864095
cosine,marques,counts,icm,48,0.09423123908866624
cosine,marques,counts,icm,32,nan
cosine,marques,counts,icm,2,nan
cosine,marques,counts,icm,4,nan
cosine,marques,counts,icm,8,nan
cosine,marques,counts,icm,16,nan
cosine,marques,counts,pca,96,0.5022600424817287
cosine,marques,counts,pca,48,0.5012663748067356
cosine,marques,counts,pca,32,0.5005332637521119
cosine,marques,counts,pca,2,0.45730320556096987
cosine,marques,counts,pca,4,0.4860601340837003
cosine,marques,counts,pca,8,0.4971175562328353
cosine,marques,counts,pca,16,0.4996975930654068
cosine,marques,counts,saucie,96,-0.0037094675329010715
cosine,marques,counts,saucie,48,0.007235330921428069
cosine,marques,counts,saucie,32,-0.018211417970703397
cosine,marques,counts,saucie,2,-0.0029160311347721174
cosine,marques,counts,saucie,4,0.0002974087297060636
cosine,marques,counts,saucie,8,0.004025001104806867
cosine,marques,counts,saucie,16,-0.01676705007391313
cosine,marques,counts,spca,96,0.5038050253564271
cosine,marques,counts,spca,48,0.502652128198449
cosine,marques,counts,spca,32,0.5013781442488235
cosine,marques,counts,spca,2,0.45730280143474444
cosine,marques,counts,spca,4,0.48605969217568384
cosine,marques,counts,spca,8,0.49711761106580815
cosine,marques,counts,spca,16,0.4997012690243341
cosine,marques,counts,spca-batch,96,0.32214201889608884
cosine,marques,counts,spca-batch,48,0.33761770082745063
cosine,marques,counts,spca-batch,32,0.3301986599692556
cosine,marques,counts,spca-batch,2,0.37455054078650035
cosine,marques,counts,spca-batch,4,0.3739135008089976
cosine,marques,counts,spca-batch,8,0.42595030736513084
cosine,marques,counts,spca-batch,16,0.4034111438467753
cosine,marques,counts,nsnmf,96,0.6852875158892636
cosine,marques,counts,nsnmf,48,0.6618232856807613
cosine,marques,counts,nsnmf,32,0.6378883134102118
cosine,marques,counts,nsnmf,2,0.24634680179145593
cosine,marques,counts,nsnmf,4,0.5820327837128306
cosine,marques,counts,nsnmf,8,0.5966649465830448
cosine,marques,counts,nsnmf,16,0.6095387052449546
cosine,marques,counts,lsnmf,96,-0.0035910104729971197
cosine,marques,counts,lsnmf,48,0.004847867371773467
cosine,marques,counts,lsnmf,32,-0.005325604504208072
cosine,marques,counts,lsnmf,2,0.003956454102978957
cosine,marques,counts,lsnmf,4,0.0010670148649559786
cosine,marques,counts,lsnmf,8,0.0012992936750789589
cosine,marques,counts,lsnmf,16,-0.0022461941606879985
cosine,marques,counts,bd,96,0.7101031304775786
cosine,marques,counts,bd,48,0.6772481845022272
cosine,marques,counts,bd,32,0.7517367969642328
cosine,marques,counts,bd,2,0.6642123018625802
cosine,marques,counts,bd,4,0.5696978153878247
cosine,marques,counts,bd,8,0.6145602982025579
cosine,marques,counts,bd,16,0.65509014530889
cosine,marques,counts,fa,96,0.2768310165447307
cosine,marques,counts,fa,48,0.35822998730654904
cosine,marques,counts,fa,32,0.3737844126238162
cosine,marques,counts,fa,2,0.37936997059614486
cosine,marques,counts,fa,4,0.5145460877978414
cosine,marques,counts,fa,8,0.40946508043234026
cosine,marques,counts,fa,16,0.3976510536143808
