metric,dataset,count,method,dimensions,rho
cosine,marques,logcounts,zifa,2,0.6711526831001612
cosine,marques,logcounts,zifa,4,0.6805413797147979
cosine,marques,logcounts,zifa,8,0.6796155382465978
cosine,marques,logcounts,zifa,16,0.6773257868302391
cosine,marques,logcounts,vasc,96,0.21740866975315326
cosine,marques,logcounts,vasc,48,nan
cosine,marques,logcounts,vasc,32,0.0750448152149527
cosine,marques,logcounts,vasc,2,0.2904181566920885
cosine,marques,logcounts,vasc,4,0.3128409781027721
cosine,marques,logcounts,vasc,8,0.21690513954551244
cosine,marques,logcounts,vasc,16,0.20033411614359728
cosine,marques,logcounts,lle,96,0.08389085297509309
cosine,marques,logcounts,lle,48,0.1291589324939618
cosine,marques,logcounts,lle,32,0.18226056264299328
cosine,marques,logcounts,lle,2,0.18143181340975859
cosine,marques,logcounts,lle,4,0.05180111064004542
cosine,marques,logcounts,lle,8,0.21769380370655927
cosine,marques,logcounts,lle,16,0.22306405570488444
cosine,marques,logcounts,kpca-cos,96,0.38590681141823685
cosine,marques,logcounts,kpca-cos,48,0.37929547117994505
cosine,marques,logcounts,kpca-cos,32,0.37560933371200694
cosine,marques,logcounts,kpca-cos,2,0.3945078807646777
cosine,marques,logcounts,kpca-cos,4,0.3756225955538724
cosine,marques,logcounts,kpca-cos,8,0.3670414685288683
cosine,marques,logcounts,kpca-cos,16,0.3710699354688206
cosine,marques,logcounts,grp,96,0.7958063050883878
cosine,marques,logcounts,grp,48,0.6368734889555294
cosine,marques,logcounts,grp,32,0.5148116029351993
cosine,marques,logcounts,grp,2,0.011418823003275505
cosine,marques,logcounts,grp,4,0.28033891776220665
cosine,marques,logcounts,grp,8,0.3901624129853519
cosine,marques,logcounts,grp,16,0.42592159422685033
cosine,marques,logcounts,pmf,96,0.6212829417165839
cosine,marques,logcounts,pmf,48,0.5789768448800541
cosine,marques,logcounts,pmf,32,0.5289757625816589
cosine,marques,logcounts,pmf,2,0.3476047031451967
cosine,marques,logcounts,pmf,4,0.4400365472573181
cosine,marques,logcounts,pmf,8,0.4343445917820973
cosine,marques,logcounts,pmf,16,0.4585868929744933
cosine,marques,logcounts,ipca,96,0.31223189159626863
cosine,marques,logcounts,ipca,48,0.3093470277353075
cosine,marques,logcounts,ipca,32,0.3082199788931793
cosine,marques,logcounts,ipca,2,0.3073604376062546
cosine,marques,logcounts,ipca,4,0.311169620731589
cosine,marques,logcounts,ipca,8,0.3065836315700759
cosine,marques,logcounts,ipca,16,0.30778057955096266
cosine,marques,logcounts,lda,96,0.4855387148463527
cosine,marques,logcounts,lda,48,0.4517798873185109
cosine,marques,logcounts,lda,32,0.4803105176976752
cosine,marques,logcounts,lda,2,0.3560354914217151
cosine,marques,logcounts,lda,4,0.39932305206273794
cosine,marques,logcounts,lda,8,0.4715696139814809
cosine,marques,logcounts,lda,16,0.428974999261981
cosine,marques,logcounts,kpca-sig,96,0.1446176662479368
cosine,marques,logcounts,kpca-sig,48,0.14725992935990395
cosine,marques,logcounts,kpca-sig,32,0.14856359878065692
cosine,marques,logcounts,kpca-sig,2,0.10456827399282105
cosine,marques,logcounts,kpca-sig,4,0.13827820817753897
cosine,marques,logcounts,kpca-sig,8,0.1482871983014231
cosine,marques,logcounts,kpca-sig,16,0.14990699092458692
cosine,marques,logcounts,umap,96,0.08965768766620237
cosine,marques,logcounts,umap,48,0.07088132949927886
cosine,marques,logcounts,umap,32,0.06020398647617042
cosine,marques,logcounts,umap,2,0.5498701938321503
cosine,marques,logcounts,umap,4,0.02322173413142717
cosine,marques,logcounts,umap,8,0.15528581358588855
cosine,marques,logcounts,umap,16,0.15795888028551067
cosine,marques,logcounts,phate,96,0.3247144663386325
cosine,marques,logcounts,phate,48,0.33654834572988057
cosine,marques,logcounts,phate,32,0.30793296116124497
cosine,marques,logcounts,phate,2,0.30913385592573006
cosine,marques,logcounts,phate,4,0.3126230326963722
cosine,marques,logcounts,phate,8,0.32791578585193143
cosine,marques,logcounts,phate,16,0.3383322058999403
cosine,marques,logcounts,fica,96,0.07931502307706727
cosine,marques,logcounts,fica,48,0.09563116903593814
cosine,marques,logcounts,fica,32,0.11052835920266166
cosine,marques,logcounts,fica,2,0.3143800311432514
cosine,marques,logcounts,fica,4,0.2754352491585599
cosine,marques,logcounts,fica,8,0.1898704637630816
cosine,marques,logcounts,fica,16,0.14466632271312227
cosine,marques,logcounts,isomap,96,0.1361800935292759
cosine,marques,logcounts,isomap,48,0.1354437200455846
cosine,marques,logcounts,isomap,32,0.13402894106524102
cosine,marques,logcounts,isomap,2,0.13493219920421942
cosine,marques,logcounts,isomap,4,0.13352561100007646
cosine,marques,logcounts,isomap,8,0.1406354303533319
cosine,marques,logcounts,isomap,16,0.1333249013617846
cosine,marques,logcounts,tsvd,96,0.800005468831013
cosine,marques,logcounts,tsvd,48,0.7416138803141858
cosine,marques,logcounts,tsvd,32,0.7176722617086854
cosine,marques,logcounts,tsvd,2,0.4317480011634693
cosine,marques,logcounts,tsvd,4,0.5317470353785405
cosine,marques,logcounts,tsvd,8,0.6418827827204404
cosine,marques,logcounts,tsvd,16,0.6851351819510473
cosine,marques,logcounts,vpac,96,0.25169320937944933
cosine,marques,logcounts,vpac,48,0.22983531982850156
cosine,marques,logcounts,vpac,32,0.25550348611277063
cosine,marques,logcounts,vpac,2,0.026757490075343754
cosine,marques,logcounts,vpac,4,0.08885757492148727
cosine,marques,logcounts,vpac,8,0.38033377316105715
cosine,marques,logcounts,vpac,16,0.23210959838302403
cosine,marques,logcounts,kpca-rbf,96,0.2813871275668193
cosine,marques,logcounts,kpca-rbf,48,0.2797226000302788
cosine,marques,logcounts,kpca-rbf,32,0.2788136157195748
cosine,marques,logcounts,kpca-rbf,2,0.2865660470607567
cosine,marques,logcounts,kpca-rbf,4,0.2801658498362228
cosine,marques,logcounts,kpca-rbf,8,0.2764514787701541
cosine,marques,logcounts,kpca-rbf,16,0.2758299033269371
cosine,marques,logcounts,mctsne,96,nan
cosine,marques,logcounts,mctsne,48,0.3470506322773813
cosine,marques,logcounts,mctsne,32,nan
cosine,marques,logcounts,mctsne,2,0.21641165102829185
cosine,marques,logcounts,mctsne,4,0.22821077475284607
cosine,marques,logcounts,mctsne,8,0.23400017881779483
cosine,marques,logcounts,nmf,96,0.5587244952013992
cosine,marques,logcounts,nmf,48,0.48198141431664676
cosine,marques,logcounts,nmf,32,0.5549619282238059
cosine,marques,logcounts,nmf,2,0.3266659820694748
cosine,marques,logcounts,nmf,4,0.36877654765349094
cosine,marques,logcounts,nmf,8,0.47430462284711594
cosine,marques,logcounts,nmf,16,0.5779880597905388
cosine,marques,logcounts,srp,96,0.7398186993494693
cosine,marques,logcounts,srp,48,0.7039103162431095
cosine,marques,logcounts,srp,32,0.5163450505063621
cosine,marques,logcounts,srp,2,nan
cosine,marques,logcounts,srp,4,0.19908382020450488
cosine,marques,logcounts,srp,8,0.37628333182521556
cosine,marques,logcounts,srp,16,0.44628620642276867
