metric,dataset,count,method,dimensions,rho
cosine,muraro,normcounts,vasc,96,nan
cosine,muraro,normcounts,vasc,48,nan
cosine,muraro,normcounts,vasc,32,nan
cosine,muraro,normcounts,vasc,2,0.4358772325031682
cosine,muraro,normcounts,vasc,4,0.43725817678214457
cosine,muraro,normcounts,vasc,8,0.3846336433005587
cosine,muraro,normcounts,vasc,16,0.39092110113271766
cosine,muraro,normcounts,lle,96,-0.1687496749916636
cosine,muraro,normcounts,lle,48,-0.09008975508294968
cosine,muraro,normcounts,lle,32,-0.06712424135910494
cosine,muraro,normcounts,lle,2,0.6206073160258037
cosine,muraro,normcounts,lle,4,0.5721800088171684
cosine,muraro,normcounts,lle,8,0.4582463930355431
cosine,muraro,normcounts,lle,16,0.02046579615426379
cosine,muraro,normcounts,kpca-cos,96,0.6885556923133417
cosine,muraro,normcounts,kpca-cos,48,0.6875246000743009
cosine,muraro,normcounts,kpca-cos,32,0.6870858068142772
cosine,muraro,normcounts,kpca-cos,2,0.5680709620163232
cosine,muraro,normcounts,kpca-cos,4,0.658007278670253
cosine,muraro,normcounts,kpca-cos,8,0.6743830726855975
cosine,muraro,normcounts,kpca-cos,16,0.6840236434973077
cosine,muraro,normcounts,grp,96,0.9620376222150424
cosine,muraro,normcounts,grp,48,0.9363550020430087
cosine,muraro,normcounts,grp,32,0.890793990523442
cosine,muraro,normcounts,grp,2,0.1749895137670027
cosine,muraro,normcounts,grp,4,0.5389453695638028
cosine,muraro,normcounts,grp,8,0.6035100601784729
cosine,muraro,normcounts,grp,16,0.7273320724682578
cosine,muraro,normcounts,pmf,96,0.7742823362638597
cosine,muraro,normcounts,pmf,48,0.8024121457093238
cosine,muraro,normcounts,pmf,32,0.8213349447086965
cosine,muraro,normcounts,pmf,2,0.6545061074864426
cosine,muraro,normcounts,pmf,4,0.7938350902409788
cosine,muraro,normcounts,pmf,8,0.8028774220957406
cosine,muraro,normcounts,pmf,16,0.8086012165381236
cosine,muraro,normcounts,ipca,96,0.6137433188263466
cosine,muraro,normcounts,ipca,48,0.6129965009773584
cosine,muraro,normcounts,ipca,32,0.6124797077190641
cosine,muraro,normcounts,ipca,2,0.508480566744324
cosine,muraro,normcounts,ipca,4,0.5810609164418178
cosine,muraro,normcounts,ipca,8,0.6054678376601625
cosine,muraro,normcounts,ipca,16,0.6103584817421455
cosine,muraro,normcounts,lda,96,0.6869334091005715
cosine,muraro,normcounts,lda,48,0.6999248916569927
cosine,muraro,normcounts,lda,32,0.7057308661859591
cosine,muraro,normcounts,lda,2,0.4713028145950163
cosine,muraro,normcounts,lda,4,0.6885576822198082
cosine,muraro,normcounts,lda,8,0.7356958251722299
cosine,muraro,normcounts,lda,16,0.717257852239273
cosine,muraro,normcounts,kpca-sig,96,0.1492005848504799
cosine,muraro,normcounts,kpca-sig,48,0.14804870419017294
cosine,muraro,normcounts,kpca-sig,32,0.14689596424272064
cosine,muraro,normcounts,kpca-sig,2,0.14051946565326284
cosine,muraro,normcounts,kpca-sig,4,0.1438887234828058
cosine,muraro,normcounts,kpca-sig,8,0.14481040794263458
cosine,muraro,normcounts,kpca-sig,16,0.14490122484599735
cosine,muraro,normcounts,umap,96,0.5451266687739774
cosine,muraro,normcounts,umap,48,0.544133904830478
cosine,muraro,normcounts,umap,32,0.5347056528838945
cosine,muraro,normcounts,umap,2,0.5606332597173459
cosine,muraro,normcounts,umap,4,0.556649511855487
cosine,muraro,normcounts,umap,8,0.5506093545785621
cosine,muraro,normcounts,umap,16,0.5391111034109282
cosine,muraro,normcounts,phate,96,0.5721272694910899
cosine,muraro,normcounts,phate,48,0.5666589663923102
cosine,muraro,normcounts,phate,32,0.5715500051723945
cosine,muraro,normcounts,phate,2,0.5532563194916996
cosine,muraro,normcounts,phate,4,0.5653363564257974
cosine,muraro,normcounts,phate,8,0.5724296654755434
cosine,muraro,normcounts,phate,16,0.5850248733658376
cosine,muraro,normcounts,fica,96,0.24722363810033698
cosine,muraro,normcounts,fica,48,0.31225062490375854
cosine,muraro,normcounts,fica,32,0.35684496539949956
cosine,muraro,normcounts,fica,2,0.49762158576437854
cosine,muraro,normcounts,fica,4,0.557147723358769
cosine,muraro,normcounts,fica,8,0.5306681866747643
cosine,muraro,normcounts,fica,16,0.43444190068424027
cosine,muraro,normcounts,isomap,96,0.515734275228337
cosine,muraro,normcounts,isomap,48,0.51493510498992
cosine,muraro,normcounts,isomap,32,0.5139597986542105
cosine,muraro,normcounts,isomap,2,0.5336266910943029
cosine,muraro,normcounts,isomap,4,0.5205115370440344
cosine,muraro,normcounts,isomap,8,0.519189568208472
cosine,muraro,normcounts,isomap,16,0.5127151126411452
cosine,muraro,normcounts,tsvd,96,0.9990223980495946
cosine,muraro,normcounts,tsvd,48,0.9974146673959041
cosine,muraro,normcounts,tsvd,32,0.9952272375445126
cosine,muraro,normcounts,tsvd,2,0.7361139712707954
cosine,muraro,normcounts,tsvd,4,0.9137735365328894
