metric,dataset,count,method,dimensions,rho
cosine,pollen,normcounts,vasc,96,nan
cosine,pollen,normcounts,vasc,48,0.35273688612308174
cosine,pollen,normcounts,vasc,32,0.30577926933868216
cosine,pollen,normcounts,vasc,2,0.3354670126898926
cosine,pollen,normcounts,vasc,4,0.289460670968725
cosine,pollen,normcounts,vasc,8,0.32365236786966833
cosine,pollen,normcounts,vasc,16,0.33125362453816387
cosine,pollen,normcounts,lle,96,0.09668551338315982
cosine,pollen,normcounts,lle,48,0.16825663732232432
cosine,pollen,normcounts,lle,32,0.19041651616296534
cosine,pollen,normcounts,lle,2,0.25219137034969513
cosine,pollen,normcounts,lle,4,0.2782158349472339
cosine,pollen,normcounts,lle,8,0.17613229166151345
cosine,pollen,normcounts,lle,16,0.28102532406337705
cosine,pollen,normcounts,kpca-cos,96,0.6491608399875302
cosine,pollen,normcounts,kpca-cos,48,0.6501974460624768
cosine,pollen,normcounts,kpca-cos,32,0.6543466209032736
cosine,pollen,normcounts,kpca-cos,2,0.5708662546700289
cosine,pollen,normcounts,kpca-cos,4,0.6166329913879293
cosine,pollen,normcounts,kpca-cos,8,0.6563756994258934
cosine,pollen,normcounts,kpca-cos,16,0.6617473541813607
cosine,pollen,normcounts,grp,96,0.9505193319309779
cosine,pollen,normcounts,grp,48,0.9216713189281345
cosine,pollen,normcounts,grp,32,0.8575743721218615
cosine,pollen,normcounts,grp,2,0.448312275537915
cosine,pollen,normcounts,grp,4,0.6454935749447347
cosine,pollen,normcounts,grp,8,0.7385165761281735
cosine,pollen,normcounts,grp,16,0.6381261030385726
cosine,pollen,normcounts,pmf,96,0.6983730713227917
cosine,pollen,normcounts,pmf,48,0.6994237303824186
cosine,pollen,normcounts,pmf,32,0.7320302773293306
cosine,pollen,normcounts,pmf,2,0.47588267044687954
cosine,pollen,normcounts,pmf,4,0.5936707785989257
cosine,pollen,normcounts,pmf,8,0.7391862811486298
cosine,pollen,normcounts,pmf,16,0.772895237075676
cosine,pollen,normcounts,ipca,96,0.7119378281524379
cosine,pollen,normcounts,ipca,48,0.7107372070553427
cosine,pollen,normcounts,ipca,32,0.7096222096788667
cosine,pollen,normcounts,ipca,2,0.5321010785365894
cosine,pollen,normcounts,ipca,4,0.6356429391846212
cosine,pollen,normcounts,ipca,8,0.6950538415620066
cosine,pollen,normcounts,ipca,16,0.7056766542420333
cosine,pollen,normcounts,lda,96,0.5960759292569988
cosine,pollen,normcounts,lda,48,0.6286314227427463
cosine,pollen,normcounts,lda,32,0.6737655465242904
cosine,pollen,normcounts,lda,2,0.6595552146066679
cosine,pollen,normcounts,lda,4,0.6452266101194496
cosine,pollen,normcounts,lda,8,0.6615658567338747
cosine,pollen,normcounts,lda,16,0.5923544853392572
cosine,pollen,normcounts,kpca-sig,96,nan
cosine,pollen,normcounts,kpca-sig,48,nan
cosine,pollen,normcounts,kpca-sig,32,nan
cosine,pollen,normcounts,kpca-sig,2,nan
cosine,pollen,normcounts,kpca-sig,4,nan
cosine,pollen,normcounts,kpca-sig,8,nan
cosine,pollen,normcounts,kpca-sig,16,nan
cosine,pollen,normcounts,umap,96,0.581366924825894
cosine,pollen,normcounts,umap,48,0.5924513558166762
cosine,pollen,normcounts,umap,32,0.5877115775251368
cosine,pollen,normcounts,umap,2,0.4467527576250558
