metric,dataset,count,method,dimensions,rho
cosine,romanov,counts,zifa,96,0.34292827745633636
cosine,romanov,counts,zifa,48,0.3407736815112901
cosine,romanov,counts,zifa,32,0.3392077952362074
cosine,romanov,counts,zifa,2,0.3349277550373042
cosine,romanov,counts,zifa,4,0.3703225408674725
cosine,romanov,counts,zifa,8,0.34745420347464295
cosine,romanov,counts,zifa,16,0.3359476740376552
cosine,romanov,counts,vasc,96,0.3223029572734423
cosine,romanov,counts,vasc,48,0.2528070120348784
cosine,romanov,counts,vasc,32,0.4019370913401889
cosine,romanov,counts,vasc,2,0.30860224141121245
cosine,romanov,counts,vasc,4,0.29375168107283456
cosine,romanov,counts,vasc,8,0.27141467350006876
cosine,romanov,counts,vasc,16,0.22920663111102452
cosine,romanov,counts,lle,96,0.06382597977728274
cosine,romanov,counts,lle,48,0.06920087844251373
cosine,romanov,counts,lle,32,0.12796440478490823
cosine,romanov,counts,lle,2,0.0011915350951211534
cosine,romanov,counts,lle,4,0.17812241657136146
cosine,romanov,counts,lle,8,0.20745358219874607
cosine,romanov,counts,lle,16,0.20858155184965646
cosine,romanov,counts,kpca-cos,96,0.6668219007701994
cosine,romanov,counts,kpca-cos,48,0.6646200788516329
cosine,romanov,counts,kpca-cos,32,0.6628139443750388
cosine,romanov,counts,kpca-cos,2,0.5270304625152407
cosine,romanov,counts,kpca-cos,4,0.6428141743389656
cosine,romanov,counts,kpca-cos,8,0.6561154289538846
cosine,romanov,counts,kpca-cos,16,0.6598990881217431
cosine,romanov,counts,grp,96,0.9826562452360049
cosine,romanov,counts,grp,48,0.9586262412602058
cosine,romanov,counts,grp,32,0.9420673732684192
cosine,romanov,counts,grp,2,0.48147887324050054
cosine,romanov,counts,grp,4,0.49090816834080986
cosine,romanov,counts,grp,8,0.8156411688419863
cosine,romanov,counts,grp,16,0.9118949669908455
cosine,romanov,counts,pmf,96,0.5141114425510307
cosine,romanov,counts,pmf,48,0.5331396631891475
cosine,romanov,counts,pmf,32,0.4949905691707109
cosine,romanov,counts,pmf,2,0.42398344866049786
cosine,romanov,counts,pmf,4,0.48246224028116713
cosine,romanov,counts,pmf,8,0.49799119097937655
cosine,romanov,counts,pmf,16,0.4406823806684396
cosine,romanov,counts,ipca,96,0.3267885894103739
cosine,romanov,counts,ipca,48,0.32556839365871665
cosine,romanov,counts,ipca,32,0.3235860708576211
cosine,romanov,counts,ipca,2,0.22990886941460448
cosine,romanov,counts,ipca,4,0.28490438153594605
cosine,romanov,counts,ipca,8,0.3105713164422062
cosine,romanov,counts,ipca,16,0.31964981941732634
cosine,romanov,counts,lda,96,0.506525415949181
cosine,romanov,counts,lda,48,0.5261024033602976
cosine,romanov,counts,lda,32,0.5231308381161209
