metric,dataset,count,method,dimensions,rho
cosine,romanov,logcounts,zifa,32,0.7617870065443723
cosine,romanov,logcounts,zifa,2,0.6740181279304333
cosine,romanov,logcounts,zifa,4,0.7439765675328268
cosine,romanov,logcounts,zifa,8,0.762949413489937
cosine,romanov,logcounts,zifa,16,0.7596658124868217
cosine,romanov,logcounts,vasc,96,0.07764555324224719
cosine,romanov,logcounts,vasc,48,0.21146090128069472
cosine,romanov,logcounts,vasc,32,nan
cosine,romanov,logcounts,vasc,2,0.3338533405828189
cosine,romanov,logcounts,vasc,4,0.23842939423064802
cosine,romanov,logcounts,vasc,8,0.3278914655732079
cosine,romanov,logcounts,vasc,16,0.2808500159936466
cosine,romanov,logcounts,lle,96,0.17733326813876588
cosine,romanov,logcounts,lle,48,0.1754560914326374
cosine,romanov,logcounts,lle,32,0.25843436740936254
cosine,romanov,logcounts,lle,2,-0.1045242716657756
cosine,romanov,logcounts,lle,4,0.3466384414084116
cosine,romanov,logcounts,lle,8,0.26405660763590677
cosine,romanov,logcounts,lle,16,0.2575362249051705
cosine,romanov,logcounts,kpca-cos,96,0.37312097087642293
cosine,romanov,logcounts,kpca-cos,48,0.37363828273799654
cosine,romanov,logcounts,kpca-cos,32,0.3735879360243504
cosine,romanov,logcounts,kpca-cos,2,0.3292153837510321
cosine,romanov,logcounts,kpca-cos,4,0.3615141311816255
cosine,romanov,logcounts,kpca-cos,8,0.37508338183599615
cosine,romanov,logcounts,kpca-cos,16,0.3747653663206941
cosine,romanov,logcounts,grp,96,0.8344909911366559
cosine,romanov,logcounts,grp,48,0.6687798219763356
cosine,romanov,logcounts,grp,32,0.6874917236212577
cosine,romanov,logcounts,grp,2,0.1289521961883151
cosine,romanov,logcounts,grp,4,0.16206555903150538
cosine,romanov,logcounts,grp,8,0.3286152353782693
cosine,romanov,logcounts,grp,16,0.45865883933535095
cosine,romanov,logcounts,pmf,96,0.7314956626567772
cosine,romanov,logcounts,pmf,48,0.6962906836540467
cosine,romanov,logcounts,pmf,32,0.6499933905356676
cosine,romanov,logcounts,pmf,2,0.21380852151862273
cosine,romanov,logcounts,pmf,4,0.3471697841753239
cosine,romanov,logcounts,pmf,8,0.5788228618363777
cosine,romanov,logcounts,pmf,16,0.5486550195745924
cosine,romanov,logcounts,ipca,96,0.30101251544652213
cosine,romanov,logcounts,ipca,48,0.3055770978457639
cosine,romanov,logcounts,ipca,32,0.3081101700631504
cosine,romanov,logcounts,ipca,2,0.2590223456946945
cosine,romanov,logcounts,ipca,4,0.2890504142445564
cosine,romanov,logcounts,ipca,8,0.31077537427214197
cosine,romanov,logcounts,ipca,16,0.3123744086369589
cosine,romanov,logcounts,lda,96,0.5657887753880837
cosine,romanov,logcounts,lda,48,0.6110440486840223
cosine,romanov,logcounts,lda,32,0.5600849551989634
cosine,romanov,logcounts,lda,2,0.2540727464021753
cosine,romanov,logcounts,lda,4,0.542756038865656
cosine,romanov,logcounts,lda,8,0.5204475470975554
cosine,romanov,logcounts,lda,16,0.5662198772844994
cosine,romanov,logcounts,kpca-sig,96,0.27328898223637044
cosine,romanov,logcounts,kpca-sig,48,0.2766997740208076
cosine,romanov,logcounts,kpca-sig,32,0.27814589216761987
cosine,romanov,logcounts,kpca-sig,2,0.22724040605857002
cosine,romanov,logcounts,kpca-sig,4,0.2587120086205153
cosine,romanov,logcounts,kpca-sig,8,0.27740143712536663
cosine,romanov,logcounts,kpca-sig,16,0.27932799498258426
cosine,romanov,logcounts,umap,96,0.4240301151143021
cosine,romanov,logcounts,umap,48,0.3614248076840555
