metric,dataset,count,method,dimensions,rho
cosine,tasic-rpkms,lognormcounts,vasc,96,nan
cosine,tasic-rpkms,lognormcounts,vasc,48,nan
cosine,tasic-rpkms,lognormcounts,vasc,32,nan
cosine,tasic-rpkms,lognormcounts,vasc,2,0.33292275429614915
cosine,tasic-rpkms,lognormcounts,vasc,4,0.23624730827721294
cosine,tasic-rpkms,lognormcounts,vasc,8,0.1690751278874378
cosine,tasic-rpkms,lognormcounts,vasc,16,0.09868615252127347
cosine,tasic-rpkms,lognormcounts,lle,96,0.02656402353378408
cosine,tasic-rpkms,lognormcounts,lle,48,0.04084727988440129
cosine,tasic-rpkms,lognormcounts,lle,32,0.14334196750398112
cosine,tasic-rpkms,lognormcounts,lle,2,0.5395465999362669
cosine,tasic-rpkms,lognormcounts,lle,4,0.5365028799814627
cosine,tasic-rpkms,lognormcounts,lle,8,0.3424880631650009
cosine,tasic-rpkms,lognormcounts,lle,16,0.26349135413499625
cosine,tasic-rpkms,lognormcounts,kpca-cos,96,0.44341859334546674
cosine,tasic-rpkms,lognormcounts,kpca-cos,48,0.4481119473231109
cosine,tasic-rpkms,lognormcounts,kpca-cos,32,0.45088904515795264
cosine,tasic-rpkms,lognormcounts,kpca-cos,2,0.462224417458637
cosine,tasic-rpkms,lognormcounts,kpca-cos,4,0.44558571698894645
cosine,tasic-rpkms,lognormcounts,kpca-cos,8,0.4332693138258413
cosine,tasic-rpkms,lognormcounts,kpca-cos,16,0.4430552857927638
cosine,tasic-rpkms,lognormcounts,grp,96,0.8791396825854599
cosine,tasic-rpkms,lognormcounts,grp,48,0.8000297323720437
cosine,tasic-rpkms,lognormcounts,grp,32,0.7443794265767246
cosine,tasic-rpkms,lognormcounts,grp,2,0.16820842901356114
cosine,tasic-rpkms,lognormcounts,grp,4,0.4410806248998837
cosine,tasic-rpkms,lognormcounts,grp,8,0.46235738147447303
cosine,tasic-rpkms,lognormcounts,grp,16,0.609632518735804
cosine,tasic-rpkms,lognormcounts,pmf,96,0.6477776832943486
cosine,tasic-rpkms,lognormcounts,pmf,48,0.6203702403660495
cosine,tasic-rpkms,lognormcounts,pmf,32,0.6037790829330416
cosine,tasic-rpkms,lognormcounts,pmf,2,0.22175300306548756
cosine,tasic-rpkms,lognormcounts,pmf,4,0.45071651161380294
cosine,tasic-rpkms,lognormcounts,pmf,8,0.4993327107745457
cosine,tasic-rpkms,lognormcounts,pmf,16,0.5753509557490467
cosine,tasic-rpkms,lognormcounts,ipca,96,0.5234559738045653
cosine,tasic-rpkms,lognormcounts,ipca,48,0.5103426834022942
cosine,tasic-rpkms,lognormcounts,ipca,32,0.5018677491249103
cosine,tasic-rpkms,lognormcounts,ipca,2,0.476736268071803
cosine,tasic-rpkms,lognormcounts,ipca,4,0.4775309807491113
cosine,tasic-rpkms,lognormcounts,ipca,8,0.48210159580207557
cosine,tasic-rpkms,lognormcounts,ipca,16,0.49085264302332504
cosine,tasic-rpkms,lognormcounts,lda,96,0.5429242739731203
cosine,tasic-rpkms,lognormcounts,lda,48,0.5514305156400658
cosine,tasic-rpkms,lognormcounts,lda,32,0.5926495658342693
cosine,tasic-rpkms,lognormcounts,lda,2,0.74064262857512
cosine,tasic-rpkms,lognormcounts,lda,4,0.5351240669400502
cosine,tasic-rpkms,lognormcounts,lda,8,0.5437111511426821
cosine,tasic-rpkms,lognormcounts,lda,16,0.5279157149709616
cosine,tasic-rpkms,lognormcounts,kpca-sig,96,0.1293670160289174
cosine,tasic-rpkms,lognormcounts,kpca-sig,48,0.13224389884824578
cosine,tasic-rpkms,lognormcounts,kpca-sig,32,0.13341266112926736
cosine,tasic-rpkms,lognormcounts,kpca-sig,2,-0.006952958359194999
cosine,tasic-rpkms,lognormcounts,kpca-sig,4,0.01856763837194393
cosine,tasic-rpkms,lognormcounts,kpca-sig,8,0.1391343742583127
cosine,tasic-rpkms,lognormcounts,kpca-sig,16,0.13450654794667272
cosine,tasic-rpkms,lognormcounts,umap,96,0.27017430019108324
cosine,tasic-rpkms,lognormcounts,umap,48,0.24969976353473647
cosine,tasic-rpkms,lognormcounts,umap,32,0.21889204729647102
cosine,tasic-rpkms,lognormcounts,umap,2,0.09886264414371652
cosine,tasic-rpkms,lognormcounts,umap,4,0.38895213629803055
cosine,tasic-rpkms,lognormcounts,umap,8,0.09623535609087752
cosine,tasic-rpkms,lognormcounts,umap,16,0.2175045613670058
cosine,tasic-rpkms,lognormcounts,phate,96,0.1700953854940569
cosine,tasic-rpkms,lognormcounts,phate,48,0.16298409960785998
cosine,tasic-rpkms,lognormcounts,phate,32,0.17633434872594933
cosine,tasic-rpkms,lognormcounts,phate,2,0.15413259864410692
cosine,tasic-rpkms,lognormcounts,phate,4,0.1767826024532877
cosine,tasic-rpkms,lognormcounts,phate,8,0.17463256223053214
cosine,tasic-rpkms,lognormcounts,phate,16,0.18720758173576965
cosine,tasic-rpkms,lognormcounts,fica,96,0.07140015878975822
cosine,tasic-rpkms,lognormcounts,fica,48,0.07837631476648824
cosine,tasic-rpkms,lognormcounts,fica,32,0.09292329034151728
cosine,tasic-rpkms,lognormcounts,fica,2,0.35990969447417315
cosine,tasic-rpkms,lognormcounts,fica,4,0.2737048046838167
cosine,tasic-rpkms,lognormcounts,fica,8,0.18444422899471052
cosine,tasic-rpkms,lognormcounts,fica,16,0.12599153112397146
cosine,tasic-rpkms,lognormcounts,isomap,96,0.38920448631975196
cosine,tasic-rpkms,lognormcounts,isomap,48,0.38454101699606236
cosine,tasic-rpkms,lognormcounts,isomap,32,0.38303384331377377
cosine,tasic-rpkms,lognormcounts,isomap,2,0.3333413374450084
cosine,tasic-rpkms,lognormcounts,isomap,4,0.3617277212570094
cosine,tasic-rpkms,lognormcounts,isomap,8,0.3688730532371555
cosine,tasic-rpkms,lognormcounts,isomap,16,0.3789765419329081
cosine,tasic-rpkms,lognormcounts,tsvd,96,0.9015649920430224
cosine,tasic-rpkms,lognormcounts,tsvd,48,0.8025039284587078
cosine,tasic-rpkms,lognormcounts,tsvd,32,0.7485238085479412
cosine,tasic-rpkms,lognormcounts,tsvd,2,0.3287158703629877
cosine,tasic-rpkms,lognormcounts,tsvd,4,0.6633055675737802
cosine,tasic-rpkms,lognormcounts,tsvd,8,0.6777147742130413
cosine,tasic-rpkms,lognormcounts,tsvd,16,0.7059992819185563
cosine,tasic-rpkms,lognormcounts,vpac,96,0.4929666297459703
cosine,tasic-rpkms,lognormcounts,vpac,48,0.4805393720259539
cosine,tasic-rpkms,lognormcounts,vpac,32,0.47666999263660437
cosine,tasic-rpkms,lognormcounts,vpac,2,0.6622412008487149
cosine,tasic-rpkms,lognormcounts,vpac,4,0.4935629362594791
cosine,tasic-rpkms,lognormcounts,vpac,8,0.4425099278174223
