metric,dataset,count,method,dimensions,rho
cosine,tasic-rpkms,normcounts,zifa,48,0.29559423008801566
cosine,tasic-rpkms,normcounts,zifa,32,0.2987661155173722
cosine,tasic-rpkms,normcounts,zifa,2,0.3170840100337314
cosine,tasic-rpkms,normcounts,zifa,8,0.35521803958576087
cosine,tasic-rpkms,normcounts,vasc,96,nan
cosine,tasic-rpkms,normcounts,vasc,48,nan
cosine,tasic-rpkms,normcounts,vasc,32,nan
cosine,tasic-rpkms,normcounts,vasc,2,0.2768747442409459
cosine,tasic-rpkms,normcounts,vasc,4,0.3163829003586166
cosine,tasic-rpkms,normcounts,vasc,8,0.2479549148880574
cosine,tasic-rpkms,normcounts,vasc,16,nan
cosine,tasic-rpkms,normcounts,lle,96,0.04680927288192312
cosine,tasic-rpkms,normcounts,lle,48,0.05742838913948412
cosine,tasic-rpkms,normcounts,lle,32,0.13014026124010333
cosine,tasic-rpkms,normcounts,lle,2,0.3504340092579035
cosine,tasic-rpkms,normcounts,lle,4,0.4735856333498241
cosine,tasic-rpkms,normcounts,lle,8,0.3738928720117595
cosine,tasic-rpkms,normcounts,lle,16,0.17574388623136256
cosine,tasic-rpkms,normcounts,kpca-cos,96,0.6968158105403042
cosine,tasic-rpkms,normcounts,kpca-cos,48,0.6956402163819133
cosine,tasic-rpkms,normcounts,kpca-cos,32,0.6950419242495106
cosine,tasic-rpkms,normcounts,kpca-cos,2,0.6770476160824768
cosine,tasic-rpkms,normcounts,kpca-cos,4,0.6990685747958565
cosine,tasic-rpkms,normcounts,kpca-cos,8,0.6967894640183708
cosine,tasic-rpkms,normcounts,kpca-cos,16,0.6941964136829578
cosine,tasic-rpkms,normcounts,grp,96,0.9758880149575686
cosine,tasic-rpkms,normcounts,grp,48,0.9648206322581232
cosine,tasic-rpkms,normcounts,grp,32,0.9574166836244113
cosine,tasic-rpkms,normcounts,grp,2,0.33219118721617313
cosine,tasic-rpkms,normcounts,grp,4,0.660896817750408
cosine,tasic-rpkms,normcounts,grp,8,0.7901713079293098
cosine,tasic-rpkms,normcounts,grp,16,0.917049574939374
cosine,tasic-rpkms,normcounts,pmf,96,0.905414682809449
cosine,tasic-rpkms,normcounts,pmf,48,0.849966876272934
cosine,tasic-rpkms,normcounts,pmf,32,0.8688906756376846
cosine,tasic-rpkms,normcounts,pmf,2,0.4901407264643897
cosine,tasic-rpkms,normcounts,pmf,4,0.6965822813467244
cosine,tasic-rpkms,normcounts,pmf,8,0.8140852558171046
cosine,tasic-rpkms,normcounts,pmf,16,0.8752302954032782
cosine,tasic-rpkms,normcounts,ipca,96,0.7589287484842661
cosine,tasic-rpkms,normcounts,ipca,48,0.7586823152004221
cosine,tasic-rpkms,normcounts,ipca,32,0.7583462042041699
cosine,tasic-rpkms,normcounts,ipca,2,0.6387142960130402
cosine,tasic-rpkms,normcounts,ipca,4,0.7109377233306072
cosine,tasic-rpkms,normcounts,ipca,8,0.7630895026872592
cosine,tasic-rpkms,normcounts,ipca,16,0.7555502086315621
cosine,tasic-rpkms,normcounts,lda,96,0.7064702391322202
cosine,tasic-rpkms,normcounts,lda,48,0.7250416130808911
cosine,tasic-rpkms,normcounts,lda,32,0.7577595418314872
cosine,tasic-rpkms,normcounts,lda,2,0.27607460365214
cosine,tasic-rpkms,normcounts,lda,4,0.7821166282873878
cosine,tasic-rpkms,normcounts,lda,8,0.777443204977509
cosine,tasic-rpkms,normcounts,lda,16,0.7777723287918652
cosine,tasic-rpkms,normcounts,kpca-sig,96,nan
cosine,tasic-rpkms,normcounts,kpca-sig,48,nan
cosine,tasic-rpkms,normcounts,kpca-sig,32,nan
cosine,tasic-rpkms,normcounts,kpca-sig,2,nan
cosine,tasic-rpkms,normcounts,kpca-sig,4,nan
cosine,tasic-rpkms,normcounts,kpca-sig,8,nan
cosine,tasic-rpkms,normcounts,kpca-sig,16,nan
cosine,tasic-rpkms,normcounts,umap,96,0.34574994456263947
cosine,tasic-rpkms,normcounts,umap,48,0.3385799188730006
cosine,tasic-rpkms,normcounts,umap,32,0.38943863848315213
cosine,tasic-rpkms,normcounts,umap,2,0.3232046639401377
cosine,tasic-rpkms,normcounts,umap,4,0.450931661122905
cosine,tasic-rpkms,normcounts,umap,8,0.3977974694445717
cosine,tasic-rpkms,normcounts,umap,16,0.36539207040004756
cosine,tasic-rpkms,normcounts,phate,96,0.7067309511514565
cosine,tasic-rpkms,normcounts,phate,48,0.7069080325263931
cosine,tasic-rpkms,normcounts,phate,32,0.705411012446374
cosine,tasic-rpkms,normcounts,phate,2,0.6298215962843146
cosine,tasic-rpkms,normcounts,phate,4,0.7023130729768916
cosine,tasic-rpkms,normcounts,phate,8,0.7051972360337498
cosine,tasic-rpkms,normcounts,phate,16,0.7068473599050902
cosine,tasic-rpkms,normcounts,fica,96,0.15597312322560347
cosine,tasic-rpkms,normcounts,fica,48,0.22133017982232972
cosine,tasic-rpkms,normcounts,fica,32,0.27364979078998286
cosine,tasic-rpkms,normcounts,fica,2,0.5565959799307532
cosine,tasic-rpkms,normcounts,fica,4,0.6039612767554191
cosine,tasic-rpkms,normcounts,fica,8,0.5378025546002917
cosine,tasic-rpkms,normcounts,fica,16,0.35745460481910685
cosine,tasic-rpkms,normcounts,isomap,96,0.3953696498650724
cosine,tasic-rpkms,normcounts,isomap,48,0.3928662298794406
cosine,tasic-rpkms,normcounts,isomap,32,0.3907742320774212
cosine,tasic-rpkms,normcounts,isomap,2,0.41535811346283685
cosine,tasic-rpkms,normcounts,isomap,4,0.3831561455872713
cosine,tasic-rpkms,normcounts,isomap,8,0.3883833578497008
cosine,tasic-rpkms,normcounts,isomap,16,0.3869364903488873
cosine,tasic-rpkms,normcounts,tsvd,96,0.9961904553863512
cosine,tasic-rpkms,normcounts,tsvd,48,0.9942446574114003
cosine,tasic-rpkms,normcounts,tsvd,32,0.9918159880291421
cosine,tasic-rpkms,normcounts,tsvd,2,0.5609736749920884
cosine,tasic-rpkms,normcounts,tsvd,4,0.8353810848581231
cosine,tasic-rpkms,normcounts,tsvd,8,0.9496702723704208
cosine,tasic-rpkms,normcounts,tsvd,16,0.9793191339273076
cosine,tasic-rpkms,normcounts,vpac,96,0.44743212078161243
cosine,tasic-rpkms,normcounts,vpac,48,0.445233797954925
cosine,tasic-rpkms,normcounts,vpac,32,0.43880125351993465
cosine,tasic-rpkms,normcounts,vpac,2,0.6186110526132108
cosine,tasic-rpkms,normcounts,vpac,4,0.4416846405662939
cosine,tasic-rpkms,normcounts,vpac,8,0.43962248936756004
cosine,tasic-rpkms,normcounts,vpac,16,0.4584170840834367
cosine,tasic-rpkms,normcounts,kpca-rbf,96,0.00786939863207053
cosine,tasic-rpkms,normcounts,kpca-rbf,48,0.01086501293943169
cosine,tasic-rpkms,normcounts,kpca-rbf,32,0.014451295711035065
