metric,dataset,count,method,dimensions,rho
cosine,usoskin,normcounts,zifa,96,0.3981408684328471
cosine,usoskin,normcounts,zifa,48,0.41940613880979954
cosine,usoskin,normcounts,zifa,32,0.42502094177244515
cosine,usoskin,normcounts,zifa,2,0.3392149446959179
cosine,usoskin,normcounts,zifa,4,0.39743083084999686
cosine,usoskin,normcounts,zifa,8,0.4274496140554679
cosine,usoskin,normcounts,zifa,16,0.43250879769091977
cosine,usoskin,normcounts,vasc,96,nan
cosine,usoskin,normcounts,vasc,48,nan
cosine,usoskin,normcounts,vasc,32,0.12918235433095848
cosine,usoskin,normcounts,vasc,2,0.26350505164697413
cosine,usoskin,normcounts,vasc,4,0.22273722872447968
cosine,usoskin,normcounts,vasc,8,0.18087279168079293
cosine,usoskin,normcounts,vasc,16,0.11287993440053187
cosine,usoskin,normcounts,lle,96,-0.006664490656518572
cosine,usoskin,normcounts,lle,48,0.02271554960258407
cosine,usoskin,normcounts,lle,32,0.08334506316259223
cosine,usoskin,normcounts,lle,2,0.3185842516536599
cosine,usoskin,normcounts,lle,4,0.3644299038669782
cosine,usoskin,normcounts,lle,8,0.30271171792072454
cosine,usoskin,normcounts,lle,16,0.20879614435721552
cosine,usoskin,normcounts,kpca-cos,96,0.664284198995812
cosine,usoskin,normcounts,kpca-cos,48,0.6662450311944016
cosine,usoskin,normcounts,kpca-cos,32,0.667742885881219
cosine,usoskin,normcounts,kpca-cos,2,0.4754815277247392
cosine,usoskin,normcounts,kpca-cos,4,0.6185754083725317
cosine,usoskin,normcounts,kpca-cos,8,0.6640089260214053
cosine,usoskin,normcounts,kpca-cos,16,0.6679127301058233
cosine,usoskin,normcounts,grp,96,0.941738191109005
cosine,usoskin,normcounts,grp,48,0.8485707595965747
cosine,usoskin,normcounts,grp,32,0.8111004450727963
cosine,usoskin,normcounts,grp,2,0.17152837739242013
cosine,usoskin,normcounts,grp,4,0.6060873992907363
cosine,usoskin,normcounts,grp,8,0.5589560761614718
cosine,usoskin,normcounts,grp,16,0.7388409038560813
cosine,usoskin,normcounts,pmf,96,0.731521987184644
cosine,usoskin,normcounts,pmf,48,0.759612428829764
cosine,usoskin,normcounts,pmf,32,0.7522998292834018
cosine,usoskin,normcounts,pmf,2,0.35469421003898227
cosine,usoskin,normcounts,pmf,4,0.5506253756095277
cosine,usoskin,normcounts,pmf,8,0.6247255707710897
cosine,usoskin,normcounts,pmf,16,0.7203034713819004
cosine,usoskin,normcounts,ipca,96,0.643204421759071
cosine,usoskin,normcounts,ipca,48,0.6440219861441872
cosine,usoskin,normcounts,ipca,32,0.6445184268084913
cosine,usoskin,normcounts,ipca,2,0.5361132158118433
cosine,usoskin,normcounts,ipca,4,0.5525389611561422
cosine,usoskin,normcounts,ipca,8,0.6238777584449674
