metric,dataset,count,method,dimensions,rho
cosine,xin,lognormcounts,zifa,48,0.25344432191299854
cosine,xin,lognormcounts,zifa,32,0.2607098055689955
cosine,xin,lognormcounts,zifa,2,0.3837084474521884
cosine,xin,lognormcounts,zifa,4,0.35033359897909844
cosine,xin,lognormcounts,zifa,8,0.3220769040217229
cosine,xin,lognormcounts,zifa,16,0.28553218703629396
cosine,xin,lognormcounts,vasc,96,nan
cosine,xin,lognormcounts,vasc,48,nan
cosine,xin,lognormcounts,vasc,32,nan
cosine,xin,lognormcounts,vasc,2,nan
cosine,xin,lognormcounts,vasc,4,nan
cosine,xin,lognormcounts,vasc,8,nan
cosine,xin,lognormcounts,vasc,16,nan
cosine,xin,lognormcounts,lle,96,0.05135419283368303
cosine,xin,lognormcounts,lle,48,0.04606804772262658
cosine,xin,lognormcounts,lle,32,0.05389461281316572
cosine,xin,lognormcounts,lle,2,0.4100919556891701
cosine,xin,lognormcounts,lle,4,0.07407095538222686
cosine,xin,lognormcounts,lle,8,0.04382136917837579
cosine,xin,lognormcounts,lle,16,0.046337801606450665
cosine,xin,lognormcounts,kpca-cos,96,0.2942625487027428
cosine,xin,lognormcounts,kpca-cos,48,0.2913796293665499
cosine,xin,lognormcounts,kpca-cos,32,0.28874912853869805
cosine,xin,lognormcounts,kpca-cos,2,0.2543759585207261
cosine,xin,lognormcounts,kpca-cos,4,0.28142011638505215
cosine,xin,lognormcounts,kpca-cos,8,0.28206973196041846
cosine,xin,lognormcounts,kpca-cos,16,0.2870336559887779
cosine,xin,lognormcounts,grp,96,0.5952426371736088
cosine,xin,lognormcounts,grp,48,0.5126556344697909
cosine,xin,lognormcounts,grp,32,0.4824437363422438
cosine,xin,lognormcounts,grp,2,0.026337459449604406
cosine,xin,lognormcounts,grp,4,0.03761314570977011
cosine,xin,lognormcounts,grp,8,0.15914653355467062
cosine,xin,lognormcounts,grp,16,0.2435914365889951
cosine,xin,lognormcounts,pmf,96,0.4425536222079758
cosine,xin,lognormcounts,pmf,48,0.38440770902008015
cosine,xin,lognormcounts,pmf,32,0.34019923552411224
cosine,xin,lognormcounts,pmf,2,0.1342753617332334
cosine,xin,lognormcounts,pmf,4,0.19262202894569716
cosine,xin,lognormcounts,pmf,8,0.20967707329203514
cosine,xin,lognormcounts,pmf,16,0.22944206840883655
cosine,xin,lognormcounts,ipca,96,0.24478295686870064
cosine,xin,lognormcounts,ipca,48,0.24242295860229468
cosine,xin,lognormcounts,ipca,32,0.24074049609195383
cosine,xin,lognormcounts,ipca,2,0.2147787384963817
cosine,xin,lognormcounts,ipca,4,0.24052207367435363
cosine,xin,lognormcounts,ipca,8,0.23824857570463348
cosine,xin,lognormcounts,ipca,16,0.2412639022041278
cosine,xin,lognormcounts,lda,96,0.3453696347101958
cosine,xin,lognormcounts,lda,48,0.32564963377239214
cosine,xin,lognormcounts,lda,32,0.36392350778683247
cosine,xin,lognormcounts,lda,2,0.24520694284936542
cosine,xin,lognormcounts,lda,4,0.2503381643001422
cosine,xin,lognormcounts,lda,8,0.39740535012505507
cosine,xin,lognormcounts,lda,16,0.34916148214746795
cosine,xin,lognormcounts,kpca-sig,96,0.27396656954404364
cosine,xin,lognormcounts,kpca-sig,48,0.27836853593590255
cosine,xin,lognormcounts,kpca-sig,32,0.2807600522780715
cosine,xin,lognormcounts,kpca-sig,2,0.26317078233108265
cosine,xin,lognormcounts,kpca-sig,4,0.28674136915906967
cosine,xin,lognormcounts,kpca-sig,8,0.28305117172392963
cosine,xin,lognormcounts,kpca-sig,16,0.2846767630889502
cosine,xin,lognormcounts,umap,96,-0.37400965415119186
cosine,xin,lognormcounts,umap,48,-0.38944518532917805
cosine,xin,lognormcounts,umap,32,-0.2851748893952334
cosine,xin,lognormcounts,umap,2,-0.12000587434188677
cosine,xin,lognormcounts,umap,4,-0.27722776740972005
cosine,xin,lognormcounts,umap,8,-0.4059210801643994
cosine,xin,lognormcounts,umap,16,-0.32950662625077404
cosine,xin,lognormcounts,phate,96,0.18564917639105238
cosine,xin,lognormcounts,phate,48,0.18571134480703905
cosine,xin,lognormcounts,phate,32,0.1905014908921274
cosine,xin,lognormcounts,phate,2,0.18416759145990896
cosine,xin,lognormcounts,phate,4,0.1898104745165637
cosine,xin,lognormcounts,phate,8,0.18450002387882683
cosine,xin,lognormcounts,phate,16,0.1941569986719882
cosine,xin,lognormcounts,fica,96,0.11451417300397315
cosine,xin,lognormcounts,fica,48,0.1283145811152594
cosine,xin,lognormcounts,fica,32,0.14157905922409134
cosine,xin,lognormcounts,fica,2,0.2237733732295624
cosine,xin,lognormcounts,fica,4,0.2582610200287006
cosine,xin,lognormcounts,fica,8,0.21350254628598594
cosine,xin,lognormcounts,fica,16,0.18212884418876554
cosine,xin,lognormcounts,isomap,96,0.005057070705286939
cosine,xin,lognormcounts,isomap,48,0.005465525985162395
cosine,xin,lognormcounts,isomap,32,0.009124200939122242
cosine,xin,lognormcounts,isomap,2,-0.07752442953908638
cosine,xin,lognormcounts,isomap,4,-0.0016342216232913933
cosine,xin,lognormcounts,isomap,8,0.00514093306929306
cosine,xin,lognormcounts,isomap,16,0.011379541720869328
cosine,xin,lognormcounts,tsvd,96,0.7564198944804761
cosine,xin,lognormcounts,tsvd,48,0.663596585756789
cosine,xin,lognormcounts,tsvd,32,0.6058285677879258
cosine,xin,lognormcounts,tsvd,2,0.2727263937293546
cosine,xin,lognormcounts,tsvd,4,0.40631963769158586
cosine,xin,lognormcounts,tsvd,8,0.4652132949411249
cosine,xin,lognormcounts,tsvd,16,0.5316633305678127
cosine,xin,lognormcounts,vpac,96,0.21525454122125165
cosine,xin,lognormcounts,vpac,48,0.22019715906139392
cosine,xin,lognormcounts,vpac,32,0.21981479170756246
cosine,xin,lognormcounts,vpac,2,0.33207820571188856
cosine,xin,lognormcounts,vpac,4,0.2659031441404741
cosine,xin,lognormcounts,vpac,8,0.20806270560786333
cosine,xin,lognormcounts,vpac,16,0.1880697294485525
cosine,xin,lognormcounts,kpca-rbf,96,0.2530020899249925
cosine,xin,lognormcounts,kpca-rbf,48,0.25166679920864615
cosine,xin,lognormcounts,kpca-rbf,32,0.2501474598840269
cosine,xin,lognormcounts,kpca-rbf,2,0.22561044378432776
cosine,xin,lognormcounts,kpca-rbf,4,0.25366806103018164
cosine,xin,lognormcounts,kpca-rbf,8,0.25003293108204194
cosine,xin,lognormcounts,kpca-rbf,16,0.25135154469876153
cosine,xin,lognormcounts,mctsne,96,-0.2662161009972521
cosine,xin,lognormcounts,mctsne,48,0.4195588159835527
cosine,xin,lognormcounts,mctsne,32,nan
cosine,xin,lognormcounts,mctsne,2,0.060741311663652334
cosine,xin,lognormcounts,mctsne,4,0.08310487709225214
cosine,xin,lognormcounts,mctsne,8,0.10659234390841334
cosine,xin,lognormcounts,nmf,96,0.3518090716989088
