metric,dataset,count,method,dimensions,rho
cosine,yan,lognormcounts,zifa,48,0.04405875089232077
cosine,yan,lognormcounts,zifa,32,0.029703432070667734
cosine,yan,lognormcounts,zifa,2,0.692201748337769
cosine,yan,lognormcounts,zifa,4,0.5835953644729246
cosine,yan,lognormcounts,zifa,8,0.3583024812495214
cosine,yan,lognormcounts,zifa,16,0.1896606533886569
cosine,yan,lognormcounts,vasc,96,nan
cosine,yan,lognormcounts,vasc,48,nan
cosine,yan,lognormcounts,vasc,32,nan
cosine,yan,lognormcounts,vasc,2,0.5752528456433273
cosine,yan,lognormcounts,vasc,4,0.5782609726861888
cosine,yan,lognormcounts,vasc,8,0.7183418737952108
cosine,yan,lognormcounts,vasc,16,0.5864633415391548
cosine,yan,lognormcounts,lle,48,-0.1879802015259709
cosine,yan,lognormcounts,lle,32,-0.07597531801850778
cosine,yan,lognormcounts,lle,2,0.5704572456192063
cosine,yan,lognormcounts,lle,4,0.39149497667340505
cosine,yan,lognormcounts,lle,8,0.15054997153397323
cosine,yan,lognormcounts,lle,16,-0.021000779468609437
cosine,yan,lognormcounts,kpca-cos,96,0.8109328083215568
cosine,yan,lognormcounts,kpca-cos,48,0.7942645098753632
cosine,yan,lognormcounts,kpca-cos,32,0.7925072653603453
cosine,yan,lognormcounts,kpca-cos,2,0.8189332734352284
cosine,yan,lognormcounts,kpca-cos,4,0.8153853362405702
cosine,yan,lognormcounts,kpca-cos,8,0.8152155926892698
cosine,yan,lognormcounts,kpca-cos,16,0.8051057310101329
cosine,yan,lognormcounts,grp,96,0.9682675638949094
cosine,yan,lognormcounts,grp,48,0.8628288418917084
cosine,yan,lognormcounts,grp,32,0.8713489841864697
cosine,yan,lognormcounts,grp,2,0.23608429543459583
cosine,yan,lognormcounts,grp,4,0.27154740226312646
cosine,yan,lognormcounts,grp,8,0.5653190867016197
cosine,yan,lognormcounts,grp,16,0.5805768676771162
cosine,yan,lognormcounts,pmf,96,0.9232532688393842
cosine,yan,lognormcounts,pmf,48,0.902129260359331
cosine,yan,lognormcounts,pmf,32,0.9383087227898663
cosine,yan,lognormcounts,pmf,2,0.7363160862092241
cosine,yan,lognormcounts,pmf,4,0.7502527224029242
cosine,yan,lognormcounts,pmf,8,0.8266015399556661
cosine,yan,lognormcounts,pmf,16,0.8965718984297858
cosine,yan,lognormcounts,ipca,48,0.7953126189294409
cosine,yan,lognormcounts,ipca,32,0.793842244823077
cosine,yan,lognormcounts,ipca,2,0.8187675004758369
cosine,yan,lognormcounts,ipca,4,0.8258856369667682
cosine,yan,lognormcounts,ipca,8,0.8154346514553397
cosine,yan,lognormcounts,ipca,16,0.8065435737596036
cosine,yan,lognormcounts,lda,96,0.8605779205116154
cosine,yan,lognormcounts,lda,48,0.8796405389296952
cosine,yan,lognormcounts,lda,32,0.85241049122362
cosine,yan,lognormcounts,lda,2,0.787215726115803
cosine,yan,lognormcounts,lda,4,0.8584166281081582
cosine,yan,lognormcounts,lda,8,0.8701400222624005
cosine,yan,lognormcounts,lda,16,0.883901178878937
cosine,yan,lognormcounts,kpca-sig,96,nan
cosine,yan,lognormcounts,kpca-sig,48,0.8325053334140826
cosine,yan,lognormcounts,kpca-sig,32,0.8304591958347282
cosine,yan,lognormcounts,kpca-sig,2,0.8290066974242959
cosine,yan,lognormcounts,kpca-sig,4,0.8294688182081812
cosine,yan,lognormcounts,kpca-sig,8,0.8285363905635746
cosine,yan,lognormcounts,kpca-sig,16,0.8294920813637122
cosine,yan,lognormcounts,umap,96,0.5534430052063714
cosine,yan,lognormcounts,umap,48,0.7969401960471536
cosine,yan,lognormcounts,umap,32,0.5360256386065986
cosine,yan,lognormcounts,umap,2,0.7831315639956611
cosine,yan,lognormcounts,umap,4,0.5911780335049927
cosine,yan,lognormcounts,umap,8,0.7808894068341976
cosine,yan,lognormcounts,umap,16,0.5847729722451348
cosine,yan,lognormcounts,phate,48,0.7391482793806275
cosine,yan,lognormcounts,phate,32,0.7391497218397318
cosine,yan,lognormcounts,phate,2,0.6894558425021158
cosine,yan,lognormcounts,phate,4,0.7387356712576748
cosine,yan,lognormcounts,phate,8,0.7390973281833622
cosine,yan,lognormcounts,phate,16,0.7391457224808323
cosine,yan,lognormcounts,fica,96,0.036528085294261874
cosine,yan,lognormcounts,fica,48,0.12035710740743082
cosine,yan,lognormcounts,fica,32,0.14353062406151312
cosine,yan,lognormcounts,fica,2,0.7172283831620669
cosine,yan,lognormcounts,fica,4,0.6219359074772585
cosine,yan,lognormcounts,fica,8,0.4266209843865832
cosine,yan,lognormcounts,fica,16,0.29847965127966475
cosine,yan,lognormcounts,isomap,96,nan
cosine,yan,lognormcounts,isomap,48,0.5287913141082825
cosine,yan,lognormcounts,isomap,32,0.5315199236973879
cosine,yan,lognormcounts,isomap,2,0.6802249218523684
cosine,yan,lognormcounts,isomap,4,0.7158323356744827
cosine,yan,lognormcounts,isomap,8,0.613023071849439
cosine,yan,lognormcounts,isomap,16,0.5595109175222152
cosine,yan,lognormcounts,tsvd,96,1.0
cosine,yan,lognormcounts,tsvd,48,0.9948667826906649
cosine,yan,lognormcounts,tsvd,32,0.9907213558467014
cosine,yan,lognormcounts,tsvd,2,0.8444716039082916
cosine,yan,lognormcounts,tsvd,4,0.916555547160202
cosine,yan,lognormcounts,tsvd,8,0.9650768942314771
cosine,yan,lognormcounts,tsvd,16,0.9829176950562288
cosine,yan,lognormcounts,vpac,48,0.8049786606743308
cosine,yan,lognormcounts,vpac,32,0.8149116371165321
cosine,yan,lognormcounts,vpac,2,0.7288686055950889
cosine,yan,lognormcounts,vpac,4,0.7928606891359393
cosine,yan,lognormcounts,vpac,8,0.8076581750974657
cosine,yan,lognormcounts,vpac,16,0.81836902516445
cosine,yan,lognormcounts,kpca-rbf,96,nan
cosine,yan,lognormcounts,kpca-rbf,48,0.7016484815668064
cosine,yan,lognormcounts,kpca-rbf,32,0.6922447258482531
cosine,yan,lognormcounts,kpca-rbf,2,0.7913156914009568
cosine,yan,lognormcounts,kpca-rbf,4,0.7791140512569605
cosine,yan,lognormcounts,kpca-rbf,8,0.7660800251616274
