metric,dataset,count,method,dimensions,rho
cosine,yan,normcounts,zifa,48,0.15102734348977348
cosine,yan,normcounts,zifa,32,0.14038177730616602
cosine,yan,normcounts,zifa,2,0.5893953729801082
cosine,yan,normcounts,zifa,4,0.5303008096407884
cosine,yan,normcounts,zifa,8,0.4506891415618213
cosine,yan,normcounts,zifa,16,0.22595647437373614
cosine,yan,normcounts,vasc,96,nan
cosine,yan,normcounts,vasc,48,nan
cosine,yan,normcounts,vasc,32,0.5139505216838655
cosine,yan,normcounts,vasc,2,0.4487323391248403
cosine,yan,normcounts,vasc,4,0.6890081429468977
cosine,yan,normcounts,vasc,8,0.6929196892998383
cosine,yan,normcounts,vasc,16,0.5811581743997728
cosine,yan,normcounts,lle,48,0.07492021761039751
cosine,yan,normcounts,lle,32,0.11749756254535836
cosine,yan,normcounts,lle,2,nan
cosine,yan,normcounts,lle,4,nan
cosine,yan,normcounts,lle,8,0.3088808384337974
cosine,yan,normcounts,lle,16,0.197138026481781
cosine,yan,normcounts,kpca-cos,96,0.8924210234166648
cosine,yan,normcounts,kpca-cos,48,0.8919207062335068
cosine,yan,normcounts,kpca-cos,32,0.8918134113358132
cosine,yan,normcounts,kpca-cos,2,0.8273368494553571
cosine,yan,normcounts,kpca-cos,4,0.8820051308318907
cosine,yan,normcounts,kpca-cos,8,0.8855029535003955
cosine,yan,normcounts,kpca-cos,16,0.8909512762065396
cosine,yan,normcounts,grp,96,0.9813339724686188
cosine,yan,normcounts,grp,48,0.9598150724091029
cosine,yan,normcounts,grp,32,0.9568840625699159
cosine,yan,normcounts,grp,2,0.5774930012573548
cosine,yan,normcounts,grp,4,0.8448279908707245
cosine,yan,normcounts,grp,8,0.7837417949934569
cosine,yan,normcounts,grp,16,0.8730620921054373
cosine,yan,normcounts,pmf,96,0.8470731831365039
cosine,yan,normcounts,pmf,48,0.8658633084769162
cosine,yan,normcounts,pmf,32,0.8497298666561627
cosine,yan,normcounts,pmf,2,0.5403589992667052
cosine,yan,normcounts,pmf,4,0.8653722408152562
cosine,yan,normcounts,pmf,8,0.8545595315042269
cosine,yan,normcounts,pmf,16,0.8450537439396847
cosine,yan,normcounts,ipca,48,0.8369023359975135
cosine,yan,normcounts,ipca,32,0.8364630307996158
cosine,yan,normcounts,ipca,2,0.6378817251940152
cosine,yan,normcounts,ipca,4,0.8221858083801123
cosine,yan,normcounts,ipca,8,0.8291454944183716
cosine,yan,normcounts,ipca,16,0.8350997629243183
cosine,yan,normcounts,lda,96,0.7605559470139005
cosine,yan,normcounts,lda,48,0.7828813203173013
cosine,yan,normcounts,lda,32,0.7679728976317801
cosine,yan,normcounts,lda,2,0.7856219585546569
cosine,yan,normcounts,lda,4,0.8125271184693288
cosine,yan,normcounts,lda,8,0.7937237399521502
cosine,yan,normcounts,lda,16,0.7307251801005553
cosine,yan,normcounts,kpca-sig,96,nan
cosine,yan,normcounts,kpca-sig,48,nan
cosine,yan,normcounts,kpca-sig,32,nan
cosine,yan,normcounts,kpca-sig,2,nan
cosine,yan,normcounts,kpca-sig,4,nan
cosine,yan,normcounts,kpca-sig,8,nan
cosine,yan,normcounts,kpca-sig,16,nan
cosine,yan,normcounts,umap,48,0.8510083268277437
cosine,yan,normcounts,umap,32,0.8195949553166538
cosine,yan,normcounts,umap,2,0.8474649932855882
cosine,yan,normcounts,umap,4,0.7558504685174231
cosine,yan,normcounts,umap,8,0.8364590938314623
cosine,yan,normcounts,umap,16,0.8161392366881886
cosine,yan,normcounts,phate,48,0.5978027776251789
cosine,yan,normcounts,phate,32,0.5978027776251789
cosine,yan,normcounts,phate,2,0.5481324603209193
cosine,yan,normcounts,phate,4,0.596459701188563
cosine,yan,normcounts,phate,8,0.5978027712740251
cosine,yan,normcounts,phate,16,0.5978027776251789
cosine,yan,normcounts,fica,96,0.6563382247995777
cosine,yan,normcounts,fica,48,0.11243375632185677
cosine,yan,normcounts,fica,32,0.19673064477150481
cosine,yan,normcounts,fica,2,0.6000149515500085
cosine,yan,normcounts,fica,4,0.6906368331977111
cosine,yan,normcounts,fica,8,0.5808366259442455
cosine,yan,normcounts,fica,16,0.34967621565814166
cosine,yan,normcounts,isomap,96,nan
cosine,yan,normcounts,isomap,48,0.35692251619091697
cosine,yan,normcounts,isomap,32,0.35703993053137884
cosine,yan,normcounts,isomap,2,0.4229707104905544
cosine,yan,normcounts,isomap,4,0.3625073804843476
cosine,yan,normcounts,isomap,8,0.33707140856809614
cosine,yan,normcounts,isomap,16,0.3575949591684417
cosine,yan,normcounts,tsvd,96,1.0
cosine,yan,normcounts,tsvd,48,0.9999673524543522
cosine,yan,normcounts,tsvd,32,0.9999081447571634
cosine,yan,normcounts,tsvd,2,0.8541084084903189
cosine,yan,normcounts,tsvd,4,0.9748230494302398
cosine,yan,normcounts,tsvd,8,0.9925087431243927
cosine,yan,normcounts,tsvd,16,0.9993991016490975
cosine,yan,normcounts,vpac,48,0.7957384878879044
cosine,yan,normcounts,vpac,32,0.8014824556820551
cosine,yan,normcounts,vpac,2,0.6685448545220685
cosine,yan,normcounts,vpac,4,0.7650483286097282
cosine,yan,normcounts,vpac,8,0.7949031097959391
cosine,yan,normcounts,vpac,16,0.8012530469636946
cosine,yan,normcounts,kpca-rbf,96,-0.0024112414070739147
cosine,yan,normcounts,kpca-rbf,48,0.015441086481716547
cosine,yan,normcounts,kpca-rbf,32,0.017255268156444483
cosine,yan,normcounts,kpca-rbf,2,-0.012445553963613954
cosine,yan,normcounts,kpca-rbf,4,-0.011110539382737827
cosine,yan,normcounts,kpca-rbf,8,-0.015659671713231824
cosine,yan,normcounts,kpca-rbf,16,0.02348871134064131
cosine,yan,normcounts,mctsne,96,nan
cosine,yan,normcounts,mctsne,48,nan
cosine,yan,normcounts,mctsne,32,0.645081127362451
cosine,yan,normcounts,mctsne,2,0.660026158609183
cosine,yan,normcounts,mctsne,4,0.7640920955331363
cosine,yan,normcounts,mctsne,8,0.7822376618895325
cosine,yan,normcounts,mctsne,16,0.7807130872235463
cosine,yan,normcounts,nmf,48,0.7094856062129871
cosine,yan,normcounts,nmf,32,0.7561834877170862
cosine,yan,normcounts,nmf,2,0.8061613421050317
cosine,yan,normcounts,nmf,4,0.9096913519413458
cosine,yan,normcounts,nmf,8,0.8997584621654685
cosine,yan,normcounts,nmf,16,0.8629209715417484
cosine,yan,normcounts,srp,96,0.9175200352423283
cosine,yan,normcounts,srp,48,0.9331646763897266
cosine,yan,normcounts,srp,32,0.7802793962587979
cosine,yan,normcounts,srp,2,0.12230860308182527
cosine,yan,normcounts,srp,4,0.7092835438816468
cosine,yan,normcounts,srp,8,0.8122833998542909
cosine,yan,normcounts,srp,16,0.7641594033797864
cosine,yan,normcounts,snmf,96,0.9130535063915892
cosine,yan,normcounts,snmf,48,0.8689930801022591
cosine,yan,normcounts,snmf,32,0.7830096519175261
cosine,yan,normcounts,snmf,2,0.8075892261988785
cosine,yan,normcounts,snmf,4,0.9070151937800689
cosine,yan,normcounts,snmf,8,0.8943270268754563
cosine,yan,normcounts,snmf,16,0.8478111649775503
cosine,yan,normcounts,psmf,96,0.64564936448179
cosine,yan,normcounts,psmf,48,0.6690088955959813
cosine,yan,normcounts,psmf,32,0.722918947466396
cosine,yan,normcounts,psmf,2,0.745929797809282
cosine,yan,normcounts,psmf,4,0.7939589315828328
cosine,yan,normcounts,psmf,8,0.813286698903218
cosine,yan,normcounts,psmf,16,0.7900352111888741
cosine,yan,normcounts,kpca-pol,96,nan
cosine,yan,normcounts,kpca-pol,48,0.5196397709257633
cosine,yan,normcounts,kpca-pol,32,0.5202950896982882
cosine,yan,normcounts,kpca-pol,2,0.24960479207703878
cosine,yan,normcounts,kpca-pol,4,0.5014058887871764
cosine,yan,normcounts,kpca-pol,8,0.5357054556491356
cosine,yan,normcounts,kpca-pol,16,0.5214207282206407
cosine,yan,normcounts,spectral,48,0.10436049017998754
cosine,yan,normcounts,spectral,32,0.10651588875572153
cosine,yan,normcounts,spectral,2,0.6865537816922104
cosine,yan,normcounts,spectral,4,0.5041723878180674
cosine,yan,normcounts,spectral,8,0.34695505509852764
cosine,yan,normcounts,spectral,16,0.11926016864415341
cosine,yan,normcounts,nmf2,96,0.9537189359394255
cosine,yan,normcounts,nmf2,48,0.9438907333604616
cosine,yan,normcounts,nmf2,32,0.953852611661965
cosine,yan,normcounts,nmf2,2,0.7557906699761334
cosine,yan,normcounts,nmf2,4,0.9385793674949829
cosine,yan,normcounts,nmf2,8,0.9462762607203251
cosine,yan,normcounts,nmf2,16,0.9396452429677873
cosine,yan,normcounts,icm,96,0.22585190812584482
cosine,yan,normcounts,icm,48,0.1821547644291996
cosine,yan,normcounts,icm,32,0.15628550975419622
cosine,yan,normcounts,icm,2,0.7913697353380278
cosine,yan,normcounts,icm,4,0.6828440110218942
cosine,yan,normcounts,icm,8,0.16006911980345262
cosine,yan,normcounts,icm,16,0.16200270530044833
cosine,yan,normcounts,pca,48,0.8369106545145857
cosine,yan,normcounts,pca,32,0.8364623964314316
cosine,yan,normcounts,pca,2,0.6378817251940152
cosine,yan,normcounts,pca,4,0.8221858083801123
cosine,yan,normcounts,pca,8,0.8291454944183716
cosine,yan,normcounts,pca,16,0.835099384470272
cosine,yan,normcounts,saucie,96,-0.02830591036821018
cosine,yan,normcounts,saucie,48,0.007091500685940487
cosine,yan,normcounts,saucie,32,-0.02985369196333649
cosine,yan,normcounts,saucie,2,0.0703175351427692
cosine,yan,normcounts,saucie,4,0.006602517510313121
cosine,yan,normcounts,saucie,8,-0.019823257253067595
cosine,yan,normcounts,saucie,16,-0.01691677874538415
cosine,yan,normcounts,spca,96,0.8418672658509533
cosine,yan,normcounts,spca,48,0.8379428690591162
cosine,yan,normcounts,spca,32,0.8386067275183041
cosine,yan,normcounts,spca,2,0.6411744349225768
cosine,yan,normcounts,spca,4,0.8364129984648645
cosine,yan,normcounts,spca,8,0.8344577950242488
cosine,yan,normcounts,spca,16,0.8383327282831958
