metric,dataset,count,method,dimensions,rho
cosine,zeisel,counts,zifa,32,0.4249801650414937
cosine,zeisel,counts,zifa,2,0.40430912213382897
cosine,zeisel,counts,zifa,4,0.440184419359108
cosine,zeisel,counts,zifa,8,0.4275229930691437
cosine,zeisel,counts,zifa,16,0.42255188346937567
cosine,zeisel,counts,vasc,96,0.3575678520717342
cosine,zeisel,counts,vasc,48,nan
cosine,zeisel,counts,vasc,32,0.3207683415847211
cosine,zeisel,counts,vasc,2,0.398911946642864
cosine,zeisel,counts,vasc,4,0.33758461323739536
cosine,zeisel,counts,vasc,8,0.3292518811018984
cosine,zeisel,counts,vasc,16,0.38449671935519936
cosine,zeisel,counts,lle,96,0.019866044751582015
cosine,zeisel,counts,lle,48,0.0849735448640173
cosine,zeisel,counts,lle,32,0.09988008830263613
cosine,zeisel,counts,lle,2,0.03202660525758958
cosine,zeisel,counts,lle,4,0.24584668341692478
cosine,zeisel,counts,lle,8,0.3683071956433114
cosine,zeisel,counts,lle,16,0.2553862172707265
cosine,zeisel,counts,kpca-cos,96,0.6988651488781754
cosine,zeisel,counts,kpca-cos,48,0.697852830943278
cosine,zeisel,counts,kpca-cos,32,0.6970271747882165
cosine,zeisel,counts,kpca-cos,2,0.6135705869366676
cosine,zeisel,counts,kpca-cos,4,0.6783099259600707
cosine,zeisel,counts,kpca-cos,8,0.6915829390294037
cosine,zeisel,counts,kpca-cos,16,0.6946412151133079
cosine,zeisel,counts,grp,96,0.9815663165643859
cosine,zeisel,counts,grp,48,0.9552754615188405
cosine,zeisel,counts,grp,32,0.946726291093122
cosine,zeisel,counts,grp,2,0.35047506160260355
cosine,zeisel,counts,grp,4,0.450383240755726
cosine,zeisel,counts,grp,8,0.8150325476919191
cosine,zeisel,counts,grp,16,0.8878218876407056
cosine,zeisel,counts,pmf,96,0.6024170168954388
cosine,zeisel,counts,pmf,48,0.6112378662360715
cosine,zeisel,counts,pmf,32,0.5984957715664784
cosine,zeisel,counts,pmf,2,0.43253410761962874
cosine,zeisel,counts,pmf,4,0.515268714787852
cosine,zeisel,counts,pmf,8,0.583339501284145
cosine,zeisel,counts,pmf,16,0.5922624937385461
cosine,zeisel,counts,ipca,96,0.445968030695371
cosine,zeisel,counts,ipca,48,0.44485128066118695
cosine,zeisel,counts,ipca,32,0.4438039261110596
cosine,zeisel,counts,ipca,2,0.34533983862348716
cosine,zeisel,counts,ipca,4,0.35511433192748626
cosine,zeisel,counts,ipca,8,0.4244187937512612
cosine,zeisel,counts,ipca,16,0.4406495243018711
cosine,zeisel,counts,lda,96,0.5841470922474288
cosine,zeisel,counts,lda,48,0.6091083114909258
cosine,zeisel,counts,lda,32,0.5973416878404901
cosine,zeisel,counts,lda,2,0.41481080853781277
cosine,zeisel,counts,lda,4,0.4733057724159597
cosine,zeisel,counts,lda,8,0.5688137047069672
cosine,zeisel,counts,lda,16,0.5884540429527055
cosine,zeisel,counts,kpca-sig,96,nan
cosine,zeisel,counts,kpca-sig,48,nan
cosine,zeisel,counts,kpca-sig,32,nan
cosine,zeisel,counts,kpca-sig,2,nan
cosine,zeisel,counts,kpca-sig,4,nan
cosine,zeisel,counts,kpca-sig,8,nan
cosine,zeisel,counts,kpca-sig,16,nan
cosine,zeisel,counts,umap,96,0.431278282719306
cosine,zeisel,counts,umap,48,0.43432630024380064
cosine,zeisel,counts,umap,32,0.44150110568110584
cosine,zeisel,counts,umap,2,0.4201607250902266
cosine,zeisel,counts,umap,4,0.41329258016178794
cosine,zeisel,counts,umap,8,0.4309390795850957
cosine,zeisel,counts,umap,16,0.4465095142834475
cosine,zeisel,counts,phate,96,0.4882391561561141
cosine,zeisel,counts,phate,48,0.48608100616336547
cosine,zeisel,counts,phate,32,0.4869353129196978
cosine,zeisel,counts,phate,2,0.46947845902815877
cosine,zeisel,counts,phate,4,0.4868855978246129
cosine,zeisel,counts,phate,8,0.48492975304058056
cosine,zeisel,counts,phate,16,0.4873768012150201
cosine,zeisel,counts,fica,96,0.14298983011840655
cosine,zeisel,counts,fica,48,0.19773121092693915
cosine,zeisel,counts,fica,32,0.25383029154702325
cosine,zeisel,counts,fica,2,0.3924818488206229
cosine,zeisel,counts,fica,4,0.4134356390717945
cosine,zeisel,counts,fica,8,0.48172202154235005
cosine,zeisel,counts,fica,16,0.35283870663802575
cosine,zeisel,counts,isomap,96,0.43867868418937556
cosine,zeisel,counts,isomap,48,0.4389376909608794
cosine,zeisel,counts,isomap,32,0.4402358620799797
cosine,zeisel,counts,isomap,2,0.383344762441922
cosine,zeisel,counts,isomap,4,0.41237765406438176
cosine,zeisel,counts,isomap,8,0.42861302753725317
cosine,zeisel,counts,isomap,16,0.439562351792911
cosine,zeisel,counts,tsvd,96,0.9922557308277095
cosine,zeisel,counts,tsvd,48,0.9868355891291055
cosine,zeisel,counts,tsvd,32,0.9811413997530946
cosine,zeisel,counts,tsvd,2,0.4840252997648953
cosine,zeisel,counts,tsvd,4,0.7068291702622798
