dataset,count,method,dimensions,rho.cosine
baron-human,counts,zifa,2,0.2770623094378489
baron-human,counts,zifa,4,0.4344210194788681
baron-human,counts,zifa,8,0.44431880956786624
baron-human,counts,zifa,16,0.45578288415402934
baron-human,counts,vasc,96,nan
baron-human,counts,vasc,48,0.40835338149742584
baron-human,counts,vasc,32,nan
baron-human,counts,vasc,2,0.2908893471654153
baron-human,counts,vasc,4,0.29306921129218577
baron-human,counts,vasc,8,0.3456828008302606
baron-human,counts,vasc,16,0.35624112093519283
baron-human,counts,lle,96,0.08374528026677738
baron-human,counts,lle,48,0.15635304711491385
baron-human,counts,lle,32,-0.03070577175344715
baron-human,counts,lle,2,0.49046827072202387
baron-human,counts,lle,4,0.6886734359148384
baron-human,counts,lle,8,0.4765968428900125
baron-human,counts,lle,16,0.1844302342909784
baron-human,counts,kpca-cos,96,0.6572592529094071
baron-human,counts,kpca-cos,48,0.6505307944142088
baron-human,counts,kpca-cos,32,0.6460217744129214
baron-human,counts,kpca-cos,2,0.5668288216508933
baron-human,counts,kpca-cos,4,0.6122564623630213
baron-human,counts,kpca-cos,8,0.6154716245303391
baron-human,counts,kpca-cos,16,0.6358692335729204
baron-human,counts,grp,96,0.6583822560609185
baron-human,counts,grp,48,0.6194134286542633
baron-human,counts,grp,32,0.786582726175737
baron-human,counts,grp,2,0.41107739280804834
baron-human,counts,grp,4,0.5933041441165573
baron-human,counts,grp,8,0.5337306704115217
baron-human,counts,grp,16,0.5919488127051796
baron-human,counts,pmf,96,0.7130139483818086
baron-human,counts,pmf,48,0.6968075806023485
baron-human,counts,pmf,32,0.6861448963993685
baron-human,counts,pmf,2,0.5255146359532054
baron-human,counts,pmf,4,0.7986906776574071
baron-human,counts,pmf,8,0.7417478612715939
baron-human,counts,pmf,16,0.8008448928534125
baron-human,counts,ipca,96,0.7126294291994092
baron-human,counts,ipca,48,0.7111038179365031
baron-human,counts,ipca,32,0.7098422813522759
baron-human,counts,ipca,2,0.5713206729468573
baron-human,counts,ipca,4,0.6822467366062678
baron-human,counts,ipca,8,0.6971382389847202
baron-human,counts,ipca,16,0.7061199724505495
baron-human,counts,lda,96,0.573526142563907
baron-human,counts,lda,48,0.6301713975446954
baron-human,counts,lda,32,0.6572142736342852
baron-human,counts,lda,2,0.13816357775060595
baron-human,counts,lda,4,0.6354622998468816
baron-human,counts,lda,8,0.6275172911629201
baron-human,counts,lda,16,0.6519094066441847
baron-human,counts,tga,2,0.574418159462034
baron-human,counts,tga,4,0.6719370776581463
baron-human,counts,tga,8,0.6807610794226552
baron-human,counts,kpca-sig,96,nan
baron-human,counts,kpca-sig,48,nan
baron-human,counts,kpca-sig,32,nan
baron-human,counts,kpca-sig,2,nan
baron-human,counts,kpca-sig,4,nan
baron-human,counts,kpca-sig,8,nan
baron-human,counts,kpca-sig,16,nan
baron-human,counts,umap,96,0.5551310899710777
baron-human,counts,umap,48,0.5451395587254523
baron-human,counts,umap,32,0.5579636488011495
baron-human,counts,umap,2,0.5698826880955175
baron-human,counts,umap,4,0.5612827555230869
baron-human,counts,umap,8,0.5947449485732746
baron-human,counts,umap,16,0.553551390483044
baron-human,counts,phate,96,0.6464441358198231
baron-human,counts,phate,48,0.6574074745287822
baron-human,counts,phate,32,0.6412568460914417
baron-human,counts,phate,2,0.6485422608981911
baron-human,counts,phate,4,0.6264056714163138
baron-human,counts,phate,8,0.6635060717873476
baron-human,counts,phate,16,0.6535881702845034
baron-human,counts,fica,96,0.17288345294931615
baron-human,counts,fica,48,0.2583376008027959
baron-human,counts,fica,32,0.3236936267712981
baron-human,counts,fica,2,0.5701901322917986
baron-human,counts,fica,4,0.6309961265953847
baron-human,counts,fica,8,0.48336399850421896
baron-human,counts,fica,16,0.4219226765473132
baron-human,counts,isomap,96,0.625381491572049
baron-human,counts,isomap,48,0.6211751100856464
baron-human,counts,isomap,32,0.6182347192182566
baron-human,counts,isomap,2,0.5385039954829608
baron-human,counts,isomap,4,0.6047367384112534
baron-human,counts,isomap,8,0.6032634388335257
baron-human,counts,isomap,16,0.6120932756932366
baron-human,counts,tsvd,96,0.9988226956892527
baron-human,counts,tsvd,48,0.9979020058571773
baron-human,counts,tsvd,32,0.9968261539448302
baron-human,counts,tsvd,2,0.6804579215159114
baron-human,counts,tsvd,4,0.8957026034624851
baron-human,counts,tsvd,8,0.9762228828168047
baron-human,counts,tsvd,16,0.9914788399964812
baron-human,counts,vpac,96,0.3890184082192501
baron-human,counts,vpac,48,0.4055105584796747
baron-human,counts,vpac,32,0.4141952106540947
baron-human,counts,vpac,2,0.2430457123440811
baron-human,counts,vpac,4,0.1625544788467723
baron-human,counts,vpac,8,0.4078828083442188
baron-human,counts,vpac,16,0.4220421796231344
baron-human,counts,kpca-rbf,96,-0.0005393844387392558
baron-human,counts,kpca-rbf,48,-0.00031160896505998885
baron-human,counts,kpca-rbf,32,-0.000337430671213531
baron-human,counts,kpca-rbf,2,0.001307041734790105
baron-human,counts,kpca-rbf,4,-0.0012083261242882993
baron-human,counts,kpca-rbf,8,-0.00019910057575176908
baron-human,counts,kpca-rbf,16,6.0242997380584864e-05
baron-human,counts,mctsne,96,nan
baron-human,counts,mctsne,48,0.7384458272533805
baron-human,counts,mctsne,32,nan
baron-human,counts,mctsne,2,0.4671545968055484
baron-human,counts,mctsne,4,0.4109440265125531
baron-human,counts,mctsne,8,0.3749986162593162
baron-human,counts,nmf,96,0.9412688194565553
baron-human,counts,nmf,48,0.93651544267304
baron-human,counts,nmf,32,0.9379292542417917
baron-human,counts,nmf,2,0.6819582519486143
baron-human,counts,nmf,4,0.8933059147901884
baron-human,counts,nmf,8,0.9172588748337447
baron-human,counts,nmf,16,0.9529318413316543
baron-human,counts,srp,96,0.5806527717033171
baron-human,counts,srp,48,0.3158084572170622
baron-human,counts,srp,32,0.7556995012617471
baron-human,counts,srp,2,0.025355097908587712
