metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Bladder_FACS,counts,spca,4,0.9809062818226407
euclidean,TabulaMuris_Bladder_FACS,counts,spca,32,0.9986081424491248
euclidean,TabulaMuris_Bladder_FACS,counts,spca,2,0.9207452587987431
euclidean,TabulaMuris_Bladder_FACS,counts,spca,16,0.996644292915424
euclidean,TabulaMuris_Bladder_FACS,counts,spca,96,0.9998948093895965
euclidean,TabulaMuris_Bladder_FACS,counts,spca,8,0.9930283436137374
euclidean,TabulaMuris_Bladder_FACS,counts,spca,48,0.9995823589300878
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,4,0.9800703033752103
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,32,0.9985520667374087
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,2,0.907808580491619
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,16,0.9967870472189255
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,96,0.9999587975910209
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,8,0.9932977794782623
euclidean,TabulaMuris_Bladder_FACS,counts,tsvd,48,0.9994522489130389
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,4,0.8183267267610553
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,32,0.8115697352064548
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,2,0.9315722257664616
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,16,0.8886495225942262
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,96,0.8152460045138222
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,8,0.6874114511746701
euclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,48,0.835526333430531
euclidean,TabulaMuris_Bladder_FACS,counts,zifa,4,0.5217750305792292
euclidean,TabulaMuris_Bladder_FACS,counts,zifa,32,0.16222839261149127
euclidean,TabulaMuris_Bladder_FACS,counts,zifa,2,0.7141125095016271
euclidean,TabulaMuris_Bladder_FACS,counts,zifa,16,0.3416073874956981
euclidean,TabulaMuris_Bladder_FACS,counts,zifa,8,0.40852083493844726
euclidean,TabulaMuris_Bladder_FACS,counts,zifa,48,0.08734563085806457
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,4,0.6905620165049488
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,32,0.755103849231002
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,2,0.7159833785530418
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,16,0.7129258884344123
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,96,0.7926104169271055
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,8,0.723496206690393
euclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,48,0.7574043452000797
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,4,0.701038910175308
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,32,0.6828015106373531
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,2,0.7279142971958887
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,16,0.6931573529374209
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,96,0.6871531715092563
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,8,0.668069735784307
euclidean,TabulaMuris_Bladder_FACS,counts,vpac,48,0.6899933250505438
euclidean,TabulaMuris_Bladder_FACS,counts,umap,4,0.7977574587385953
euclidean,TabulaMuris_Bladder_FACS,counts,umap,32,0.7789989409586958
euclidean,TabulaMuris_Bladder_FACS,counts,umap,2,0.7061701032958752
euclidean,TabulaMuris_Bladder_FACS,counts,umap,16,0.7860805795590929
euclidean,TabulaMuris_Bladder_FACS,counts,umap,96,0.7890312725750999
euclidean,TabulaMuris_Bladder_FACS,counts,umap,8,0.7745186113528839
euclidean,TabulaMuris_Bladder_FACS,counts,umap,48,0.7814160431246103
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,4,0.7938963213217561
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,32,0.8738592531438074
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,2,0.9104823110955498
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,16,0.859726435713639
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,96,0.8843396271215989
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,8,0.8380328385337568
euclidean,TabulaMuris_Bladder_FACS,counts,nmf2,48,0.8734137743835914
euclidean,TabulaMuris_Bladder_FACS,counts,srp,4,-0.02277465664884407
euclidean,TabulaMuris_Bladder_FACS,counts,srp,32,0.8676124057551469
euclidean,TabulaMuris_Bladder_FACS,counts,srp,2,0.2533425781656989
euclidean,TabulaMuris_Bladder_FACS,counts,srp,16,0.1381106965112437
euclidean,TabulaMuris_Bladder_FACS,counts,srp,96,0.9787579604273319
euclidean,TabulaMuris_Bladder_FACS,counts,srp,8,0.5188426393271767
euclidean,TabulaMuris_Bladder_FACS,counts,srp,48,0.7534144434398938
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,4,0.5585389699788041
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,32,0.636275878170191
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,2,0.698931413968835
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,16,0.6469124576301648
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,96,0.5998782688822056
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,8,0.6605308224775012
euclidean,TabulaMuris_Bladder_FACS,counts,psmf,48,0.6257931748061349
euclidean,TabulaMuris_Bladder_FACS,counts,fica,4,0.9103134358775943
euclidean,TabulaMuris_Bladder_FACS,counts,fica,32,0.7605597500208487
euclidean,TabulaMuris_Bladder_FACS,counts,fica,2,0.8909112847617537
euclidean,TabulaMuris_Bladder_FACS,counts,fica,16,0.7753163092969229
euclidean,TabulaMuris_Bladder_FACS,counts,fica,96,0.6136602700523748
euclidean,TabulaMuris_Bladder_FACS,counts,fica,8,0.8694418093306249
euclidean,TabulaMuris_Bladder_FACS,counts,fica,48,0.7331331844201017
euclidean,TabulaMuris_Bladder_FACS,counts,lle,4,0.7123447476616244
euclidean,TabulaMuris_Bladder_FACS,counts,lle,32,0.02492588572094223
