metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,4,0.8618075002776052
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,32,0.8402469691766247
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,2,0.8548656258210692
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,16,0.8538439040727891
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,96,0.7714591012355891
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,8,0.8533798366312708
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca,48,0.8418765586579142
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,4,0.878132204509763
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,32,0.8871191324575315
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,2,0.8555018008119835
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,16,0.8815274754925317
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,96,0.9114596144310273
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,8,0.8778283853444758
euclidean,TabulaMuris_Bladder_FACS,logcounts,tsvd,48,0.8947828135354292
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,4,0.883103716262218
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,32,0.8228317757143775
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,2,0.8553994867812568
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,16,0.8231841459584921
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,96,0.77423916859316
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,8,0.8700331745933666
euclidean,TabulaMuris_Bladder_FACS,logcounts,spca-batch,48,0.8523189702001568
euclidean,TabulaMuris_Bladder_FACS,logcounts,zifa,4,0.6353798348109244
euclidean,TabulaMuris_Bladder_FACS,logcounts,zifa,2,0.7895249907234251
euclidean,TabulaMuris_Bladder_FACS,logcounts,zifa,16,0.4316293744556708
euclidean,TabulaMuris_Bladder_FACS,logcounts,zifa,8,0.4596366712030785
euclidean,TabulaMuris_Bladder_FACS,logcounts,zifa,48,0.42343052067545506
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,4,0.7621464305136799
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,32,0.6751577645880144
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,2,0.660853676313453
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,16,0.6945142327146653
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,96,0.6832004093447955
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,8,0.7257737301606396
euclidean,TabulaMuris_Bladder_FACS,logcounts,nsnmf,48,0.6584667312448262
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,4,0.7974727198537716
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,32,0.8555783905881006
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,2,0.6122301004067614
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,16,0.829908310125693
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,96,0.8659598641832649
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,8,0.8162331709980691
euclidean,TabulaMuris_Bladder_FACS,logcounts,vpac,48,0.8595588419403111
