metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,4,0.9811512476603214
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,32,0.9947060362387403
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,2,0.9272153822651149
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,16,0.9927829889414521
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,96,0.997558467871421
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,8,0.9875800246716119
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,48,0.9956139436226883
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,4,0.977309802256845
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,32,0.9946150986606624
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,2,0.9176926613056113
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,16,0.9917814757582379
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,96,0.9972501623613154
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,8,0.9872111980807939
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,48,0.995572790168406
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,4,0.8597078507008601
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,32,0.795834018636137
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,2,0.7139896865736922
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,16,0.8217700300586627
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,96,0.6730302396181927
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,8,0.9494067898927979
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,48,0.770209365585289
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,4,0.5233063679497707
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,32,0.5191927202725002
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,2,0.523200708706863
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,16,0.519417119811537
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,8,0.5196571027813609
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,4,0.3704458025378308
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,32,0.7954865733928919
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,2,0.5611484667325795
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,16,0.7666601948929991
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,96,0.8145515601516767
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,8,0.7129626257829483
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,48,0.8083112459482493
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,4,0.3018132440600408
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,32,0.42742682062950305
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,2,0.12781557156243964
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,16,0.4002150159846807
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,96,0.3980358729274282
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,8,0.36488735663811334
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,vpac,48,0.3942688215816135
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,4,0.9076919670396839
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,32,0.9067509815024931
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,2,0.9027669599071989
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,16,0.9064157745809873
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,96,0.9077673610351498
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,8,0.9065368344979645
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,umap,48,0.9080820793596728
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nmf2,4,0.7966649888072983
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nmf2,32,0.7583259838391773
euclidean,TabulaMuris_Brain_Microglia_FACS,counts,nmf2,2,0.9243913959271385
