metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,4,0.08401833138549893
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,32,0.1645535827595091
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,2,0.05855932183196006
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,16,0.1336432962637576
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,96,0.2675961372267272
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,8,0.12262367537624075
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca,48,0.18781411105207993
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,4,0.07038196657583909
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,32,0.15228657202466384
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,2,0.015285066075516714
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,16,0.11855714422580674
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,96,0.2608585212381439
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,8,0.09225069534783129
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,tsvd,48,0.18052197243272164
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,4,0.08050435885189205
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,32,0.06489075981881405
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,2,0.07728495534425149
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,16,0.08153153840464557
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,96,0.16731073592779613
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,8,0.04790185812346626
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,spca-batch,48,0.14635022847810059
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,zifa,4,0.003912236574889298
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,zifa,32,0.004121283674762284
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,zifa,2,-0.028248532355753454
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,zifa,16,0.004212694732795217
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,zifa,8,0.0034165966918486665
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,4,0.1928010269758852
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,32,0.4586416887310429
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,2,0.10303517692794753
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,16,0.3730280264163948
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,96,0.5030216055633969
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,8,0.28700500773122334
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,nsnmf,48,0.4832687578679149
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,4,0.10398860792646955
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,32,0.05715867648673314
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,2,0.08412467524961881
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,16,-0.032878440081401554
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,96,0.11355677246554463
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,8,-0.06985673569173644
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,vpac,48,0.11764741307050644
euclidean,TabulaMuris_Brain_Microglia_FACS,logcounts,umap,4,0.25139870204296777
