metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,4,0.9781880298055191
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,32,0.9967367783002749
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,2,0.941005838541926
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,16,0.9950116722627927
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,96,0.9990182072805034
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,8,0.988599404343311
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca,48,0.9981604994125616
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,4,0.9783948470669142
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,32,0.9966086964088887
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,2,0.940283219664198
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,16,0.9946295100774052
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,96,0.9990150206047552
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,8,0.9881824016214213
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,tsvd,48,0.9981492243841344
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,4,0.6312681922658306
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,32,0.7490541357155084
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,2,0.8983598468980178
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,16,0.7447340425896777
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,96,0.47412522792138606
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,8,0.6349242614323596
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,spca-batch,48,0.7609981448256342
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,zifa,4,0.13607600780202303
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,zifa,2,0.3390224694283771
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,zifa,8,0.0481089999955518
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,4,0.5388451191580519
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,32,0.19689303153557455
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,2,0.6777692972084649
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,16,0.3606085440990435
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,96,0.17005975543711224
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,8,0.3482836674213212
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nsnmf,48,0.2664564449096144
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,4,0.12676171191355362
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,32,0.3495149017503068
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,2,0.7835197541781828
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,16,0.3414948449264503
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,96,0.2838667787644747
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,8,0.38307197705292295
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,vpac,48,0.31892396415006147
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,4,0.34971848619693846
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,32,0.3624782471938722
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,2,0.49126684680074206
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,16,0.34584835249400486
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,96,0.34755281995928927
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,8,0.34373745547699713
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,umap,48,0.33762486605089015
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,4,0.9245064182705205
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,32,0.8771496620007917
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,2,0.9381316617892108
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,16,0.8813309221118951
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,96,0.8600132554503448
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,8,0.9117910507914825
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,nmf2,48,0.8842452502120763
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,4,0.567721878281363
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,32,0.2520132035135913
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,2,-0.0326114988572282
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,16,0.790015221001289
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,96,0.9278335681499154
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,8,0.7498958094847372
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,srp,48,0.7531266836694875
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,4,0.17625718993144077
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,32,0.08018855130171701
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,2,0.34148614245754155
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,16,0.024226291359372345
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,96,0.10104802254345424
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,8,0.10145174091160654
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,psmf,48,0.06602145849915231
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,4,0.8759391312785691
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,32,0.5779889397132653
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,2,0.893153957527698
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,16,0.6904182279727085
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,96,0.44406138440847825
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,8,0.7789646061306631
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,fica,48,0.5211168077651461
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,4,0.07140304987800287
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,32,-0.016370250759436062
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,2,0.39572694885725407
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,16,3.874157450328258e-05
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,96,-0.014607663070222893
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,8,0.11880389555131063
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lle,48,-0.08915185656643741
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,4,-0.006553857201725531
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,32,0.0012601183875062857
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,2,-0.0006983169026124652
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,16,0.00120898358435512
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,96,0.006995471967517719
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,8,0.0074166238551970146
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lsnmf,48,-0.008072419288609575
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,4,0.643556299876019
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,32,0.6363424825121192
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,2,0.6391029277939345
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,16,0.6293161263610513
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,96,0.6357505873829917
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,8,0.6402896169086046
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,phate,48,0.6425805996438975
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,4,0.007362829696229299
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,32,0.002943247436197673
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,2,0.0075902340658292045
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,16,0.00016339545269009617
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,96,0.0042972671480381005
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,8,0.01953691130886084
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,kpca-rbf,48,0.0017201823083593721
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,4,0.9389116894420543
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,32,0.9657483545226415
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,2,0.9283475116049928
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,16,0.9620509157148298
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,96,0.9652364683751772
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,8,0.9530074487475396
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,isomap,48,0.9668071567189919
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,4,-0.0039906062465640876
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,32,-0.007546566915081528
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,2,-0.0067056602376802
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,16,0.008207606518713863
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,96,0.0017221655735469349
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,8,-0.008170648268338259
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,saucie,48,0.005397701564009324
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,4,0.35772459329500905
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,32,0.8890228514886723
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,2,0.8191258684151113
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,16,0.8194199757146405
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,96,0.9171189427491311
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,8,0.7176507320554022
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,bd,48,0.8371488604209231
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lda,4,0.3568416473473175
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lda,32,0.3317047746383123
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lda,2,0.7247949918175306
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lda,16,0.2657764685276869
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lda,96,0.18901739052311284
euclidean,TabulaMuris_Brain_Neurons_FACS,counts,lda,8,0.35467303846411824
