metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Colon_FACS,counts,spca,4,0.9952606296690834
euclidean,TabulaMuris_Colon_FACS,counts,spca,32,0.9998427185308069
euclidean,TabulaMuris_Colon_FACS,counts,spca,2,0.9844643659893777
euclidean,TabulaMuris_Colon_FACS,counts,spca,16,0.9995890602953003
euclidean,TabulaMuris_Colon_FACS,counts,spca,96,0.9999856655848769
euclidean,TabulaMuris_Colon_FACS,counts,spca,8,0.9992663380601028
euclidean,TabulaMuris_Colon_FACS,counts,spca,48,0.9999118723332063
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,4,0.9953082985780249
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,32,0.9998397747114375
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,2,0.9840847500641071
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,16,0.9995833615706489
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,96,0.9999854664287633
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,8,0.9990783255989722
euclidean,TabulaMuris_Colon_FACS,counts,tsvd,48,0.9999076078082552
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,4,0.9206209877642042
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,32,0.6099957228247072
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,2,0.9050381212203593
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,16,0.733994801175539
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,96,0.5211877604339803
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,8,0.806512071048968
euclidean,TabulaMuris_Colon_FACS,counts,spca-batch,48,0.5097795965718538
euclidean,TabulaMuris_Colon_FACS,counts,zifa,4,0.2543992253205746
euclidean,TabulaMuris_Colon_FACS,counts,zifa,2,0.4993983797218575
euclidean,TabulaMuris_Colon_FACS,counts,zifa,16,0.12111052000667055
euclidean,TabulaMuris_Colon_FACS,counts,zifa,8,0.15159638913980616
euclidean,TabulaMuris_Colon_FACS,counts,nsnmf,4,0.7517203291942656
euclidean,TabulaMuris_Colon_FACS,counts,nsnmf,32,0.3982306555072912
euclidean,TabulaMuris_Colon_FACS,counts,nsnmf,2,0.8536054686714147
euclidean,TabulaMuris_Colon_FACS,counts,nsnmf,16,0.43123178473531787
euclidean,TabulaMuris_Colon_FACS,counts,nsnmf,96,0.27411046146878615
euclidean,TabulaMuris_Colon_FACS,counts,nsnmf,8,0.6957792292317425
