metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,4,0.5349568515854664
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,32,0.6997891578249881
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,2,0.5407229466435565
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,16,0.7259780312251165
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,96,0.7312596329991293
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,8,0.7470728781621088
euclidean,TabulaMuris_Fat_FACS,logcounts,spca,48,0.7145912353411851
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,4,0.6104233593019539
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,32,0.6915140596616631
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,2,0.5652762730340926
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,16,0.6609121924145839
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,96,0.7301925992677035
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,8,0.6475724967540509
euclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,48,0.7064113393373991
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,4,0.6396974166117412
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,32,0.5193257303171162
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,2,0.5483594388460804
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,16,0.5427880464909423
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,96,0.7420117052362701
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,8,0.5715872271209135
euclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,48,0.5905878392096013
euclidean,TabulaMuris_Fat_FACS,logcounts,zifa,4,0.3004875560709356
euclidean,TabulaMuris_Fat_FACS,logcounts,zifa,2,0.36165591334196345
euclidean,TabulaMuris_Fat_FACS,logcounts,zifa,16,0.3753272425861461
euclidean,TabulaMuris_Fat_FACS,logcounts,zifa,8,0.35589976558789066
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,4,0.7114560148894365
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,32,0.8328466823002834
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,2,0.49792846306922217
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,16,0.7983035291740835
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,96,0.6898372053946845
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,8,0.7660569627154841
euclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,48,0.8028279515365733
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,4,0.6077323403338621
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,32,0.5867235312042604
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,2,0.4828929736097261
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,16,0.49021384003340346
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,96,0.653957806468503
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,8,0.4653321544510192
euclidean,TabulaMuris_Fat_FACS,logcounts,vpac,48,0.6397459993200106
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,4,0.7337924147158649
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,32,0.7405670473264783
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,2,0.7319550123289121
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,16,0.742820867832533
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,96,0.7352907812891641
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,8,0.7447429938149148
euclidean,TabulaMuris_Fat_FACS,logcounts,umap,48,0.7417891290900016
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,4,-0.009099230115585088
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,32,-0.09918749242332096
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,2,0.02048633800166898
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,16,-0.07415363565821861
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,96,-0.14285392257087323
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,8,-0.055186397106387126
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,48,-0.11413944210377334
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,4,0.7316122995568952
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,32,0.7714445515569385
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,2,0.6905456452318722
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,16,0.7829777628369466
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,96,0.7755364634609728
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,8,0.7468675338610405
euclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,48,0.7637174720117721
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,4,0.2726826492442647
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,32,0.5406942232278337
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,2,0.1829220209080848
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,16,0.4375402945020005
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,96,0.7718268602672319
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,8,0.4437532072440107
euclidean,TabulaMuris_Fat_FACS,logcounts,srp,48,0.6909820364818839
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,4,0.6473318081677312
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,32,0.6619856427500979
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,2,0.6406123769297071
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,16,0.6936868533939048
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,96,0.603166449211076
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,8,0.6525509885045925
euclidean,TabulaMuris_Fat_FACS,logcounts,psmf,48,0.661044151465942
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,4,0.4267165348458073
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,32,0.4667841136056057
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,2,0.5575363412127189
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,16,0.4786196720514571
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,96,0.4790279988647704
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,8,0.45933483248969403
euclidean,TabulaMuris_Fat_FACS,logcounts,fica,48,0.48141434429726293
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,4,0.7337898275577021
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,32,0.2581038608194852
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,2,0.7425924508072194
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,16,0.4597444438428437
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,96,0.07662041913724112
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,8,0.5995455985884272
euclidean,TabulaMuris_Fat_FACS,logcounts,lle,48,0.17367808368820015
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,4,0.46373464858751384
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,32,0.48995493665610407
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,2,0.2887466623996624
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,16,0.1697393117417182
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,96,-0.0038714761061406
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,8,0.698364865039652
euclidean,TabulaMuris_Fat_FACS,logcounts,lsnmf,48,0.4362784563583787
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,4,0.6388097294373405
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,32,0.6580178327257882
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,2,0.6748473535952636
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,16,0.6534170282811668
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,96,0.668204756359684
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,8,0.6540941853887758
euclidean,TabulaMuris_Fat_FACS,logcounts,phate,48,0.6410923981945348
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,4,0.10389909411665653
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,32,0.0505467478396075
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,2,0.11879547199150255
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,16,0.059494696987886876
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,96,0.04413205290858603
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,8,0.0642851471738621
euclidean,TabulaMuris_Fat_FACS,logcounts,kpca-rbf,48,0.056756404764207694
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,4,0.8061147557215074
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,32,0.7983254752608416
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,2,0.8111126826293633
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,16,0.8024619080664682
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,96,0.779484151157505
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,8,0.806675640722212
euclidean,TabulaMuris_Fat_FACS,logcounts,isomap,48,0.7917653665449922
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,4,-0.004661370276704291
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,32,0.001983519492902525
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,2,-0.0005147069462117554
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,16,0.004747588625235791
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,96,0.010726254248011992
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,8,-0.0016019090343385165
euclidean,TabulaMuris_Fat_FACS,logcounts,saucie,48,-0.005918742713936072
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,4,0.7708728290908297
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,32,0.49810137105558383
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,2,0.7535479955510644
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,16,0.6463828812407988
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,96,0.47508228904659244
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,8,0.7998537145537429
euclidean,TabulaMuris_Fat_FACS,logcounts,bd,48,0.5984589797392869
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,4,0.48909826711828697
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,32,0.05039101077390781
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,2,0.5366245160178792
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,16,0.12397258344072618
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,96,-0.0066676576750967125
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,8,0.18329767618680406
euclidean,TabulaMuris_Fat_FACS,logcounts,lda,48,0.0045809546006789275
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,4,0.6332106293140121
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,32,0.48371457075948804
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,2,0.6686520734711893
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,16,0.4909080624546987
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,96,0.4203305526372539
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,8,0.5571410015477785
euclidean,TabulaMuris_Fat_FACS,logcounts,spectral,48,0.4431245516702851
