metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Heart_10X,counts,spca,4,0.8044588288337907
euclidean,TabulaMuris_Heart_10X,counts,spca,32,0.9978957724086841
euclidean,TabulaMuris_Heart_10X,counts,spca,2,0.7323595173838514
euclidean,TabulaMuris_Heart_10X,counts,spca,16,0.9952103537238661
euclidean,TabulaMuris_Heart_10X,counts,spca,96,0.9993784379784911
euclidean,TabulaMuris_Heart_10X,counts,spca,8,0.9669421429267506
euclidean,TabulaMuris_Heart_10X,counts,spca,48,0.998607378325824
euclidean,TabulaMuris_Heart_10X,counts,tsvd,4,0.7234817081856038
euclidean,TabulaMuris_Heart_10X,counts,tsvd,32,0.9980096517092628
euclidean,TabulaMuris_Heart_10X,counts,tsvd,2,0.5957222419263509
euclidean,TabulaMuris_Heart_10X,counts,tsvd,16,0.9950500192359866
euclidean,TabulaMuris_Heart_10X,counts,tsvd,96,0.9996323628333614
euclidean,TabulaMuris_Heart_10X,counts,tsvd,8,0.9577404233067066
euclidean,TabulaMuris_Heart_10X,counts,tsvd,48,0.998717359738115
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,4,0.7323088209999343
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,32,0.892530459480118
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,2,0.49208538485349634
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,16,0.8684880174418163
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,96,0.7360043428977684
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,8,0.8972127350992651
euclidean,TabulaMuris_Heart_10X,counts,spca-batch,48,0.8274033023285877
euclidean,TabulaMuris_Heart_10X,counts,zifa,4,0.6976112973256171
euclidean,TabulaMuris_Heart_10X,counts,zifa,32,0.4660987902596351
euclidean,TabulaMuris_Heart_10X,counts,zifa,2,0.42958399096968175
euclidean,TabulaMuris_Heart_10X,counts,zifa,16,0.5675666106205366
euclidean,TabulaMuris_Heart_10X,counts,zifa,96,0.32590428636118546
euclidean,TabulaMuris_Heart_10X,counts,zifa,8,0.6537129976348992
euclidean,TabulaMuris_Heart_10X,counts,zifa,48,0.40953708158054003
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,4,0.6048870570368018
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,32,0.8008640079254807
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,2,0.5839912482921418
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,16,0.8195836423557199
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,96,0.7689898319488926
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,8,0.7737832966051044
euclidean,TabulaMuris_Heart_10X,counts,nsnmf,48,0.841199231645499
euclidean,TabulaMuris_Heart_10X,counts,vpac,4,0.5584441473345768
euclidean,TabulaMuris_Heart_10X,counts,vpac,32,0.616529756679573
euclidean,TabulaMuris_Heart_10X,counts,vpac,2,nan
euclidean,TabulaMuris_Heart_10X,counts,vpac,16,0.6251362293145942
euclidean,TabulaMuris_Heart_10X,counts,vpac,96,0.5163210801971317
euclidean,TabulaMuris_Heart_10X,counts,vpac,8,0.7415425789596674
euclidean,TabulaMuris_Heart_10X,counts,vpac,48,0.5962684319619671
euclidean,TabulaMuris_Heart_10X,counts,umap,4,0.7828393348833165
euclidean,TabulaMuris_Heart_10X,counts,umap,32,0.7272147786322306
euclidean,TabulaMuris_Heart_10X,counts,umap,2,0.711348567796733
euclidean,TabulaMuris_Heart_10X,counts,umap,16,0.7355161491487179
euclidean,TabulaMuris_Heart_10X,counts,umap,96,0.753001702520819
euclidean,TabulaMuris_Heart_10X,counts,umap,8,0.7236347889740085
euclidean,TabulaMuris_Heart_10X,counts,umap,48,0.7348243790293667
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Heart_10X,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Heart_10X,counts,nmf2,4,0.5635578074050293
euclidean,TabulaMuris_Heart_10X,counts,nmf2,32,0.9269379219052477
euclidean,TabulaMuris_Heart_10X,counts,nmf2,2,0.5970843893304453
euclidean,TabulaMuris_Heart_10X,counts,nmf2,16,0.8508572992182133
euclidean,TabulaMuris_Heart_10X,counts,nmf2,96,0.9272411215441465
