metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Heart_10X,logcounts,spca,4,0.5270415092621282
euclidean,TabulaMuris_Heart_10X,logcounts,spca,32,0.5955135916282925
euclidean,TabulaMuris_Heart_10X,logcounts,spca,2,0.39762482244517794
euclidean,TabulaMuris_Heart_10X,logcounts,spca,16,0.5454117683439503
euclidean,TabulaMuris_Heart_10X,logcounts,spca,96,0.6655653781671343
euclidean,TabulaMuris_Heart_10X,logcounts,spca,8,0.5711688830305355
euclidean,TabulaMuris_Heart_10X,logcounts,spca,48,0.6330794540130712
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,4,0.4926814620551705
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,32,0.6520490537009646
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,2,0.3463290478098052
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,16,0.5967493461089711
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,96,0.788865593982652
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,8,0.5636819806572894
euclidean,TabulaMuris_Heart_10X,logcounts,tsvd,48,0.6979626464723556
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,4,0.5291030233560065
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,32,0.5735298835101291
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,2,0.37833015525852504
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,16,0.5701207563399932
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,96,0.5132975535512222
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,8,0.5451549030515929
euclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,48,0.5706311648979026
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,4,0.20519440069562236
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,32,-0.05729182186652207
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,2,0.21880461094749032
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,16,0.09518982931871633
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,96,-0.22009638683501526
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,8,0.2297577895245561
euclidean,TabulaMuris_Heart_10X,logcounts,zifa,48,-0.13281097455287866
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,4,0.42403392104013415
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,32,0.5795320032753439
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,2,0.3592889344893321
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,16,0.5839853777908081
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,96,0.5103570066867954
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,8,0.6127841741104159
euclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,48,0.5878179135433612
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,4,0.42645121092743943
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,32,0.5716647221154666
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,2,0.19173561793172883
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,16,0.5150701296231318
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,96,0.609383212065205
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,8,0.4163148960588255
euclidean,TabulaMuris_Heart_10X,logcounts,vpac,48,0.5888478376009866
euclidean,TabulaMuris_Heart_10X,logcounts,umap,4,0.6881247158235912
euclidean,TabulaMuris_Heart_10X,logcounts,umap,32,0.6966939728970896
euclidean,TabulaMuris_Heart_10X,logcounts,umap,2,0.6558409316708317
euclidean,TabulaMuris_Heart_10X,logcounts,umap,16,0.7035404504404784
euclidean,TabulaMuris_Heart_10X,logcounts,umap,96,0.7017168834556023
euclidean,TabulaMuris_Heart_10X,logcounts,umap,8,0.6973075618766729
euclidean,TabulaMuris_Heart_10X,logcounts,umap,48,0.6816915327592442
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,4,0.05019007276136321
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,32,-0.054056143434483804
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,2,0.039021900011291584
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,16,-0.013895596269394952
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,96,-0.16523253661488607
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,8,0.01728931936062817
euclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,48,-0.0894791422074883
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,4,0.4259874150302018
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,32,0.6989971626134884
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,2,0.3564007850711548
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,16,0.6418892436863162
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,96,0.7293093271620837
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,8,0.5891488994464356
euclidean,TabulaMuris_Heart_10X,logcounts,nmf2,48,0.7020153767463844
euclidean,TabulaMuris_Heart_10X,logcounts,srp,4,0.22797508462792535
euclidean,TabulaMuris_Heart_10X,logcounts,srp,32,0.4005446710437472
euclidean,TabulaMuris_Heart_10X,logcounts,srp,2,0.10001515783112071
euclidean,TabulaMuris_Heart_10X,logcounts,srp,16,0.3023711601731993
euclidean,TabulaMuris_Heart_10X,logcounts,srp,96,0.6019878919847625
euclidean,TabulaMuris_Heart_10X,logcounts,srp,8,0.13464181413664528
euclidean,TabulaMuris_Heart_10X,logcounts,srp,48,0.4783536956967091
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,4,0.5136702268025276
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,32,0.6514526246866958
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,2,0.3078018711167447
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,16,0.6756602115414744
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,96,0.5676978309581588
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,8,0.5765856008514985
euclidean,TabulaMuris_Heart_10X,logcounts,psmf,48,0.6257035347394834
euclidean,TabulaMuris_Heart_10X,logcounts,fica,4,0.5637636966283057
euclidean,TabulaMuris_Heart_10X,logcounts,fica,32,0.4383553850662163
euclidean,TabulaMuris_Heart_10X,logcounts,fica,2,0.4403592647906459
euclidean,TabulaMuris_Heart_10X,logcounts,fica,16,0.4019948745212259
euclidean,TabulaMuris_Heart_10X,logcounts,fica,96,0.39950441366213163
euclidean,TabulaMuris_Heart_10X,logcounts,fica,8,0.41368345930132017
euclidean,TabulaMuris_Heart_10X,logcounts,fica,48,0.42948624709110594
euclidean,TabulaMuris_Heart_10X,logcounts,lle,4,0.5713240116372479
euclidean,TabulaMuris_Heart_10X,logcounts,lle,32,0.18651168657880124
euclidean,TabulaMuris_Heart_10X,logcounts,lle,2,0.2834445472257016
euclidean,TabulaMuris_Heart_10X,logcounts,lle,16,0.4589981103991808
