metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,4,0.5022764924252482
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,32,0.7368061650037377
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,2,0.36889977177210004
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,16,0.6823962587895572
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,96,0.7844842393658573
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,8,0.6222521856796193
euclidean,TabulaMuris_Heart_FACS,logcounts,spca,48,0.7594511636816812
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,4,0.45317797705548957
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,32,0.5555536494078599
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,2,0.3795827283534878
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,16,0.5275439724081102
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,96,0.5973547479802581
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,8,0.5060893403072679
euclidean,TabulaMuris_Heart_FACS,logcounts,tsvd,48,0.569051587595138
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,4,0.5306387148855638
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,32,0.729555529286702
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,2,0.3494943857169308
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,16,0.5287066139163129
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,96,0.7522864048447037
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,8,0.5719361905364206
euclidean,TabulaMuris_Heart_FACS,logcounts,spca-batch,48,0.7732520999228847
euclidean,TabulaMuris_Heart_FACS,logcounts,zifa,4,0.4755474157407339
euclidean,TabulaMuris_Heart_FACS,logcounts,zifa,2,0.29841771821384244
euclidean,TabulaMuris_Heart_FACS,logcounts,zifa,16,0.5492510082196637
euclidean,TabulaMuris_Heart_FACS,logcounts,zifa,8,0.547975213327662
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,4,0.5811596874984832
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,32,0.7056220651608243
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,2,0.4599819081195997
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,16,0.7720593334166048
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,96,0.6698315550031796
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,8,0.7142164501624398
euclidean,TabulaMuris_Heart_FACS,logcounts,nsnmf,48,0.7448355283494202
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,4,0.5549779188607363
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,32,0.4116182223108572
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,2,0.25831694220159085
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,16,0.30347620359390204
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,96,0.5340022569271083
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,8,0.19321954593182983
euclidean,TabulaMuris_Heart_FACS,logcounts,vpac,48,0.4928431264825768
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,4,0.3790938815991104
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,32,0.3866973499764252
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,2,0.34887598841839973
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,16,0.37828311902292233
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,96,0.39118338749852055
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,8,0.3833856009385388
euclidean,TabulaMuris_Heart_FACS,logcounts,umap,48,0.37984920121300875
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,4,0.018724210744237604
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,32,-0.0398614420349575
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,2,-0.010215081585499849
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,16,-0.011601232880756488
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,96,-0.08854786787613522
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,8,-0.0024884602190078605
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-sig,48,-0.056800411428938116
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,4,0.6450611470537465
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,32,0.7526441763087857
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,2,0.5625194389157334
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,16,0.6891345568261492
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,96,0.7667523703410052
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,8,0.6725501697184207
euclidean,TabulaMuris_Heart_FACS,logcounts,nmf2,48,0.7332049662973608
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,4,0.4651205273958208
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,32,0.6983133020141453
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,2,0.35692194660891524
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,16,0.648475768319918
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,96,0.8590680721194107
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,8,0.5312399253333232
euclidean,TabulaMuris_Heart_FACS,logcounts,srp,48,0.7466617773800117
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,4,0.5567021403484298
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,32,0.4961883460452548
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,2,0.5315409937664803
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,16,0.543814197435349
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,96,0.442986580930796
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,8,0.5788657373517884
euclidean,TabulaMuris_Heart_FACS,logcounts,psmf,48,0.5054635274755436
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,4,0.6083967276484809
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,32,0.6871920385677749
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,2,0.5096800443138172
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,16,0.640697902905418
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,96,0.7182552554199647
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,8,0.683485615547953
euclidean,TabulaMuris_Heart_FACS,logcounts,fica,48,0.7055683601851751
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,4,0.08343211846133411
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,32,0.4050377890810388
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,2,0.08041536105159937
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,16,0.507102699782798
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,96,0.16370192731438407
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,8,0.2105412447000601
euclidean,TabulaMuris_Heart_FACS,logcounts,lle,48,0.2448384616306016
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,4,0.5142430383401986
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,32,0.35623872108509697
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,2,0.3118740461329504
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,16,0.37095205729120956
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,96,-0.005022150784880424
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,8,0.7143784219831899
euclidean,TabulaMuris_Heart_FACS,logcounts,lsnmf,48,0.32349068441849954
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,4,0.3203680418432635
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,32,0.35285465045223324
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,2,0.32607695201652553
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,16,0.36957691233716444
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,96,0.34821586657645615
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,8,0.33444485540141106
euclidean,TabulaMuris_Heart_FACS,logcounts,phate,48,0.3664616738000363
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,4,-0.0759832956747935
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,32,-0.08028717899352142
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,2,-0.09197046458570964
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,16,-0.058605019421036894
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,96,-0.08499987254799361
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,8,-0.06200013470810168
euclidean,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,48,-0.08967234127555676
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,4,0.5884662617623884
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,32,0.6388463927753336
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,2,0.5669138129027154
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,16,0.6171608791605189
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,96,0.6469906108859566
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,8,0.6110897769800906
euclidean,TabulaMuris_Heart_FACS,logcounts,isomap,48,0.64615319768857
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,4,0.00429548148386273
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,32,0.002762083445126584
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,2,-3.467426783235862e-05
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,16,0.0010612047961544536
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,96,-0.012520900276606123
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,8,0.0014417439876178565
euclidean,TabulaMuris_Heart_FACS,logcounts,saucie,48,-0.0033477012489380228
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,4,0.6467936491201851
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,32,0.6375498399395898
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,2,0.6161950489626782
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,16,0.7258250206953588
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,96,0.35170961240468623
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,8,0.738451841227142
euclidean,TabulaMuris_Heart_FACS,logcounts,bd,48,0.5987005893719045
euclidean,TabulaMuris_Heart_FACS,logcounts,lda,4,0.27535791973222
euclidean,TabulaMuris_Heart_FACS,logcounts,lda,32,0.197528781582808
euclidean,TabulaMuris_Heart_FACS,logcounts,lda,2,0.3859107918179682
