metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Kidney_FACS,counts,spca,4,0.9862006041631822
euclidean,TabulaMuris_Kidney_FACS,counts,spca,32,0.9995408187074898
euclidean,TabulaMuris_Kidney_FACS,counts,spca,2,0.9739583090820392
euclidean,TabulaMuris_Kidney_FACS,counts,spca,16,0.9991149709703977
euclidean,TabulaMuris_Kidney_FACS,counts,spca,96,0.9998850818599453
euclidean,TabulaMuris_Kidney_FACS,counts,spca,8,0.9926320645839141
euclidean,TabulaMuris_Kidney_FACS,counts,spca,48,0.9996899437000925
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,4,0.9850336682426158
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,32,0.9995288821444451
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,2,0.973826845849513
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,16,0.9991322803589553
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,96,0.9998844793232152
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,8,0.9925062269146312
euclidean,TabulaMuris_Kidney_FACS,counts,tsvd,48,0.9996848493181828
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,4,0.8401572449877545
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,32,0.8333354867365766
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,2,0.8007519257139475
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,16,0.8497121402167509
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,96,0.6673674719023326
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,8,0.8642144398106435
euclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,48,0.7971747138618843
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,4,0.04191488741191674
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,32,0.38025212886290904
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,2,0.2370378353822649
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,16,-0.10880978155409986
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,96,0.043732333820726235
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,8,-0.044504649297778746
euclidean,TabulaMuris_Kidney_FACS,counts,zifa,48,0.2344824371773072
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,4,0.554852117783036
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,32,0.07280712285791871
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,2,0.6090457135656261
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,16,0.13285152947634019
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,96,-0.11626791109621482
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,8,0.4698890922950436
euclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,48,-0.011708910326775642
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,4,0.07187159992752239
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,32,0.016526842988059308
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,2,0.5967404139977069
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,16,0.052388253486802136
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,96,-0.04723407328965875
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,8,0.10834562178969462
euclidean,TabulaMuris_Kidney_FACS,counts,vpac,48,-0.0023802443401565753
euclidean,TabulaMuris_Kidney_FACS,counts,umap,4,0.7271046635893934
euclidean,TabulaMuris_Kidney_FACS,counts,umap,32,0.7551142779680066
euclidean,TabulaMuris_Kidney_FACS,counts,umap,2,0.7029494096952809
euclidean,TabulaMuris_Kidney_FACS,counts,umap,16,0.8042874147895369
euclidean,TabulaMuris_Kidney_FACS,counts,umap,96,0.7527396802250057
euclidean,TabulaMuris_Kidney_FACS,counts,umap,8,0.7089959011740459
euclidean,TabulaMuris_Kidney_FACS,counts,umap,48,0.7357182912002108
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,4,0.84396515002495
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,32,0.8105262084276921
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,2,0.9731973771030483
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,16,0.8843467214998514
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,96,0.8288792966606189
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,8,0.9242273675473388
euclidean,TabulaMuris_Kidney_FACS,counts,nmf2,48,0.8458125138276648
euclidean,TabulaMuris_Kidney_FACS,counts,srp,4,-0.12031054883619927
euclidean,TabulaMuris_Kidney_FACS,counts,srp,32,0.9644732472291804
euclidean,TabulaMuris_Kidney_FACS,counts,srp,2,-0.09615184051089494
euclidean,TabulaMuris_Kidney_FACS,counts,srp,16,0.5666399971509007
euclidean,TabulaMuris_Kidney_FACS,counts,srp,96,0.9825817372787943
euclidean,TabulaMuris_Kidney_FACS,counts,srp,8,-0.17500126917485978
euclidean,TabulaMuris_Kidney_FACS,counts,srp,48,0.5304030492941312
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,4,0.08749660125987488
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,32,-0.06493463387518948
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,2,0.18961444251702333
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,16,-0.022528629212186613
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,96,-0.1533651217279198
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,8,0.007645498815255425
euclidean,TabulaMuris_Kidney_FACS,counts,psmf,48,-0.1362834312884665
euclidean,TabulaMuris_Kidney_FACS,counts,fica,4,0.7574700741774032
euclidean,TabulaMuris_Kidney_FACS,counts,fica,32,0.36671669420795155
euclidean,TabulaMuris_Kidney_FACS,counts,fica,2,0.9602312822209705
euclidean,TabulaMuris_Kidney_FACS,counts,fica,16,0.4869034362685974
euclidean,TabulaMuris_Kidney_FACS,counts,fica,96,0.08849229914327066
euclidean,TabulaMuris_Kidney_FACS,counts,fica,8,0.5557041257583524
euclidean,TabulaMuris_Kidney_FACS,counts,fica,48,0.25152418756095335
euclidean,TabulaMuris_Kidney_FACS,counts,lle,4,0.4699145894231143
euclidean,TabulaMuris_Kidney_FACS,counts,lle,32,0.24957452439092925
euclidean,TabulaMuris_Kidney_FACS,counts,lle,2,0.9034534092529405
euclidean,TabulaMuris_Kidney_FACS,counts,lle,16,0.18564564145737722
euclidean,TabulaMuris_Kidney_FACS,counts,lle,96,0.2957975269847591
euclidean,TabulaMuris_Kidney_FACS,counts,lle,8,0.26347913985854704
euclidean,TabulaMuris_Kidney_FACS,counts,lle,48,0.2616322913383998
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,4,0.012287164922833327
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,32,-0.022985020492781654
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,2,-0.0006434920228614309
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,16,0.001655341966417202
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,96,-0.003544582427658972
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,8,0.0029085221314981463
euclidean,TabulaMuris_Kidney_FACS,counts,lsnmf,48,-0.0019507646594302112
euclidean,TabulaMuris_Kidney_FACS,counts,phate,4,0.9451097972694624
euclidean,TabulaMuris_Kidney_FACS,counts,phate,32,0.9450202635406059
euclidean,TabulaMuris_Kidney_FACS,counts,phate,2,0.9447524989860163
euclidean,TabulaMuris_Kidney_FACS,counts,phate,16,0.9445306297359113
euclidean,TabulaMuris_Kidney_FACS,counts,phate,96,0.944741019584223
euclidean,TabulaMuris_Kidney_FACS,counts,phate,8,0.9449373758154169
euclidean,TabulaMuris_Kidney_FACS,counts,phate,48,0.9455295142034169
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,4,0.004027984613329536
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,32,-0.008703860107182331
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,2,-0.0012975562745902607
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,16,-0.02347335967886513
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,96,0.003429402927023889
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,8,-0.012379521133587782
euclidean,TabulaMuris_Kidney_FACS,counts,kpca-rbf,48,-0.0034791136673724007
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,4,0.944542155569371
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,32,0.9541172921848344
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,2,0.9459886148651486
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,16,0.952419445406564
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,96,0.9538492144521323
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,8,0.9497845676239459
euclidean,TabulaMuris_Kidney_FACS,counts,isomap,48,0.954058904289631
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,4,-0.029944996617769146
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,32,0.015705593128560524
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,2,-0.008821214587752686
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,16,-0.03511589128982249
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,96,0.007072072322362112
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,8,0.03580250548428053
euclidean,TabulaMuris_Kidney_FACS,counts,saucie,48,-0.006226008538394904
euclidean,TabulaMuris_Kidney_FACS,counts,bd,4,0.6620915373254053
euclidean,TabulaMuris_Kidney_FACS,counts,bd,32,0.6128008871598226
euclidean,TabulaMuris_Kidney_FACS,counts,bd,2,0.731380602844764
euclidean,TabulaMuris_Kidney_FACS,counts,bd,16,0.621426623040089
euclidean,TabulaMuris_Kidney_FACS,counts,bd,96,0.6382461356329303
euclidean,TabulaMuris_Kidney_FACS,counts,bd,8,0.5902265111121657
euclidean,TabulaMuris_Kidney_FACS,counts,bd,48,0.6371097670563907
euclidean,TabulaMuris_Kidney_FACS,counts,lda,4,0.40636051759971953
euclidean,TabulaMuris_Kidney_FACS,counts,lda,32,0.26577745495111027
euclidean,TabulaMuris_Kidney_FACS,counts,lda,2,0.6703043974382067
euclidean,TabulaMuris_Kidney_FACS,counts,lda,16,0.2580727757524804
euclidean,TabulaMuris_Kidney_FACS,counts,lda,96,0.04925651337646921
euclidean,TabulaMuris_Kidney_FACS,counts,lda,8,0.27110406789637703
euclidean,TabulaMuris_Kidney_FACS,counts,lda,48,0.21315899432124352
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,4,0.6154606081945272
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,32,0.15083817782527356
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,2,0.9220529180340866
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,16,0.2959540041972136
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,96,0.0439255452944962
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,8,0.3146423926408586
euclidean,TabulaMuris_Kidney_FACS,counts,spectral,48,0.12389141219738284
