metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,4,0.7979298410260409
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,32,0.9137566360348778
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,2,0.7128357652061453
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,16,0.9024696584261502
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,96,0.9253955364003343
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,8,0.8621442188507918
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca,48,0.9218020101450388
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,4,0.7655714058305167
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,32,0.8974125857871069
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,2,0.7096077440121721
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,16,0.8594558352214081
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,96,0.9494737391189256
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,8,0.8202128834789641
euclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,48,0.919183257200541
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,4,0.7429355511523115
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,32,0.893548018866429
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,2,0.6881316514571828
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,16,0.8666319900219485
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,96,0.9427170957352914
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,8,0.8387083380356801
euclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,48,0.9312032374684577
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,4,0.6815665426835157
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,32,0.8412689425581988
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,2,0.5624194219077417
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,16,0.8122076026759142
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,96,0.824591339360551
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,8,0.7710809696102833
euclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,48,0.8584563527850471
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,4,0.8621992816210393
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,32,0.9214163088515496
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,2,0.792581446529661
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,16,0.9044507091625645
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,96,0.8830648562153733
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,8,0.8729455302872867
euclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,48,0.9183404191696471
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,4,0.5469859335274355
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,32,0.8384232479207041
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,2,0.3489005195662051
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,16,0.7520820303693433
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,96,0.8577112380645008
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,8,0.550834122867355
euclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,48,0.8391945903827914
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,4,0.4975728939056858
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,32,0.5185696605728466
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,2,0.4549586264761505
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,16,0.522754605310097
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,96,0.5193629160757147
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,8,0.5146619372129616
euclidean,TabulaMuris_Kidney_FACS,logcounts,umap,48,0.5171768883791278
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,4,0.38349451655535316
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,32,0.330171023836832
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,2,0.3404598766083344
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,16,0.3741740821923436
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,96,0.20676352846906476
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,8,0.3898801949519686
euclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,48,0.29344764579070626
euclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,4,0.8272202043417345
