metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Liver_10X,counts,spca,4,0.9505462769325523
euclidean,TabulaMuris_Liver_10X,counts,spca,32,0.9965615424629093
euclidean,TabulaMuris_Liver_10X,counts,spca,2,0.8634440904244627
euclidean,TabulaMuris_Liver_10X,counts,spca,16,0.9935855512233988
euclidean,TabulaMuris_Liver_10X,counts,spca,96,0.9984239897148052
euclidean,TabulaMuris_Liver_10X,counts,spca,8,0.9837409827970442
euclidean,TabulaMuris_Liver_10X,counts,spca,48,0.9972995571571887
euclidean,TabulaMuris_Liver_10X,counts,tsvd,4,0.9340372068953618
euclidean,TabulaMuris_Liver_10X,counts,tsvd,32,0.9964136748469911
euclidean,TabulaMuris_Liver_10X,counts,tsvd,2,0.8235213625752762
euclidean,TabulaMuris_Liver_10X,counts,tsvd,16,0.9934768035851292
euclidean,TabulaMuris_Liver_10X,counts,tsvd,96,0.9984868501739259
euclidean,TabulaMuris_Liver_10X,counts,tsvd,8,0.9764349491534566
euclidean,TabulaMuris_Liver_10X,counts,tsvd,48,0.997243318388249
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,4,0.6988831420996489
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,32,0.8142839325716441
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,2,0.7475283575714821
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,16,0.8498251692948268
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,96,0.7615029638177223
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,8,0.8373818968477345
euclidean,TabulaMuris_Liver_10X,counts,spca-batch,48,0.7328914724247833
euclidean,TabulaMuris_Liver_10X,counts,zifa,4,0.5879964301321066
euclidean,TabulaMuris_Liver_10X,counts,zifa,32,0.5585774038932529
euclidean,TabulaMuris_Liver_10X,counts,zifa,2,0.5280382086607308
euclidean,TabulaMuris_Liver_10X,counts,zifa,16,0.562615305770629
euclidean,TabulaMuris_Liver_10X,counts,zifa,96,0.5542014022313428
euclidean,TabulaMuris_Liver_10X,counts,zifa,8,0.5658420632735056
euclidean,TabulaMuris_Liver_10X,counts,zifa,48,0.5557575891082195
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,4,0.5386569269630483
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,32,0.8083433762261287
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,2,0.5454851285391679
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,16,0.7430185611107206
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,96,0.7957704575076258
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,8,0.6586742832359288
euclidean,TabulaMuris_Liver_10X,counts,nsnmf,48,0.8227679049354929
euclidean,TabulaMuris_Liver_10X,counts,vpac,4,0.26728097001689743
euclidean,TabulaMuris_Liver_10X,counts,vpac,32,0.23005042736207576
euclidean,TabulaMuris_Liver_10X,counts,vpac,2,0.3661294897341384
euclidean,TabulaMuris_Liver_10X,counts,vpac,16,0.19231629182386317
euclidean,TabulaMuris_Liver_10X,counts,vpac,96,0.22872469539569948
euclidean,TabulaMuris_Liver_10X,counts,vpac,8,0.14816699605163183
euclidean,TabulaMuris_Liver_10X,counts,vpac,48,0.22801783469195036
euclidean,TabulaMuris_Liver_10X,counts,umap,4,0.5473975795085695
euclidean,TabulaMuris_Liver_10X,counts,umap,32,0.531901863887587
euclidean,TabulaMuris_Liver_10X,counts,umap,2,0.4840321683464099
euclidean,TabulaMuris_Liver_10X,counts,umap,16,0.5300235141705161
euclidean,TabulaMuris_Liver_10X,counts,umap,96,0.5368766896871505
euclidean,TabulaMuris_Liver_10X,counts,umap,8,0.542748988138578
euclidean,TabulaMuris_Liver_10X,counts,umap,48,0.5267873076424672
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Liver_10X,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Liver_10X,counts,nmf2,4,0.7696707807087122
euclidean,TabulaMuris_Liver_10X,counts,nmf2,32,0.861567363254485
euclidean,TabulaMuris_Liver_10X,counts,nmf2,2,0.6722081966542132
euclidean,TabulaMuris_Liver_10X,counts,nmf2,16,0.8842824381766795
euclidean,TabulaMuris_Liver_10X,counts,nmf2,96,0.9005237258264289
euclidean,TabulaMuris_Liver_10X,counts,nmf2,8,0.8272714035520923
euclidean,TabulaMuris_Liver_10X,counts,nmf2,48,0.9039193071495509
euclidean,TabulaMuris_Liver_10X,counts,srp,4,0.3185935847388439
euclidean,TabulaMuris_Liver_10X,counts,srp,32,0.590427267844938
euclidean,TabulaMuris_Liver_10X,counts,srp,2,0.17294890376007047
euclidean,TabulaMuris_Liver_10X,counts,srp,16,0.5335576596890075
euclidean,TabulaMuris_Liver_10X,counts,srp,96,0.8475281340285781
euclidean,TabulaMuris_Liver_10X,counts,srp,8,0.38597898433062744
euclidean,TabulaMuris_Liver_10X,counts,srp,48,0.5248901429801508
euclidean,TabulaMuris_Liver_10X,counts,psmf,4,0.5400989250415226
euclidean,TabulaMuris_Liver_10X,counts,psmf,32,0.5952669766482749
euclidean,TabulaMuris_Liver_10X,counts,psmf,2,0.4539642942918669
euclidean,TabulaMuris_Liver_10X,counts,psmf,16,0.5713564039414564
euclidean,TabulaMuris_Liver_10X,counts,psmf,96,0.43105155092239056
euclidean,TabulaMuris_Liver_10X,counts,psmf,8,0.5962036676144846
euclidean,TabulaMuris_Liver_10X,counts,psmf,48,0.5207084746894931
euclidean,TabulaMuris_Liver_10X,counts,fica,4,0.9056552624225391
euclidean,TabulaMuris_Liver_10X,counts,fica,32,0.6711135471799109
euclidean,TabulaMuris_Liver_10X,counts,fica,2,0.8439150637601114
euclidean,TabulaMuris_Liver_10X,counts,fica,16,0.7851761473625892
euclidean,TabulaMuris_Liver_10X,counts,fica,96,0.4961236374213499
euclidean,TabulaMuris_Liver_10X,counts,fica,8,0.8916811503573566
euclidean,TabulaMuris_Liver_10X,counts,fica,48,0.6207916398948553
euclidean,TabulaMuris_Liver_10X,counts,lle,4,0.26032182753084376
euclidean,TabulaMuris_Liver_10X,counts,lle,32,0.4351116067705812
euclidean,TabulaMuris_Liver_10X,counts,lle,2,0.4158474274039863
euclidean,TabulaMuris_Liver_10X,counts,lle,16,0.4094292407660108
euclidean,TabulaMuris_Liver_10X,counts,lle,96,0.3690989567392125
euclidean,TabulaMuris_Liver_10X,counts,lle,8,0.333948887074536
euclidean,TabulaMuris_Liver_10X,counts,lle,48,0.40860967767750533
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,4,-0.006732008151594553
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,32,0.0022203486830396275
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,2,-0.0018372164498256128
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,16,-0.0001634814320329539
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,96,0.004667611304795573
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,8,-0.0044455148723110864
euclidean,TabulaMuris_Liver_10X,counts,lsnmf,48,0.013694585489339781
euclidean,TabulaMuris_Liver_10X,counts,phate,4,0.6858419310059907
euclidean,TabulaMuris_Liver_10X,counts,phate,32,0.7031620148470087
euclidean,TabulaMuris_Liver_10X,counts,phate,2,0.6166516105451798
euclidean,TabulaMuris_Liver_10X,counts,phate,16,0.700798808314801
euclidean,TabulaMuris_Liver_10X,counts,phate,96,0.7026374355335783
euclidean,TabulaMuris_Liver_10X,counts,phate,8,0.6963833145269537
euclidean,TabulaMuris_Liver_10X,counts,phate,48,0.7021484954248196
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,4,0.016709762161667037
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,32,0.013643217377373387
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,2,0.028809051724256043
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,16,0.004961192868478096
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,96,0.0033136047949649003
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,8,0.01614148859122143
euclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,48,0.009275688516239246
euclidean,TabulaMuris_Liver_10X,counts,isomap,4,0.8752032473162265
euclidean,TabulaMuris_Liver_10X,counts,isomap,32,0.9170444253126558
euclidean,TabulaMuris_Liver_10X,counts,isomap,2,0.8538461861440096
euclidean,TabulaMuris_Liver_10X,counts,isomap,16,0.9152424442681625
euclidean,TabulaMuris_Liver_10X,counts,isomap,96,0.9151888399315832
euclidean,TabulaMuris_Liver_10X,counts,isomap,8,0.9072439732951125
euclidean,TabulaMuris_Liver_10X,counts,isomap,48,0.9168289936439992
euclidean,TabulaMuris_Liver_10X,counts,saucie,4,-0.01458279300844993
euclidean,TabulaMuris_Liver_10X,counts,saucie,32,0.033036216275790335
euclidean,TabulaMuris_Liver_10X,counts,saucie,2,0.0049920472929828
euclidean,TabulaMuris_Liver_10X,counts,saucie,16,0.0016861812688340064
euclidean,TabulaMuris_Liver_10X,counts,saucie,96,0.010166924841917316
euclidean,TabulaMuris_Liver_10X,counts,saucie,8,-0.013466125578945307
euclidean,TabulaMuris_Liver_10X,counts,saucie,48,-0.0031315343350941265
euclidean,TabulaMuris_Liver_10X,counts,bd,4,0.6926665811105794
euclidean,TabulaMuris_Liver_10X,counts,bd,32,0.7455784081829604
euclidean,TabulaMuris_Liver_10X,counts,bd,2,0.3819622914074733
euclidean,TabulaMuris_Liver_10X,counts,bd,16,0.8470769876833377
