metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Liver_FACS,counts,spca,4,0.9876292471683107
euclidean,TabulaMuris_Liver_FACS,counts,spca,32,0.9964486361086479
euclidean,TabulaMuris_Liver_FACS,counts,spca,2,0.9745980866208453
euclidean,TabulaMuris_Liver_FACS,counts,spca,16,0.9935524187466187
euclidean,TabulaMuris_Liver_FACS,counts,spca,96,0.9996084516073703
euclidean,TabulaMuris_Liver_FACS,counts,spca,8,0.9909596473186278
euclidean,TabulaMuris_Liver_FACS,counts,spca,48,0.9980049321975452
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,4,0.987834517757527
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,32,0.9961559347296229
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,2,0.9734305437239325
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,16,0.9935963660819227
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,96,0.9995332414827292
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,8,0.9911766505191215
euclidean,TabulaMuris_Liver_FACS,counts,tsvd,48,0.9977105505857305
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,4,0.8581740235973692
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,32,0.7401910328681527
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,2,0.8487826046584723
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,16,0.8064538117995702
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,96,0.5070428129482967
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,8,0.8519399111624312
euclidean,TabulaMuris_Liver_FACS,counts,spca-batch,48,0.7549534907571203
euclidean,TabulaMuris_Liver_FACS,counts,zifa,4,0.238148731026231
euclidean,TabulaMuris_Liver_FACS,counts,zifa,32,-0.036960869722698526
euclidean,TabulaMuris_Liver_FACS,counts,zifa,2,0.4142931278769193
euclidean,TabulaMuris_Liver_FACS,counts,zifa,16,0.017526683402229938
euclidean,TabulaMuris_Liver_FACS,counts,zifa,96,0.23513535985705475
euclidean,TabulaMuris_Liver_FACS,counts,zifa,8,0.11764709627245735
euclidean,TabulaMuris_Liver_FACS,counts,zifa,48,0.3116807429653239
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,4,0.5377060351617958
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,32,0.2976232092454518
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,2,0.7734849297961386
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,16,0.5500231793791869
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,96,0.2800057675690795
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,8,0.49729497997633687
euclidean,TabulaMuris_Liver_FACS,counts,nsnmf,48,0.19832912465407856
euclidean,TabulaMuris_Liver_FACS,counts,vpac,4,0.28933830713004816
euclidean,TabulaMuris_Liver_FACS,counts,vpac,32,0.20726733254974156
euclidean,TabulaMuris_Liver_FACS,counts,vpac,2,0.3377717717359954
euclidean,TabulaMuris_Liver_FACS,counts,vpac,16,0.22133912741514059
