metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Lung_FACS,counts,spca,4,0.9495155436598908
euclidean,TabulaMuris_Lung_FACS,counts,spca,32,0.9982394479860613
euclidean,TabulaMuris_Lung_FACS,counts,spca,2,0.8485500054458825
euclidean,TabulaMuris_Lung_FACS,counts,spca,16,0.996428872715032
euclidean,TabulaMuris_Lung_FACS,counts,spca,96,0.9996065414339981
euclidean,TabulaMuris_Lung_FACS,counts,spca,8,0.9835644288191332
euclidean,TabulaMuris_Lung_FACS,counts,spca,48,0.9990458798061829
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,4,0.9540575049371463
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,32,0.9982167533232562
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,2,0.8446100044226851
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,16,0.9961047129237799
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,96,0.9995768791012014
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,8,0.9834619642721009
euclidean,TabulaMuris_Lung_FACS,counts,tsvd,48,0.9990055164885927
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,4,0.8720356300684626
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,32,0.8585892760040595
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,2,0.8677058665088823
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,16,0.8147326998201351
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,96,0.7551842874725747
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,8,0.9313908574954209
euclidean,TabulaMuris_Lung_FACS,counts,spca-batch,48,0.7227832526307958
euclidean,TabulaMuris_Lung_FACS,counts,zifa,4,0.27840837587108247
euclidean,TabulaMuris_Lung_FACS,counts,zifa,32,0.18179606351151004
euclidean,TabulaMuris_Lung_FACS,counts,zifa,2,0.11659239087045166
euclidean,TabulaMuris_Lung_FACS,counts,zifa,16,0.2088244337642783
euclidean,TabulaMuris_Lung_FACS,counts,zifa,8,0.256409039396171
euclidean,TabulaMuris_Lung_FACS,counts,zifa,48,0.16738053197203023
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,4,0.5074054832181585
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,32,0.624335181884388
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,2,0.5157464703820627
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,16,0.5959012134630821
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,96,0.5140981488774283
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,8,0.5531444782295153
euclidean,TabulaMuris_Lung_FACS,counts,nsnmf,48,0.6541276270469244
euclidean,TabulaMuris_Lung_FACS,counts,vpac,4,0.4056938206798461
euclidean,TabulaMuris_Lung_FACS,counts,vpac,32,0.4226183999089406
euclidean,TabulaMuris_Lung_FACS,counts,vpac,2,0.2011979093722298
euclidean,TabulaMuris_Lung_FACS,counts,vpac,16,0.4237817431249251
euclidean,TabulaMuris_Lung_FACS,counts,vpac,96,0.35103980178120464
euclidean,TabulaMuris_Lung_FACS,counts,vpac,8,0.4735446175293484
euclidean,TabulaMuris_Lung_FACS,counts,vpac,48,0.4023417824660246
euclidean,TabulaMuris_Lung_FACS,counts,umap,4,0.6634759691429063
euclidean,TabulaMuris_Lung_FACS,counts,umap,32,0.6652077927709854
euclidean,TabulaMuris_Lung_FACS,counts,umap,2,0.6526761795501076
euclidean,TabulaMuris_Lung_FACS,counts,umap,16,0.6804737359333465
euclidean,TabulaMuris_Lung_FACS,counts,umap,96,0.658356236274404
euclidean,TabulaMuris_Lung_FACS,counts,umap,8,0.6628081492579293
euclidean,TabulaMuris_Lung_FACS,counts,umap,48,0.6854607568850933
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Lung_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,4,0.9347982666467242
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,32,0.8964429264791814
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,2,0.845242441619914
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,16,0.9144432801232192
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,96,0.8948535618202684
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,8,0.9071745186679329
euclidean,TabulaMuris_Lung_FACS,counts,nmf2,48,0.9019518308997673
euclidean,TabulaMuris_Lung_FACS,counts,srp,4,-0.049526980292134155
euclidean,TabulaMuris_Lung_FACS,counts,srp,32,0.6306471774392598
euclidean,TabulaMuris_Lung_FACS,counts,srp,2,0.3277243722706687
euclidean,TabulaMuris_Lung_FACS,counts,srp,16,0.5249059529308806
