metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,4,0.40307473098557445
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,32,0.6844057621085547
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,2,0.1811434772427587
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,16,0.6052218396456215
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,96,0.7383742041031668
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,8,0.4821008797010838
euclidean,TabulaMuris_Lung_FACS,logcounts,spca,48,0.6687565245871495
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,4,0.39615600232310716
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,32,0.5522664129885876
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,2,0.20158267514158434
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,16,0.5133796799930308
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,96,0.6569524801522241
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,8,0.45710043104961406
euclidean,TabulaMuris_Lung_FACS,logcounts,tsvd,48,0.5823857951114013
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,4,0.3790259654860113
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,32,0.5744806498210275
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,2,0.28268958497786734
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,16,0.4082916299387337
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,96,0.5611709804134375
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,8,0.4359447585126932
euclidean,TabulaMuris_Lung_FACS,logcounts,spca-batch,48,0.5829842093161578
euclidean,TabulaMuris_Lung_FACS,logcounts,zifa,4,0.27072829662092207
euclidean,TabulaMuris_Lung_FACS,logcounts,zifa,32,0.40078380813248266
euclidean,TabulaMuris_Lung_FACS,logcounts,zifa,2,0.09505134068954482
euclidean,TabulaMuris_Lung_FACS,logcounts,zifa,16,0.3984371241548644
euclidean,TabulaMuris_Lung_FACS,logcounts,zifa,8,0.34647580976986625
euclidean,TabulaMuris_Lung_FACS,logcounts,zifa,48,0.39958539549798167
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,4,0.5552579401115676
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,32,0.6363084311793406
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,2,0.3963791722966079
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,16,0.6604271176999252
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,96,0.6325762376885412
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,8,0.6624643835280183
euclidean,TabulaMuris_Lung_FACS,logcounts,nsnmf,48,0.6269879738547482
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,4,0.30553608474255733
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,32,0.4157017875638873
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,2,nan
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,16,0.2665721091740778
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,96,0.5077600962596355
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,8,0.0515909801269136
euclidean,TabulaMuris_Lung_FACS,logcounts,vpac,48,0.4498992367594666
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,4,0.3120543333568913
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,32,0.32306788736344333
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,2,0.26142192042443413
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,16,0.33189846031191544
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,96,0.3252645266360972
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,8,0.3275315308615284
euclidean,TabulaMuris_Lung_FACS,logcounts,umap,48,0.32807600759459815
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,4,-0.17090544197336704
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,32,-0.26280562166396826
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,2,-0.20582164431804031
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,16,-0.23272154611988893
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,96,-0.32652879307667254
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,8,-0.20757828073195236
euclidean,TabulaMuris_Lung_FACS,logcounts,kpca-sig,48,-0.28095221331117387
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,4,0.5557155734788894
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,32,0.7068629685537531
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,2,0.3758386311986322
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,16,0.703053722943067
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,96,0.7326149522818676
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,8,0.6491377129155748
euclidean,TabulaMuris_Lung_FACS,logcounts,nmf2,48,0.7222771431258779
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,4,0.28079017328373507
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,32,0.5457987158827606
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,2,0.10709826641371728
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,16,0.4593295451700324
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,96,0.7454814592907334
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,8,0.33080771152694777
euclidean,TabulaMuris_Lung_FACS,logcounts,srp,48,0.648945892152751
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,4,0.49083271550325047
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,32,0.6212402432467027
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,2,0.40793343006328414
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,16,0.45934736270228693
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,96,0.5280597992172967
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,8,0.5530592498753566
euclidean,TabulaMuris_Lung_FACS,logcounts,psmf,48,0.6207402043474419
euclidean,TabulaMuris_Lung_FACS,logcounts,fica,4,0.49810429677892715
euclidean,TabulaMuris_Lung_FACS,logcounts,fica,32,0.5708319624244859
euclidean,TabulaMuris_Lung_FACS,logcounts,fica,2,0.23028197723250457
