metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Mammary_10X,counts,spca,4,0.9080918235180376
euclidean,TabulaMuris_Mammary_10X,counts,spca,32,0.9918113004488807
euclidean,TabulaMuris_Mammary_10X,counts,spca,2,0.8158648618511505
euclidean,TabulaMuris_Mammary_10X,counts,spca,16,0.9788263581820549
euclidean,TabulaMuris_Mammary_10X,counts,spca,96,0.9973620671803985
euclidean,TabulaMuris_Mammary_10X,counts,spca,8,0.9492379254656985
euclidean,TabulaMuris_Mammary_10X,counts,spca,48,0.9945506484132424
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,4,0.8824436064855528
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,32,0.9915158778143176
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,2,0.7491855560071093
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,16,0.9773395583721186
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,96,0.9974580893562894
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,8,0.9454578445848869
euclidean,TabulaMuris_Mammary_10X,counts,tsvd,48,0.9946883577976806
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,4,0.8597795277251775
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,32,0.780613502131397
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,2,0.7826385233013301
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,16,0.8498306081215549
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,96,0.7675508601725195
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,8,0.7472734555132132
euclidean,TabulaMuris_Mammary_10X,counts,spca-batch,48,0.7468532761472746
euclidean,TabulaMuris_Mammary_10X,counts,zifa,4,0.6087619313176726
euclidean,TabulaMuris_Mammary_10X,counts,zifa,32,0.660854420195306
euclidean,TabulaMuris_Mammary_10X,counts,zifa,2,0.6099299904815938
euclidean,TabulaMuris_Mammary_10X,counts,zifa,16,0.6613926083607844
euclidean,TabulaMuris_Mammary_10X,counts,zifa,8,0.6386897536541257
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,4,0.5434756861564808
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,32,0.7358466033460619
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,2,0.5403307421909326
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,16,0.7083854744103761
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,96,0.7349403595577965
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,8,0.7097415051929817
euclidean,TabulaMuris_Mammary_10X,counts,nsnmf,48,0.7328442055792224
euclidean,TabulaMuris_Mammary_10X,counts,vpac,4,0.41194052096605194
euclidean,TabulaMuris_Mammary_10X,counts,vpac,32,0.39508425935373764
euclidean,TabulaMuris_Mammary_10X,counts,vpac,2,0.6196403456944954
euclidean,TabulaMuris_Mammary_10X,counts,vpac,16,0.41751877945619414
euclidean,TabulaMuris_Mammary_10X,counts,vpac,96,0.4097510599906609
euclidean,TabulaMuris_Mammary_10X,counts,vpac,8,0.4138857353705849
euclidean,TabulaMuris_Mammary_10X,counts,vpac,48,0.40322697587149403
euclidean,TabulaMuris_Mammary_10X,counts,umap,4,0.403340890371504
euclidean,TabulaMuris_Mammary_10X,counts,umap,32,0.4833424694134154
euclidean,TabulaMuris_Mammary_10X,counts,umap,2,0.505452882623782
euclidean,TabulaMuris_Mammary_10X,counts,umap,16,0.45083633943734536
euclidean,TabulaMuris_Mammary_10X,counts,umap,96,0.49440209084397013
euclidean,TabulaMuris_Mammary_10X,counts,umap,8,0.48195019631714475
euclidean,TabulaMuris_Mammary_10X,counts,umap,48,0.5137454449418363
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,4,0.6349028607054854
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,32,0.8895732569517656
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,2,0.6810879184847192
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,16,0.8249754363926166
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,96,0.9016652298448157
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,8,0.7710533729782572
euclidean,TabulaMuris_Mammary_10X,counts,nmf2,48,0.8716398814169865
euclidean,TabulaMuris_Mammary_10X,counts,srp,4,0.5104968093222308
euclidean,TabulaMuris_Mammary_10X,counts,srp,32,0.7410943468190212
euclidean,TabulaMuris_Mammary_10X,counts,srp,2,0.3571706812986056
euclidean,TabulaMuris_Mammary_10X,counts,srp,16,0.5581432779388406
euclidean,TabulaMuris_Mammary_10X,counts,srp,96,0.8724124348302531
euclidean,TabulaMuris_Mammary_10X,counts,srp,8,0.5962023000035219
euclidean,TabulaMuris_Mammary_10X,counts,srp,48,0.7390295718884298
euclidean,TabulaMuris_Mammary_10X,counts,psmf,4,0.6347833895783472
euclidean,TabulaMuris_Mammary_10X,counts,psmf,32,0.5573584982071178
euclidean,TabulaMuris_Mammary_10X,counts,psmf,2,0.5811799221390487
euclidean,TabulaMuris_Mammary_10X,counts,psmf,16,0.5415212662028707
euclidean,TabulaMuris_Mammary_10X,counts,psmf,96,0.5758089377063864
euclidean,TabulaMuris_Mammary_10X,counts,psmf,8,0.5017745665493389
euclidean,TabulaMuris_Mammary_10X,counts,psmf,48,0.6060540868001945
euclidean,TabulaMuris_Mammary_10X,counts,fica,4,0.8963138019441155
euclidean,TabulaMuris_Mammary_10X,counts,fica,32,0.7795776412315882
euclidean,TabulaMuris_Mammary_10X,counts,fica,2,0.8070386559207805
euclidean,TabulaMuris_Mammary_10X,counts,fica,16,0.8463630111348979
euclidean,TabulaMuris_Mammary_10X,counts,fica,96,0.6201996024917763
euclidean,TabulaMuris_Mammary_10X,counts,fica,8,0.9000740644436808
euclidean,TabulaMuris_Mammary_10X,counts,fica,48,0.7344658776800865
euclidean,TabulaMuris_Mammary_10X,counts,lle,4,0.4552828162235534
euclidean,TabulaMuris_Mammary_10X,counts,lle,32,0.4240288729026707
euclidean,TabulaMuris_Mammary_10X,counts,lle,2,0.2935796655016694
euclidean,TabulaMuris_Mammary_10X,counts,lle,16,0.4030458741022738
euclidean,TabulaMuris_Mammary_10X,counts,lle,96,0.3905850471353811
euclidean,TabulaMuris_Mammary_10X,counts,lle,8,0.3167099492494506
euclidean,TabulaMuris_Mammary_10X,counts,lle,48,0.33754420762172577
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,4,-0.0008655935461159194
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,32,0.005247877600455823
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,2,-0.005939052757545421
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,16,-0.0036844292373644145
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,96,-0.007096423950846305
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,8,-0.00042915192538668976
euclidean,TabulaMuris_Mammary_10X,counts,lsnmf,48,0.0034150458972085724
euclidean,TabulaMuris_Mammary_10X,counts,phate,4,0.695733282075268
euclidean,TabulaMuris_Mammary_10X,counts,phate,32,0.7283019808508833
euclidean,TabulaMuris_Mammary_10X,counts,phate,2,0.6489269721062721
euclidean,TabulaMuris_Mammary_10X,counts,phate,16,0.7251854066773176
euclidean,TabulaMuris_Mammary_10X,counts,phate,96,0.7211532923606637
euclidean,TabulaMuris_Mammary_10X,counts,phate,8,0.7125551550598667
euclidean,TabulaMuris_Mammary_10X,counts,phate,48,0.7182169665029287
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,4,0.0014958385150007762
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,32,0.000670760274971255
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,2,0.00035578903681193384
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,16,-0.001101347813795939
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,96,-0.0009679959328026967
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,8,0.002438164590794246
euclidean,TabulaMuris_Mammary_10X,counts,kpca-rbf,48,0.0007735265526870925
euclidean,TabulaMuris_Mammary_10X,counts,isomap,4,0.8196175424655092
euclidean,TabulaMuris_Mammary_10X,counts,isomap,32,0.8918514358153599
euclidean,TabulaMuris_Mammary_10X,counts,isomap,2,0.7408023549322675
euclidean,TabulaMuris_Mammary_10X,counts,isomap,16,0.8801632921240368
euclidean,TabulaMuris_Mammary_10X,counts,isomap,96,0.8979454109665407
euclidean,TabulaMuris_Mammary_10X,counts,isomap,8,0.8591407053414751
euclidean,TabulaMuris_Mammary_10X,counts,isomap,48,0.8950471594397514
euclidean,TabulaMuris_Mammary_10X,counts,saucie,4,-0.005264991736843148
euclidean,TabulaMuris_Mammary_10X,counts,saucie,32,0.009311874593820086
euclidean,TabulaMuris_Mammary_10X,counts,saucie,2,0.0043208845792245
euclidean,TabulaMuris_Mammary_10X,counts,saucie,16,-0.0018167764719293448
euclidean,TabulaMuris_Mammary_10X,counts,saucie,96,-0.003879849954249783
euclidean,TabulaMuris_Mammary_10X,counts,saucie,8,0.0002042064743150527
euclidean,TabulaMuris_Mammary_10X,counts,saucie,48,0.0030615081985782026
euclidean,TabulaMuris_Mammary_10X,counts,bd,4,0.691844219896494
