metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,4,0.7721362250621173
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,32,0.7664832910356759
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,2,0.6617477003287223
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,16,0.7552125908589628
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,96,0.7670580513552983
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,8,0.7581871607943169
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca,48,0.7496865287773681
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,4,0.7726417121550753
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,32,0.7980716261639961
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,2,0.6534596099645528
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,16,0.7902619398286004
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,96,0.8292288402223407
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,8,0.78307011640874
euclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,48,0.8062380038511452
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,4,0.7629356691197048
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,32,0.7208097460559207
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,2,0.7168888167546401
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,16,0.7725478664740892
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,96,0.7169838792016502
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,8,0.7118101176890942
euclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,48,0.7024771815397562
euclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,4,0.6151087263187779
euclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,32,0.5971584022184265
euclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,2,0.6109424061090896
euclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,16,0.5967688326284591
euclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,8,0.5984055324583233
