metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,4,0.663477552667761
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,32,0.6465125198330904
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,2,0.6592727147502715
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,16,0.6693115254929035
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,96,0.6348771441657898
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,8,0.67973241949952
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca,48,0.6249486475726065
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,4,0.6833065951186617
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,32,0.7335556887850976
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,2,0.672346294897104
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,16,0.7250143734787555
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,96,0.770267583040878
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,8,0.7031795369659954
euclidean,TabulaMuris_Marrow_FACS,logcounts,tsvd,48,0.7426122010386248
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,4,0.6710020749750777
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,32,0.6743865649909886
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,2,0.6643490204074229
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,16,0.6148509848058609
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,96,0.6002375300728138
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,8,0.6423789181113169
euclidean,TabulaMuris_Marrow_FACS,logcounts,spca-batch,48,0.6497787373300833
euclidean,TabulaMuris_Marrow_FACS,logcounts,zifa,4,0.40411597953258926
euclidean,TabulaMuris_Marrow_FACS,logcounts,zifa,32,0.3928768656098817
euclidean,TabulaMuris_Marrow_FACS,logcounts,zifa,2,0.37143672812446954
euclidean,TabulaMuris_Marrow_FACS,logcounts,zifa,16,0.39669410817708556
euclidean,TabulaMuris_Marrow_FACS,logcounts,zifa,8,0.41616614577312966
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,4,0.7131959715226811
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,32,0.5454718532616561
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,2,0.656552376193056
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,16,0.6595053815249825
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,96,0.37933975530683456
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,8,0.6638377134801476
euclidean,TabulaMuris_Marrow_FACS,logcounts,nsnmf,48,0.45500148532519397
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,4,0.5664969059537422
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,32,0.6783521004493137
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,2,0.6573193196370002
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,16,0.6366214375535841
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,96,0.7197462730727145
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,8,0.505632555263576
euclidean,TabulaMuris_Marrow_FACS,logcounts,vpac,48,0.6974005463094816
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,4,0.7494824500017523
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,32,0.7597818501727457
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,2,0.7536013823812697
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,16,0.7744471817166698
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,96,0.7610212330580052
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,8,0.7563355221034046
euclidean,TabulaMuris_Marrow_FACS,logcounts,umap,48,0.7643512276646467
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,4,-0.020775139880102614
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,32,-0.07692959599217304
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,2,0.0050071416107313246
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,16,-0.05880140813437037
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,96,-0.12628384794353933
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,8,-0.04090730547525322
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,48,-0.0906919281348089
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,4,0.7096101747695537
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,32,0.6967575714150045
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,2,0.7720019697873229
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,16,0.6364310385772617
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,96,0.6069483167170505
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,8,0.608890183982163
euclidean,TabulaMuris_Marrow_FACS,logcounts,nmf2,48,0.6390786522770863
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,4,0.20008123083348817
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,32,0.5484311691141577
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,2,0.06599457655009383
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,16,0.37030576166957363
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,96,0.7652757558858369
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,8,0.35522100482080576
euclidean,TabulaMuris_Marrow_FACS,logcounts,srp,48,0.6255750002968402
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,4,0.43102430387039337
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,32,0.7562154715146838
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,2,0.597482069279125
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,16,0.6815827992681304
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,96,0.6967307478770938
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,8,0.661243813243338
euclidean,TabulaMuris_Marrow_FACS,logcounts,psmf,48,0.7313602388849715
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,4,0.4505011886568208
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,32,0.365767230535567
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,2,0.47963108578297226
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,16,0.4024907835065018
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,96,0.3180355974617263
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,8,0.3433176385546716
euclidean,TabulaMuris_Marrow_FACS,logcounts,fica,48,0.36302501006379034
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,4,0.6092178417119563
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,32,0.03495073746291844
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,2,0.35164716346414593
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,16,0.06328080029780403
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,96,-0.016568391505234165
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,8,0.08383123816735141
euclidean,TabulaMuris_Marrow_FACS,logcounts,lle,48,-0.0054382426200753
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,4,0.4942647868939555
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,32,0.7108265678272601
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,2,0.4394409865905469
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,16,0.6202319424369519
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,96,-0.0002920072815060298
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,8,0.6336431214274777
euclidean,TabulaMuris_Marrow_FACS,logcounts,lsnmf,48,0.7092180708749602
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,4,0.5418758154530536
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,32,0.4842869745710453
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,2,0.5381284981377219
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,16,0.5383858175578538
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,96,0.5334904047481981
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,8,0.49510344902973674
euclidean,TabulaMuris_Marrow_FACS,logcounts,phate,48,0.5049154767189301
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,4,0.2263225663971011
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,32,0.20818606525068584
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,2,0.20739784509903944
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,16,0.21454746842212674
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,96,0.14817236727339603
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,8,0.22640457893843238
euclidean,TabulaMuris_Marrow_FACS,logcounts,kpca-rbf,48,0.19576559102996013
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,4,0.7844760406967807
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,32,0.7548223753615824
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,2,0.7806438041069567
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,16,0.7684920244735328
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,96,0.7336809778289717
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,8,0.7712497450279163
euclidean,TabulaMuris_Marrow_FACS,logcounts,isomap,48,0.7505979914054498
euclidean,TabulaMuris_Marrow_FACS,logcounts,saucie,4,0.0013958412999888756
