metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Muscle_10X,counts,spca,4,0.7835896491989256
euclidean,TabulaMuris_Muscle_10X,counts,spca,32,0.9869552195264166
euclidean,TabulaMuris_Muscle_10X,counts,spca,2,0.6373373402780097
euclidean,TabulaMuris_Muscle_10X,counts,spca,16,0.9676245615573625
euclidean,TabulaMuris_Muscle_10X,counts,spca,96,0.9970687737723118
euclidean,TabulaMuris_Muscle_10X,counts,spca,8,0.9330977996023891
euclidean,TabulaMuris_Muscle_10X,counts,spca,48,0.9931329179003352
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,4,0.7681189523580935
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,32,0.9868421684409436
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,2,0.6619189461682626
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,16,0.9661710792749653
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,96,0.9969852199574146
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,8,0.915151157986779
euclidean,TabulaMuris_Muscle_10X,counts,tsvd,48,0.9930883122045475
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,4,0.48999951505455774
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,32,0.6582720629550796
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,2,0.4619611289810896
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,16,0.777645845096216
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,96,0.5981857116124446
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,8,0.6075980894772731
euclidean,TabulaMuris_Muscle_10X,counts,spca-batch,48,0.7248645431050456
euclidean,TabulaMuris_Muscle_10X,counts,zifa,4,0.4408128307656918
euclidean,TabulaMuris_Muscle_10X,counts,zifa,32,0.43039850014901265
euclidean,TabulaMuris_Muscle_10X,counts,zifa,2,0.4409978508249951
euclidean,TabulaMuris_Muscle_10X,counts,zifa,16,0.4302776862354572
euclidean,TabulaMuris_Muscle_10X,counts,zifa,8,0.44050710510885227
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,4,0.5137320694446046
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,32,0.5963614020711364
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,2,0.3247660520107909
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,16,0.6339325520520923
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,96,0.6099807764623922
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,8,0.5879054694082475
euclidean,TabulaMuris_Muscle_10X,counts,nsnmf,48,0.657247531668087
euclidean,TabulaMuris_Muscle_10X,counts,vpac,4,0.5085970541816062
euclidean,TabulaMuris_Muscle_10X,counts,vpac,32,0.4195934104743941
euclidean,TabulaMuris_Muscle_10X,counts,vpac,2,0.3651481918525857
euclidean,TabulaMuris_Muscle_10X,counts,vpac,16,0.4542174472296443
euclidean,TabulaMuris_Muscle_10X,counts,vpac,96,0.3701643810605497
euclidean,TabulaMuris_Muscle_10X,counts,vpac,8,0.49552177202561903
euclidean,TabulaMuris_Muscle_10X,counts,vpac,48,0.3879016384524328
euclidean,TabulaMuris_Muscle_10X,counts,umap,4,0.495843048541102
euclidean,TabulaMuris_Muscle_10X,counts,umap,32,0.49902351277180507
euclidean,TabulaMuris_Muscle_10X,counts,umap,2,0.5266515693855981
euclidean,TabulaMuris_Muscle_10X,counts,umap,16,0.47864282154577265
euclidean,TabulaMuris_Muscle_10X,counts,umap,96,0.4964372659757531
euclidean,TabulaMuris_Muscle_10X,counts,umap,8,0.4764855317143094
euclidean,TabulaMuris_Muscle_10X,counts,umap,48,0.4995397756326974
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Muscle_10X,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,4,0.7214818047546308
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,32,0.8903945777894529
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,2,0.6390182882259684
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,16,0.8595745243152455
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,96,0.8815337109988767
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,8,0.8197617700756955
euclidean,TabulaMuris_Muscle_10X,counts,nmf2,48,0.8710339735798076
euclidean,TabulaMuris_Muscle_10X,counts,srp,4,0.11686227759751709
euclidean,TabulaMuris_Muscle_10X,counts,srp,32,0.6205037559094593
euclidean,TabulaMuris_Muscle_10X,counts,srp,2,0.1250049426885408
euclidean,TabulaMuris_Muscle_10X,counts,srp,16,0.39632261772623495
euclidean,TabulaMuris_Muscle_10X,counts,srp,96,0.7616850706029331
euclidean,TabulaMuris_Muscle_10X,counts,srp,8,0.26585163403957507
euclidean,TabulaMuris_Muscle_10X,counts,srp,48,0.6049962700021552
euclidean,TabulaMuris_Muscle_10X,counts,psmf,4,0.41677787210524897
euclidean,TabulaMuris_Muscle_10X,counts,psmf,32,0.4616602821818296
euclidean,TabulaMuris_Muscle_10X,counts,psmf,2,0.2426700220010099
euclidean,TabulaMuris_Muscle_10X,counts,psmf,16,0.4915035179107747
euclidean,TabulaMuris_Muscle_10X,counts,psmf,96,0.36933496804921023
euclidean,TabulaMuris_Muscle_10X,counts,psmf,8,0.43559251534238574
euclidean,TabulaMuris_Muscle_10X,counts,psmf,48,0.43059224278304814
euclidean,TabulaMuris_Muscle_10X,counts,fica,4,0.7443381478612884
euclidean,TabulaMuris_Muscle_10X,counts,fica,32,0.6264659968188914
euclidean,TabulaMuris_Muscle_10X,counts,fica,2,0.648094462271718
euclidean,TabulaMuris_Muscle_10X,counts,fica,16,0.7813450628926074
euclidean,TabulaMuris_Muscle_10X,counts,fica,96,0.4686849393436059
euclidean,TabulaMuris_Muscle_10X,counts,fica,8,0.8565291143280037
euclidean,TabulaMuris_Muscle_10X,counts,fica,48,0.5548920008448713
euclidean,TabulaMuris_Muscle_10X,counts,lle,4,0.31683564799121067
euclidean,TabulaMuris_Muscle_10X,counts,lle,32,0.20194231073359092
euclidean,TabulaMuris_Muscle_10X,counts,lle,2,0.36940974299222507
euclidean,TabulaMuris_Muscle_10X,counts,lle,16,0.32138914581010447
euclidean,TabulaMuris_Muscle_10X,counts,lle,96,0.18987168665817825
euclidean,TabulaMuris_Muscle_10X,counts,lle,8,0.22162813618327576
euclidean,TabulaMuris_Muscle_10X,counts,lle,48,0.1951936741848287
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,4,0.00041172076403237336
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,32,-0.008005483821067463
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,2,0.002057861521167126
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,16,-0.004128714065638198
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,96,-0.0005781709358073717
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,8,-0.002633604622410983
euclidean,TabulaMuris_Muscle_10X,counts,lsnmf,48,-0.0022343808185188714
euclidean,TabulaMuris_Muscle_10X,counts,phate,4,0.6003486097781233
euclidean,TabulaMuris_Muscle_10X,counts,phate,32,0.6954404466186389
euclidean,TabulaMuris_Muscle_10X,counts,phate,2,0.643704362663583
euclidean,TabulaMuris_Muscle_10X,counts,phate,16,0.6591364723122503
euclidean,TabulaMuris_Muscle_10X,counts,phate,96,0.6792416915146845
euclidean,TabulaMuris_Muscle_10X,counts,phate,8,0.6593329660496827
euclidean,TabulaMuris_Muscle_10X,counts,phate,48,0.6899987036136626
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,4,-0.0050694985735819
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,32,-0.023710989777588898
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,2,-0.020655172376834688
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,16,-0.017949070484890417
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,96,-0.020185203626782524
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,8,-0.00513088405522611
euclidean,TabulaMuris_Muscle_10X,counts,kpca-rbf,48,-0.020543139046498977
euclidean,TabulaMuris_Muscle_10X,counts,isomap,4,0.7434795473895961
euclidean,TabulaMuris_Muscle_10X,counts,isomap,32,0.8581304102674754
euclidean,TabulaMuris_Muscle_10X,counts,isomap,2,0.667746198585721
euclidean,TabulaMuris_Muscle_10X,counts,isomap,16,0.8482177097656923
euclidean,TabulaMuris_Muscle_10X,counts,isomap,96,0.8681644966504033
euclidean,TabulaMuris_Muscle_10X,counts,isomap,8,0.828879057988565
euclidean,TabulaMuris_Muscle_10X,counts,isomap,48,0.8642629694095922
euclidean,TabulaMuris_Muscle_10X,counts,saucie,4,0.01782637553412189
euclidean,TabulaMuris_Muscle_10X,counts,saucie,32,-0.009997055056758837
euclidean,TabulaMuris_Muscle_10X,counts,saucie,2,0.006489446112912807
euclidean,TabulaMuris_Muscle_10X,counts,saucie,16,-0.0028807561872946693
euclidean,TabulaMuris_Muscle_10X,counts,saucie,96,0.005816307753996981
euclidean,TabulaMuris_Muscle_10X,counts,saucie,8,0.0048052184068861905
euclidean,TabulaMuris_Muscle_10X,counts,saucie,48,0.005036411338547971
euclidean,TabulaMuris_Muscle_10X,counts,bd,4,0.6624512463800465
euclidean,TabulaMuris_Muscle_10X,counts,bd,32,0.7686500797164014
euclidean,TabulaMuris_Muscle_10X,counts,bd,2,0.56175735762826
euclidean,TabulaMuris_Muscle_10X,counts,bd,16,0.9126563909383919
euclidean,TabulaMuris_Muscle_10X,counts,bd,96,0.8324128880743864
euclidean,TabulaMuris_Muscle_10X,counts,bd,8,0.735863405588997
euclidean,TabulaMuris_Muscle_10X,counts,bd,48,0.8755853295471168
