metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,4,0.6612724511997373
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,32,0.7722030981749995
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,2,0.553337452128034
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,16,0.7482695008690716
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,96,0.7460450985665924
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,8,0.7163190538744411
euclidean,TabulaMuris_Muscle_10X,logcounts,spca,48,0.7399561252097893
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,4,0.6341396216201183
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,32,0.7597156164086598
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,2,0.6301526263277352
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,16,0.7318240530883556
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,96,0.8042836631984845
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,8,0.7062358736022969
euclidean,TabulaMuris_Muscle_10X,logcounts,tsvd,48,0.7729642679756337
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,4,0.5449187494872706
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,32,0.5503733867836426
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,2,0.5825042696918331
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,16,0.5234278705213304
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,96,0.6148440954780089
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,8,0.5065111836080725
euclidean,TabulaMuris_Muscle_10X,logcounts,spca-batch,48,0.641267036025901
euclidean,TabulaMuris_Muscle_10X,logcounts,zifa,4,0.4057794302944704
euclidean,TabulaMuris_Muscle_10X,logcounts,zifa,32,0.49281617011808715
euclidean,TabulaMuris_Muscle_10X,logcounts,zifa,2,0.37252631845889256
euclidean,TabulaMuris_Muscle_10X,logcounts,zifa,16,0.4873285862490193
euclidean,TabulaMuris_Muscle_10X,logcounts,zifa,8,0.4826782240452525
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,4,0.6390765919448071
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,32,0.7008513805093513
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,2,0.5583031872532617
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,16,0.6512511705720178
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,96,0.5799201282879275
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,8,0.6789247216026787
euclidean,TabulaMuris_Muscle_10X,logcounts,nsnmf,48,0.5513638008759905
euclidean,TabulaMuris_Muscle_10X,logcounts,vpac,4,0.1902887511366434
euclidean,TabulaMuris_Muscle_10X,logcounts,vpac,32,0.603284676907876
euclidean,TabulaMuris_Muscle_10X,logcounts,vpac,2,0.5967407505752833
euclidean,TabulaMuris_Muscle_10X,logcounts,vpac,16,0.47175661559313786
