metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,4,0.5700457979459033
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,32,0.6919107306544497
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,2,0.4787029250860679
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,16,0.6558651254862092
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,96,0.7909553548651685
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,8,0.6218125947576506
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca,48,0.727449981676537
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,4,0.5336999153558861
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,32,0.671782784531423
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,2,0.4100499064412622
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,16,0.6384744393725597
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,96,0.7566685141556732
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,8,0.6132078465314333
euclidean,TabulaMuris_Muscle_FACS,logcounts,tsvd,48,0.6958573651066258
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,4,0.5530355750375882
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,32,0.6047333875920397
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,2,0.47313702514756895
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,16,0.552525865804103
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,96,0.6076068361193562
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,8,0.6869240597671769
euclidean,TabulaMuris_Muscle_FACS,logcounts,spca-batch,48,0.6432896870459899
euclidean,TabulaMuris_Muscle_FACS,logcounts,zifa,4,0.4570954829552109
euclidean,TabulaMuris_Muscle_FACS,logcounts,zifa,32,0.47024445817275806
euclidean,TabulaMuris_Muscle_FACS,logcounts,zifa,2,0.3849345266873237
euclidean,TabulaMuris_Muscle_FACS,logcounts,zifa,16,0.4686421649509881
euclidean,TabulaMuris_Muscle_FACS,logcounts,zifa,8,0.4627260355714636
euclidean,TabulaMuris_Muscle_FACS,logcounts,zifa,48,0.4697884599282688
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,4,0.5030717716700536
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,32,0.6896313450841809
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,2,0.44201157293075133
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,16,0.6913436329346434
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,96,0.6197669803983183
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,8,0.6146915494881541
euclidean,TabulaMuris_Muscle_FACS,logcounts,nsnmf,48,0.6550163989903732
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,4,0.5436184084903573
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,32,0.5770797858517867
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,2,0.29382784524034283
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,16,0.43903863174244057
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,96,0.6377498635970367
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,8,0.34213827335448666
euclidean,TabulaMuris_Muscle_FACS,logcounts,vpac,48,0.607567848620667
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,4,0.5650020213365217
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,32,0.5512537029201412
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,2,0.592661816312443
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,16,0.55369840092925
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,96,0.5536325582747952
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,8,0.5436796685890755
euclidean,TabulaMuris_Muscle_FACS,logcounts,umap,48,0.5503222329942823
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,4,0.1678603824127121
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,32,0.0883577487927697
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,2,0.13635966594930599
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,16,0.11152909961756381
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,96,0.0075362974387831955
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,8,0.13618614744391264
euclidean,TabulaMuris_Muscle_FACS,logcounts,kpca-sig,48,0.06564412888678291
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,4,0.564122220450018
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,32,0.7345895432549865
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,2,0.4847624476176654
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,16,0.7321661505760352
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,96,0.7161984467332321
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,8,0.6567850267012708
euclidean,TabulaMuris_Muscle_FACS,logcounts,nmf2,48,0.7322751261201969
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,4,0.22665739066942284
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,32,0.5133077726872237
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,2,0.15550055231223123
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,16,0.3333222553700762
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,96,0.7096101696994839
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,8,0.3081034983670336
euclidean,TabulaMuris_Muscle_FACS,logcounts,srp,48,0.5837666092169628
