metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,4,0.965402440406836
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,32,0.9998346552509055
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,2,0.8340919233780738
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,16,0.9995675504411893
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,96,0.9999933135482743
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,8,0.9977981792854496
euclidean,TabulaMuris_Pancreas_FACS,counts,spca,48,0.9999530898718588
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,4,0.953238125394985
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,32,0.999826657373669
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,2,0.7480303469765917
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,16,0.9995474760029952
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,96,0.9999942490357994
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,8,0.9975743219471788
euclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,48,0.9999513625011188
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,4,0.7090890736116828
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,32,0.7484859391286147
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,2,0.6597824918207108
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,16,0.7112622281933282
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,96,0.5743596944730242
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,8,0.7606851324517623
euclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,48,0.6911713336431242
euclidean,TabulaMuris_Pancreas_FACS,counts,zifa,4,-0.04025733137838811
euclidean,TabulaMuris_Pancreas_FACS,counts,zifa,32,-0.09269487055614466
euclidean,TabulaMuris_Pancreas_FACS,counts,zifa,2,0.08797898975792942
euclidean,TabulaMuris_Pancreas_FACS,counts,zifa,16,-0.07314578398035125
euclidean,TabulaMuris_Pancreas_FACS,counts,zifa,8,-0.07942874734716626
euclidean,TabulaMuris_Pancreas_FACS,counts,zifa,48,-0.09887161133245741
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,4,0.47359950796258776
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,32,0.47125896081122215
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,2,0.29400627185479306
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,16,0.496058388371514
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,96,0.3469671035167003
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,8,0.5148487352337155
euclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,48,0.2997813146740825
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,4,0.33265130530657977
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,32,0.32148268647504447
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,2,0.39015761018112305
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,16,0.3346693668264451
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,96,0.300515961432028
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,8,0.2965896291317239
euclidean,TabulaMuris_Pancreas_FACS,counts,vpac,48,0.32142995653499307
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,4,0.6696501567532664
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,32,0.69605320527063
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,2,0.5984848578591359
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,16,0.6735550933528937
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,96,0.6574534925794383
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,8,0.6765539433054472
euclidean,TabulaMuris_Pancreas_FACS,counts,umap,48,0.6772734402017403
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,4,0.8360348733070467
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,32,0.8579303615343209
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,2,0.6210251621773116
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,16,0.8587841056178804
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,96,0.813706270922009
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,8,0.9160161560486508
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,48,0.8675952810159808
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,4,0.11631857722399304
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,32,0.48928953741373554
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,2,-0.004906545166171943
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,16,0.3923327454974421
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,96,0.4735519397081563
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,8,0.14276571648524258
euclidean,TabulaMuris_Pancreas_FACS,counts,srp,48,0.5045498683245843
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,4,0.04129169052781361
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,32,-0.02280394168012091
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,2,0.26877575444073015
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,16,0.018833077553326045
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,96,-0.11758611140947627
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,8,-0.002049458726705651
euclidean,TabulaMuris_Pancreas_FACS,counts,psmf,48,0.11054084046139903
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,4,0.9523257725500499
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,32,0.3548390771513087
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,2,0.8147774511536195
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,16,0.4645837968681008
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,96,0.2135986493389463
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,8,0.6187934299805828
euclidean,TabulaMuris_Pancreas_FACS,counts,fica,48,0.33265795509281126
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,4,0.656404606862961
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,32,0.14772306249739756
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,2,0.22141388764327014
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,16,0.08335145455235182
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,96,0.1286920961444544
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,8,0.21632820033621514
euclidean,TabulaMuris_Pancreas_FACS,counts,lle,48,0.08694826143000761
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,4,-0.002040096007811232
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,32,-6.460234430513756e-05
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,2,-0.005107153702343959
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,16,-0.013300428024083913
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,96,-0.00487415442765409
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,8,-0.0020404463535327183
euclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,48,-0.0011829249309416798
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,4,0.5158184023021858
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,32,0.5154675047958979
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,2,0.45602124658311416
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,16,0.5146658244860374
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,96,0.5155116678033759
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,8,0.5153133824506937
euclidean,TabulaMuris_Pancreas_FACS,counts,phate,48,0.515537113460357
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,4,0.01310453070323864
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,32,0.017280659009537805
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,2,0.0037025167824800485
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,16,0.01933036866447454
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,96,0.012749791616353801
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,8,0.010376539592359192
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-rbf,48,0.01774349347805653
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,4,0.8824109544322002
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,32,0.8854886165488253
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,2,0.7018669314134408
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,16,0.8882464401244053
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,96,0.8817627910287348
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,8,0.8890180081283435
euclidean,TabulaMuris_Pancreas_FACS,counts,isomap,48,0.8841289835180023
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,4,-0.0006469937189165858
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,32,-0.02052374288838017
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,2,0.009044534249420713
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,16,-0.010175238300474756
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,96,0.014295840382253516
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,8,-0.008983145891852062
euclidean,TabulaMuris_Pancreas_FACS,counts,saucie,48,-0.008139976653133957
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,4,0.6487199745447625
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,32,0.6386412582035761
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,2,0.3906974157986667
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,16,0.5947227520318986
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,96,0.4732067751760663
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,8,0.6523915312880035
euclidean,TabulaMuris_Pancreas_FACS,counts,bd,48,0.555501371261595
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,4,0.49157871754895816
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,32,0.39109570282134576
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,2,0.36499898765648614
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,16,0.5187600221727671
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,96,0.21367863958915678
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,8,0.4637937308233961
euclidean,TabulaMuris_Pancreas_FACS,counts,lda,48,0.3998040680646055
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,4,0.6283300507578095
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,32,0.12422432211345494
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,2,0.5066302658554025
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,16,0.3260007479047605
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,96,-0.027487886620662125
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,8,0.7122430045918003
euclidean,TabulaMuris_Pancreas_FACS,counts,spectral,48,0.07607971214199592
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,4,0.8552914218957408
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,32,0.9780044510423908
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,2,0.6118547326027753
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,16,0.9653296036048885
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,96,0.9871005909891318
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,8,0.899413134257452
euclidean,TabulaMuris_Pancreas_FACS,counts,grp,48,0.9719324176444921
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,4,-0.0334048337162165
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,32,0.24288499995165194
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,2,0.07456607781006963
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,16,0.09564130324234739
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,96,0.24424014200903169
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,8,0.18783694642192952
euclidean,TabulaMuris_Pancreas_FACS,counts,fa,48,0.23800281313326416
euclidean,TabulaMuris_Pancreas_FACS,counts,mctsne,4,0.6994512700001271
euclidean,TabulaMuris_Pancreas_FACS,counts,mctsne,32,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,mctsne,2,0.6085109986516894
euclidean,TabulaMuris_Pancreas_FACS,counts,mctsne,96,0.5570430807969937
euclidean,TabulaMuris_Pancreas_FACS,counts,mctsne,8,0.5651526329521308
euclidean,TabulaMuris_Pancreas_FACS,counts,mctsne,48,nan
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,4,0.917463830758878
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,32,0.8062299862280787
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,2,0.6160616259401491
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,16,0.8352012616216626
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,96,0.7658138855683877
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,8,0.879023877820601
euclidean,TabulaMuris_Pancreas_FACS,counts,nmf,48,0.7902401057970255
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,4,0.7705506384587171
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,32,0.7875778902725041
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,2,0.5725509121415046
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,16,0.7858820215584555
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,96,0.7884452131684538
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,8,0.765077194269862
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-pol,48,0.787916158880538
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,4,0.09309078000136886
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,32,0.04620862145301807
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,2,0.1620563919935978
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,16,0.08309946105518687
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,96,0.13463447012217952
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,8,0.07136243182162018
euclidean,TabulaMuris_Pancreas_FACS,counts,vasc,48,0.13265432015923412
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,4,0.7186509177554545
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,32,0.7245377610684668
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,2,0.6451095032811212
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,16,0.7273900170359496
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,96,0.7225953179390829
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,8,0.729548862369469
euclidean,TabulaMuris_Pancreas_FACS,counts,kpca-cos,48,0.7237941512471976
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,4,0.9654024419099669
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,32,0.9998346446762342
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,2,0.8340918792827082
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,16,0.9995675429278749
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,96,0.9999943106893078
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,8,0.9977981497066895
euclidean,TabulaMuris_Pancreas_FACS,counts,pca,48,0.9999517264190615
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,4,0.5107654643531954
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,32,0.3246225606175496
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,2,0.379917886261195
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,16,0.29081211249842753
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,96,0.2373113974516954
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,8,0.48294621957091705
euclidean,TabulaMuris_Pancreas_FACS,counts,pmf,48,0.23608736863101726
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,4,0.829283148639011
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,32,0.5126238866106041
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,2,0.5934001801245326
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,16,0.6980312801753745
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,96,0.7150884367653139
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,8,0.5827409489253824
euclidean,TabulaMuris_Pancreas_FACS,counts,snmf,48,0.667391146800786
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,4,0.9654024419099669
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,32,0.9998346507625914
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,2,0.8340918792827082
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,16,0.9995675423540228
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,96,0.9999943284694577
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,8,0.9977981497082035
euclidean,TabulaMuris_Pancreas_FACS,counts,ipca,48,0.9999517225215029
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,4,0.06497897528998064
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,32,0.34659969843223526
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,2,-0.009183681229971314
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,16,0.1723782250875379
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,96,0.1461153717207058
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,8,0.17667673163535855
euclidean,TabulaMuris_Pancreas_FACS,counts,icm,48,0.19403613033830297
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,4,0.6358418995657764
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,32,0.4333999213791774
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,2,0.4262280006075263
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,16,0.476569304489486
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,96,0.2632221460168662
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,8,0.4442234178298436
euclidean,TabulaMuris_Pancreas_FACS,counts,ivis,48,0.48153700680516376
