metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,4,0.6785208563612544
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,32,0.8189424251913687
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,2,0.6410130988361474
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,16,0.8103550070055956
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,96,0.7757514906940252
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,8,0.7403223492114331
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,48,0.8014330235672411
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,4,0.6400585607985058
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,32,0.7185735190897485
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,2,0.6198979197336674
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,16,0.7000637278065699
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,96,0.7769423650375549
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,8,0.6762939702612385
euclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,48,0.7357794108707592
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,4,0.6568950102636375
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,32,0.7800246486796815
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,2,0.6660292621465126
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,16,0.761214606196989
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,96,0.787645563774903
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,8,0.7473493416203545
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,48,0.7287836699179755
euclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,4,0.6467871090918899
euclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,32,0.6215865770218105
euclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,2,0.6448243584361296
euclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,16,0.6200535531776539
euclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,8,0.6045184143922953
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,4,0.6077376329719621
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,32,0.7328802913051258
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,2,0.554900236520137
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,16,0.7284221860491579
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,96,0.6519194499178808
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,8,0.722269724595666
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,48,0.7192432932387777
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,4,0.48707147691705727
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,32,0.6466837203700961
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,2,0.4822782550299021
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,16,0.574390584800323
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,96,0.6726205225883152
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,8,0.5116430127508506
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,48,0.6624763151964288
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,4,0.5483250795722749
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,32,0.561617427048516
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,2,0.5888557823270683
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,16,0.5381888489424016
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,96,0.5398871170275422
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,8,0.5367667807112042
euclidean,TabulaMuris_Pancreas_FACS,logcounts,umap,48,0.5505152601260725
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,4,0.28980712057420066
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,32,0.27125000009170475
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,2,0.2446096892858816
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,16,0.2845785947979082
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,96,0.2440068583026177
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,8,0.2879307117830263
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-sig,48,0.2636477380847997
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,4,0.7210574319822487
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,32,0.7829923851801708
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,2,0.678118148768967
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,16,0.7698950943999965
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,96,0.739899231623607
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,8,0.7308313708693314
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf2,48,0.7866461418192456
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,4,0.3339211384728883
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,32,0.7039099801862336
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,2,0.26851428741967703
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,16,0.523257087580971
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,96,0.8327057259900832
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,8,0.4671943198758632
euclidean,TabulaMuris_Pancreas_FACS,logcounts,srp,48,0.7195138664560033
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,4,0.7408536952603952
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,32,0.7181674560476016
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,2,0.5900326949315288
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,16,0.7192951095626181
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,96,0.6700014662898717
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,8,0.7743410300199756
euclidean,TabulaMuris_Pancreas_FACS,logcounts,psmf,48,0.7041090341283596
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,4,0.6940721123345251
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,32,0.49999588124288213
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,2,0.7485091392722585
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,16,0.5051948299370884
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,96,0.47180863301220066
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,8,0.6037530992240584
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fica,48,0.4989277849689824
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,4,0.23662952416706667
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,32,0.23313341609937713
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,2,0.5079638179053528
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,16,0.3697765724702678
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,96,0.08611365994657319
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,8,0.37043347594830606
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lle,48,0.1642269685397936
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,4,0.738331222087953
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,32,0.7358999178890118
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,2,0.5644818144071029
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,16,0.7291672684724753
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,96,-0.005510152492957863
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,8,0.569066812744667
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lsnmf,48,0.5689297886658519
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,4,0.6224090369004006
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,32,0.6177338255105959
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,2,0.6161501535643193
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,16,0.6210247863150337
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,96,0.6219665597053741
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,8,0.6227153518028083
euclidean,TabulaMuris_Pancreas_FACS,logcounts,phate,48,0.6224205621070719
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,4,0.13520121627473958
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,32,0.22952247086760005
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,2,0.17344698514579932
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,16,0.21277466318267274
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,96,0.2921080469036539
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,8,0.18326105301724335
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-rbf,48,0.25287903314925336
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,4,0.685978317195221
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,32,0.7322575643245253
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,2,0.6602337331910338
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,16,0.7312826445321616
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,96,0.7319460536343795
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,8,0.7187142850540774
euclidean,TabulaMuris_Pancreas_FACS,logcounts,isomap,48,0.7321019467189624
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,4,0.003821243607182619
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,32,0.0014355174741267917
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,2,-0.0026422604888523254
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,16,-0.010726980716988885
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,96,0.003233245140544314
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,8,-0.007094021347368893
euclidean,TabulaMuris_Pancreas_FACS,logcounts,saucie,48,0.012177228430638055
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,4,0.3054191327627618
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,32,0.4306217082591017
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,2,0.6860691291735762
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,16,0.465364754972429
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,96,0.23942985371871428
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,8,0.6130357005321319
euclidean,TabulaMuris_Pancreas_FACS,logcounts,bd,48,0.48949513015130736
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,4,0.4516829144132218
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,32,0.4343798122153322
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,2,0.5445005898329788
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,16,0.48360736370262103
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,96,0.3911524328225574
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,8,0.5291213026557261
euclidean,TabulaMuris_Pancreas_FACS,logcounts,lda,48,0.41961324328963767
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,4,0.4335081904274756
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,32,0.3378878966397469
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,2,0.414866994457745
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,16,0.38810158590420873
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,96,0.20858088376702677
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,8,0.44140960730777845
euclidean,TabulaMuris_Pancreas_FACS,logcounts,spectral,48,0.29428815292249405
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,4,0.34006336548436505
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,32,0.6476254582310518
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,2,0.31218855170498444
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,16,0.6091935210470999
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,96,0.8206111709717226
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,8,0.3751099933814094
euclidean,TabulaMuris_Pancreas_FACS,logcounts,grp,48,0.7259588129019029
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,4,0.6944120380633537
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,32,0.5319273414194697
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,2,0.7512265260905192
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,16,0.5560444121744051
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,96,0.5097703440767082
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,8,0.6000785115401528
euclidean,TabulaMuris_Pancreas_FACS,logcounts,fa,48,0.5198763509078097
euclidean,TabulaMuris_Pancreas_FACS,logcounts,mctsne,4,0.6277757092921292
euclidean,TabulaMuris_Pancreas_FACS,logcounts,mctsne,32,nan
euclidean,TabulaMuris_Pancreas_FACS,logcounts,mctsne,2,0.6011243995818624
euclidean,TabulaMuris_Pancreas_FACS,logcounts,mctsne,96,nan
euclidean,TabulaMuris_Pancreas_FACS,logcounts,mctsne,8,0.6270688850911131
euclidean,TabulaMuris_Pancreas_FACS,logcounts,mctsne,48,nan
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,4,0.625398044722505
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,32,0.5937256338688279
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,2,0.7324368699741228
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,16,0.5818178875220965
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,96,0.5436027589512874
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,8,0.6312426770807512
euclidean,TabulaMuris_Pancreas_FACS,logcounts,nmf,48,0.5791678673558139
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,4,0.7737635949319158
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,32,0.7980105340369318
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,2,0.7571402834202928
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,16,0.7946317565116138
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,96,0.7807592555502494
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,8,0.7813772672642515
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-pol,48,0.7954521944164545
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,4,0.5906503062809111
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,32,0.5390240204292776
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,2,0.6193298062177177
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,16,0.4953164635575747
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,96,0.533408462771789
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,8,0.5127887280695
euclidean,TabulaMuris_Pancreas_FACS,logcounts,vasc,48,0.5618543370075945
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,4,0.3786270298225057
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,32,0.37524712859143083
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,2,0.33098770796876836
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,16,0.4022740446360048
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,96,0.33414645497849776
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,8,0.3973165174633542
euclidean,TabulaMuris_Pancreas_FACS,logcounts,kpca-cos,48,0.35862674458703764
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,4,0.6692681123529233
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,32,0.720138274373965
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,2,0.6412499107027093
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,16,0.7014400890622282
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,96,0.7802187831070199
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,8,0.6844766388090648
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pca,48,0.7375908858477739
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,4,0.7548643203834147
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,32,0.734497066737142
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,2,0.74870462274005
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,16,0.7715619207228747
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,96,0.6833331189027483
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,8,0.7759260547611696
euclidean,TabulaMuris_Pancreas_FACS,logcounts,pmf,48,0.7125650131027134
euclidean,TabulaMuris_Pancreas_FACS,logcounts,snmf,4,0.586336611580214
euclidean,TabulaMuris_Pancreas_FACS,logcounts,snmf,32,0.5952614865206879
euclidean,TabulaMuris_Pancreas_FACS,logcounts,snmf,2,0.742192151975977
euclidean,TabulaMuris_Pancreas_FACS,logcounts,snmf,16,0.6288893595997016
euclidean,TabulaMuris_Pancreas_FACS,logcounts,snmf,8,0.6806401100752012
euclidean,TabulaMuris_Pancreas_FACS,logcounts,snmf,48,0.6068130641581398
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,4,0.669268112219416
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,32,0.7205437485583291
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,2,0.6412499107139807
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,16,0.7014661288852693
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,96,0.7833140326379235
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,8,0.6844766693400496
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ipca,48,0.7391393769710078
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,4,0.5733222170221317
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,32,0.6237404004538458
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,2,0.733242622581186
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,16,0.6560879685830114
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,96,0.5018061847211042
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,8,0.6801489444390242
euclidean,TabulaMuris_Pancreas_FACS,logcounts,icm,48,0.5672294391395031
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,4,0.45480096077870474
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,32,0.3246246690840634
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,2,0.4414721702656509
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,16,0.4197531880647905
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,96,0.3113117394000345
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,8,0.3228799740814561
euclidean,TabulaMuris_Pancreas_FACS,logcounts,ivis,48,0.34933983258040613
