metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Skin_FACS,counts,spca,4,0.9890370441158057
euclidean,TabulaMuris_Skin_FACS,counts,spca,32,0.9975238439062493
euclidean,TabulaMuris_Skin_FACS,counts,spca,2,0.9795659228910492
euclidean,TabulaMuris_Skin_FACS,counts,spca,16,0.9959394169216975
euclidean,TabulaMuris_Skin_FACS,counts,spca,96,0.9996095139925167
euclidean,TabulaMuris_Skin_FACS,counts,spca,8,0.9935888117797846
euclidean,TabulaMuris_Skin_FACS,counts,spca,48,0.9985140654098611
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,4,0.9895928600571113
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,32,0.9973604895521265
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,2,0.9801378098165825
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,16,0.9956709312675246
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,96,0.9995185914700897
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,8,0.9929535025128667
euclidean,TabulaMuris_Skin_FACS,counts,tsvd,48,0.9983077221810043
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,4,0.7629605074604788
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,32,0.5298353527907176
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,2,0.8557047015977429
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,16,0.5532663695873548
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,96,0.5469829721690929
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,8,0.6517564466045909
euclidean,TabulaMuris_Skin_FACS,counts,spca-batch,48,0.5611333138714599
euclidean,TabulaMuris_Skin_FACS,counts,zifa,4,0.38106382328442523
euclidean,TabulaMuris_Skin_FACS,counts,zifa,2,0.4022013079204527
euclidean,TabulaMuris_Skin_FACS,counts,zifa,16,0.3635710308950165
euclidean,TabulaMuris_Skin_FACS,counts,zifa,8,0.3509629041398288
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,4,0.7208839420648242
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,32,0.5824140625484012
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,2,0.7613956482034749
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,16,0.6551753796546963
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,96,0.5649432669029832
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,8,0.6739096778899053
euclidean,TabulaMuris_Skin_FACS,counts,nsnmf,48,0.5835948163156548
euclidean,TabulaMuris_Skin_FACS,counts,vpac,4,0.7675143020351242
euclidean,TabulaMuris_Skin_FACS,counts,vpac,32,0.10798809724910696
euclidean,TabulaMuris_Skin_FACS,counts,vpac,2,0.06833905376553699
euclidean,TabulaMuris_Skin_FACS,counts,vpac,16,0.08319257826032167
euclidean,TabulaMuris_Skin_FACS,counts,vpac,96,0.12793682641841145
euclidean,TabulaMuris_Skin_FACS,counts,vpac,8,0.09625229945427882
euclidean,TabulaMuris_Skin_FACS,counts,vpac,48,0.11847577432011779
euclidean,TabulaMuris_Skin_FACS,counts,umap,4,0.8909773584024764
euclidean,TabulaMuris_Skin_FACS,counts,umap,32,0.9041542323103485
euclidean,TabulaMuris_Skin_FACS,counts,umap,2,0.8786624805870277
euclidean,TabulaMuris_Skin_FACS,counts,umap,16,0.895938871628833
euclidean,TabulaMuris_Skin_FACS,counts,umap,96,0.8936499524510417
euclidean,TabulaMuris_Skin_FACS,counts,umap,8,0.8896658898141694
euclidean,TabulaMuris_Skin_FACS,counts,umap,48,0.8863170417752272
euclidean,TabulaMuris_Skin_FACS,counts,kpca-sig,4,nan
